[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff80089bb7200 with 433 entries
  Entry 0x0000: 0xfffff80089b3fe04 (NtWorkerFactoryWorkerReady) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff80089e31640 (NtAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff8008a056018 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff80089e146c0 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff80089bb6d40 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff80089e0fc80 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff80089ecbc48 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff80089e3bd64 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff80089e11418 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff80089e69f60 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff80089e712b4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff80089edccac (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff80089e1e620 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff80089e11db0 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff80089e105a0 (NtClose) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff80089e64d98 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff80089efa820 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff80089ed386c (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff80089e6397c (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff80089e07e60 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff80089e409d8 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff80089e18110 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff80089e19410 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff8008a04fbd4 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
