[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff800c2bb4200 with 433 entries
  Entry 0x0000: 0xfffff800c2b3ce04 (NtWorkerFactoryWorkerReady) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff800c2e2e640 (NtAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff800c3053018 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff800c2e116c0 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff800c2bb3d40 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff800c2e0cc80 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff800c2ec8c48 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff800c2e38d64 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff800c2e0e418 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff800c2e66f60 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff800c2e6e2b4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff800c2ed9cac (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff800c2e1b620 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff800c2e0edb0 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff800c2e0d5a0 (NtClose) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff800c2e61d98 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff800c2ef7820 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff800c2ed086c (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff800c2e6097c (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff800c2e04e60 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff800c2e3d9d8 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff800c2e15110 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff800c2e16410 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff800c304cbd4 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0018: 0xfffff800c306687c (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0019: 0xfffff800c2ec93fc (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
  Entry 0x001a: 0xfffff800c2ed8070 (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x001b: 0xfffff800c3068f80 (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x001c: 0xfffff800c2ecd1fc (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x001d: 0xfffff800c2aebdc0 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x001e: 0xfffff800c3047eb0 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x001f: 0xfffff800c2e02f34 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x0020: 0xfffff800c2e1f910 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x0021: 0xfffff800c2ed1618 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x0022: 0xfffff800c2dfd528 (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0023: 0xfffff800c2e05e7c (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0024: 0xfffff800c2e33d90 (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x0025: 0xfffff800c2e34c70 (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x0026: 0xfffff800c2c1ba90 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x0027: 0xfffff800c2e5a874 (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0028: 0xfffff800c2edd574 (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0029: 0xfffff800c2e5a664 (NtUnmapViewOfSection) owned by ntoskrnl.exe
