[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff800d4f5c200 with 433 entries
  Entry 0x0000: 0xfffff800d4ee4e04 (NtWorkerFactoryWorkerReady) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff800d51d6640 (NtAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff800d53fb018 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff800d51b96c0 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff800d4f5bd40 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff800d51b4c80 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff800d5270c48 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff800d51e0d64 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff800d51b6418 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff800d520ef60 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff800d52162b4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff800d5281cac (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff800d51c3620 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff800d51b6db0 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff800d51b55a0 (NtClose) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff800d5209d98 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff800d529f820 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff800d527886c (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff800d520897c (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff800d51ace60 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff800d51e59d8 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff800d51bd110 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff800d51be410 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff800d53f4bd4 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0018: 0xfffff800d540e87c (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0019: 0xfffff800d52713fc (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
  Entry 0x001a: 0xfffff800d5280070 (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x001b: 0xfffff800d5410f80 (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x001c: 0xfffff800d52751fc (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x001d: 0xfffff800d4e93dc0 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x001e: 0xfffff800d53efeb0 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x001f: 0xfffff800d51aaf34 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x0020: 0xfffff800d51c7910 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x0021: 0xfffff800d5279618 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x0022: 0xfffff800d51a5528 (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0023: 0xfffff800d51ade7c (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0024: 0xfffff800d51dbd90 (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x0025: 0xfffff800d51dcc70 (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x0026: 0xfffff800d4fc3a90 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x0027: 0xfffff800d5202874 (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0028: 0xfffff800d5285574 (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0029: 0xfffff800d5202664 (NtUnmapViewOfSection) owned by ntoskrnl.exe
  Entry 0x002a: 0xfffff800d52160dc (NtReplyWaitReceivePortEx) owned by ntoskrnl.exe
  Entry 0x002b: 0xfffff800d5415154 (NtTerminateProcess) owned by ntoskrnl.exe
  Entry 0x002c: 0xfffff800d5448d98 (NtSetEventBoostPriority) owned by ntoskrnl.exe
  Entry 0x002d: 0xfffff800d528a550 (NtReadFileScatter) owned by ntoskrnl.exe
  Entry 0x002e: 0xfffff800d51adea0 (NtOpenThreadTokenEx) owned by ntoskrnl.exe
  Entry 0x002f: 0xfffff800d51ad930 (NtOpenProcessTokenEx) owned by ntoskrnl.exe
  Entry 0x0030: 0xfffff800d5274ff8 (NtQueryPerformanceCounter) owned by ntoskrnl.exe
  Entry 0x0031: 0xfffff800d520c150 (NtEnumerateKey) owned by ntoskrnl.exe
  Entry 0x0032: 0xfffff800d51db970 (NtOpenFile) owned by ntoskrnl.exe
  Entry 0x0033: 0xfffff800d51b0c30 (NtDelayExecution) owned by ntoskrnl.exe
  Entry 0x0034: 0xfffff800d52777e4 (NtQueryDirectoryFile) owned by ntoskrnl.exe
  Entry 0x0035: 0xfffff800d527384c (NtQuerySystemInformation) owned by ntoskrnl.exe
  Entry 0x0036: 0xfffff800d5278884 (NtOpenSection) owned by ntoskrnl.exe
  Entry 0x0037: 0xfffff800d5448c3c (NtQueryTimer) owned by ntoskrnl.exe
  Entry 0x0038: 0xfffff800d51ddfd8 (NtFsControlFile) owned by ntoskrnl.exe
  Entry 0x0039: 0xfffff800d5284cf4 (NtWriteVirtualMemory) owned by ntoskrnl.exe
  Entry 0x003a: 0xfffff800d527c92c (NtCloseObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x003b: 0xfffff800d51a8074 (NtDuplicateObject) owned by ntoskrnl.exe
  Entry 0x003c: 0xfffff800d5225a94 (NtQueryAttributesFile) owned by ntoskrnl.exe
  Entry 0x003d: 0xfffff800d52711e8 (NtClearEvent) owned by ntoskrnl.exe
  Entry 0x003e: 0xfffff800d51b1000 (NtReadVirtualMemory) owned by ntoskrnl.exe
  Entry 0x003f: 0xfffff800d5276bec (NtOpenEvent) owned by ntoskrnl.exe
  Entry 0x0040: 0xfffff800d51d191c (NtAdjustPrivilegesToken) owned by ntoskrnl.exe
  Entry 0x0041: 0xfffff800d5423ca8 (NtDuplicateToken) owned by ntoskrnl.exe
  Entry 0x0042: 0xfffff800d4f58820 (NtContinue) owned by ntoskrnl.exe
  Entry 0x0043: 0xfffff800d52dfc38 (NtQueryDefaultUILanguage) owned by ntoskrnl.exe
  Entry 0x0044: 0xfffff800d5280b84 (NtQueueApcThread) owned by ntoskrnl.exe
  Entry 0x0045: 0xfffff800d4e58bb0 (NtYieldExecution) owned by ntoskrnl.exe
  Entry 0x0046: 0xfffff800d545085c (NtAddAtom) owned by ntoskrnl.exe
  Entry 0x0047: 0xfffff800d51c5538 (NtCreateEvent) owned by ntoskrnl.exe
  Entry 0x0048: 0xfffff800d52a0588 (NtQueryVolumeInformationFile) owned by ntoskrnl.exe
  Entry 0x0049: 0xfffff800d5200ca0 (NtCreateSection) owned by ntoskrnl.exe
  Entry 0x004a: 0xfffff800d52824a4 (NtFlushBuffersFile) owned by ntoskrnl.exe
  Entry 0x004b: 0xfffff800d52465b4 (NtApphelpCacheControl) owned by ntoskrnl.exe
  Entry 0x004c: 0xfffff800d540e25c (NtCreateProcessEx) owned by ntoskrnl.exe
  Entry 0x004d: 0xfffff800d540e2d8 (NtCreateThread) owned by ntoskrnl.exe
  Entry 0x004e: 0xfffff800d52cfa40 (NtIsProcessInJob) owned by ntoskrnl.exe
  Entry 0x004f: 0xfffff800d5203570 (NtProtectVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0050: 0xfffff800d5275dc0 (NtQuerySection) owned by ntoskrnl.exe
  Entry 0x0051: 0xfffff800d5271308 (NtResumeThread) owned by ntoskrnl.exe
  Entry 0x0052: 0xfffff800d51df118 (NtTerminateThread) owned by ntoskrnl.exe
  Entry 0x0053: 0xfffff800d53eff8c (NtReadRequestData) owned by ntoskrnl.exe
  Entry 0x0054: 0xfffff800d521fdc0 (NtCreateFile) owned by ntoskrnl.exe
  Entry 0x0055: 0xfffff800d5277290 (NtQueryEvent) owned by ntoskrnl.exe
  Entry 0x0056: 0xfffff800d53f00b0 (NtWriteRequestData) owned by ntoskrnl.exe
  Entry 0x0057: 0xfffff800d527b5e4 (NtOpenDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0058: 0xfffff800d51cc7bc (NtAccessCheckByTypeAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0059: 0xfffff800d5445bfc (UNKNOWN) owned by ntoskrnl.exe
  Entry 0x005a: 0xfffff800d52701c4 (NtWaitForMultipleObjects) owned by ntoskrnl.exe
  Entry 0x005b: 0xfffff800d5400b54 (NtSetInformationObject) owned by ntoskrnl.exe
  Entry 0x005c: 0xfffff800d52783b4 (NtCancelIoFile) owned by ntoskrnl.exe
  Entry 0x005d: 0xfffff800d503ea6c (NtTraceEvent) owned by ntoskrnl.exe
  Entry 0x005e: 0xfffff800d5233cbc (NtPowerInformation) owned by ntoskrnl.exe
  Entry 0x005f: 0xfffff800d51efef8 (NtSetValueKey) owned by ntoskrnl.exe
  Entry 0x0060: 0xfffff800d4e7772c (NtCancelTimer) owned by ntoskrnl.exe
  Entry 0x0061: 0xfffff800d4ee3608 (NtSetTimer) owned by ntoskrnl.exe
  Entry 0x0062: 0xfffff800d4e59584 (NtAccessCheck) owned by ntoskrnl.exe
  Entry 0x0063: 0xfffff800d4ee4f28 (NtAccessCheckByType) owned by ntoskrnl.exe
  Entry 0x0064: 0xfffff800d5021ecc (NtAccessCheckByTypeResultList) owned by ntoskrnl.exe
  Entry 0x0065: 0xfffff800d52e95fc (NtAccessCheckByTypeResultListAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0066: 0xfffff800d5428828 (NtAccessCheckByTypeResultListAndAuditAlarmByHandle) owned by ntoskrnl.exe
  Entry 0x0067: 0xfffff800d527df2c (NtAddAtomEx) owned by ntoskrnl.exe
  Entry 0x0068: 0xfffff800d544c664 (NtAddBootEntry) owned by ntoskrnl.exe
  Entry 0x0069: 0xfffff800d544c684 (NtAddDriverEntry) owned by ntoskrnl.exe
  Entry 0x006a: 0xfffff800d5282f18 (NtAdjustGroupsToken) owned by ntoskrnl.exe
  Entry 0x006b: 0xfffff800d531e3ac (NtAdjustTokenClaimsAndDeviceGroups) owned by ntoskrnl.exe
