[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff80306747300 with 433 entries
  Entry 0x0000: 0xfffff803066cfe24 (NtWorkerFactoryWorkerReady) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff803069c1650 (NtAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff80306be5fec (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff803069a46c0 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff80306746e40 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff8030699fc80 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff80306a5bc58 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff803069cbd88 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff803069a1418 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff803069f9f7c (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff80306a012c4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff80306a6ccbc (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff803069ae630 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff803069a1db0 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff803069a05a0 (NtClose) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff803069f4db8 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff80306a8a830 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff80306a6387c (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff803069f399c (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff80306997e60 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff803069d09f8 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff803069a8110 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff803069a9410 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff80306bdfba8 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0018: 0xfffff80306bf9850 (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0019: 0xfffff80306a5c40c (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
  Entry 0x001a: 0xfffff80306a6b080 (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x001b: 0xfffff80306bfbf54 (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x001c: 0xfffff80306a6020c (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x001d: 0xfffff8030667ede0 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x001e: 0xfffff80306bdae84 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x001f: 0xfffff80306995f34 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x0020: 0xfffff803069b2920 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x0021: 0xfffff80306a64628 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x0022: 0xfffff80306990528 (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0023: 0xfffff80306998e7c (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0024: 0xfffff803069c6db4 (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x0025: 0xfffff803069c7c94 (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x0026: 0xfffff803067aeb90 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x0027: 0xfffff803069ed894 (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0028: 0xfffff80306a70584 (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0029: 0xfffff803069ed684 (NtUnmapViewOfSection) owned by ntoskrnl.exe
  Entry 0x002a: 0xfffff80306a010ec (NtReplyWaitReceivePortEx) owned by ntoskrnl.exe
  Entry 0x002b: 0xfffff80306c00128 (NtTerminateProcess) owned by ntoskrnl.exe
  Entry 0x002c: 0xfffff80306c33d34 (NtSetEventBoostPriority) owned by ntoskrnl.exe
  Entry 0x002d: 0xfffff80306a75560 (NtReadFileScatter) owned by ntoskrnl.exe
  Entry 0x002e: 0xfffff80306998ea0 (NtOpenThreadTokenEx) owned by ntoskrnl.exe
  Entry 0x002f: 0xfffff80306998930 (NtOpenProcessTokenEx) owned by ntoskrnl.exe
  Entry 0x0030: 0xfffff80306a60008 (NtQueryPerformanceCounter) owned by ntoskrnl.exe
  Entry 0x0031: 0xfffff803069f7170 (NtEnumerateKey) owned by ntoskrnl.exe
  Entry 0x0032: 0xfffff803069c6994 (NtOpenFile) owned by ntoskrnl.exe
  Entry 0x0033: 0xfffff8030699bc30 (NtDelayExecution) owned by ntoskrnl.exe
  Entry 0x0034: 0xfffff80306a627f4 (NtQueryDirectoryFile) owned by ntoskrnl.exe
  Entry 0x0035: 0xfffff80306a5e85c (NtQuerySystemInformation) owned by ntoskrnl.exe
  Entry 0x0036: 0xfffff80306a63894 (NtOpenSection) owned by ntoskrnl.exe
  Entry 0x0037: 0xfffff80306c33bd8 (NtQueryTimer) owned by ntoskrnl.exe
  Entry 0x0038: 0xfffff803069c8ffc (NtFsControlFile) owned by ntoskrnl.exe
  Entry 0x0039: 0xfffff80306a6fd04 (NtWriteVirtualMemory) owned by ntoskrnl.exe
  Entry 0x003a: 0xfffff80306a6793c (NtCloseObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x003b: 0xfffff80306993074 (NtDuplicateObject) owned by ntoskrnl.exe
  Entry 0x003c: 0xfffff80306a10aa4 (NtQueryAttributesFile) owned by ntoskrnl.exe
  Entry 0x003d: 0xfffff80306a5c1f8 (NtClearEvent) owned by ntoskrnl.exe
  Entry 0x003e: 0xfffff8030699c000 (NtReadVirtualMemory) owned by ntoskrnl.exe
  Entry 0x003f: 0xfffff80306a61bfc (NtOpenEvent) owned by ntoskrnl.exe
  Entry 0x0040: 0xfffff803069bc92c (NtAdjustPrivilegesToken) owned by ntoskrnl.exe
  Entry 0x0041: 0xfffff80306c0ec7c (NtDuplicateToken) owned by ntoskrnl.exe
  Entry 0x0042: 0xfffff80306743920 (NtContinue) owned by ntoskrnl.exe
  Entry 0x0043: 0xfffff80306acac48 (NtQueryDefaultUILanguage) owned by ntoskrnl.exe
  Entry 0x0044: 0xfffff80306a6bb94 (NtQueueApcThread) owned by ntoskrnl.exe
  Entry 0x0045: 0xfffff80306643bd0 (NtYieldExecution) owned by ntoskrnl.exe
  Entry 0x0046: 0xfffff80306c3b7f8 (NtAddAtom) owned by ntoskrnl.exe
  Entry 0x0047: 0xfffff803069b0548 (NtCreateEvent) owned by ntoskrnl.exe
  Entry 0x0048: 0xfffff80306a8b598 (NtQueryVolumeInformationFile) owned by ntoskrnl.exe
  Entry 0x0049: 0xfffff803069ebcc0 (NtCreateSection) owned by ntoskrnl.exe
  Entry 0x004a: 0xfffff80306a6d4b4 (NtFlushBuffersFile) owned by ntoskrnl.exe
  Entry 0x004b: 0xfffff80306a315bc (NtApphelpCacheControl) owned by ntoskrnl.exe
  Entry 0x004c: 0xfffff80306bf9230 (NtCreateProcessEx) owned by ntoskrnl.exe
  Entry 0x004d: 0xfffff80306bf92ac (NtCreateThread) owned by ntoskrnl.exe
  Entry 0x004e: 0xfffff80306abaa50 (NtIsProcessInJob) owned by ntoskrnl.exe
  Entry 0x004f: 0xfffff803069ee590 (NtProtectVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0050: 0xfffff80306a60dd0 (NtQuerySection) owned by ntoskrnl.exe
  Entry 0x0051: 0xfffff80306a5c318 (NtResumeThread) owned by ntoskrnl.exe
  Entry 0x0052: 0xfffff803069ca13c (NtTerminateThread) owned by ntoskrnl.exe
  Entry 0x0053: 0xfffff80306bdaf60 (NtReadRequestData) owned by ntoskrnl.exe
  Entry 0x0054: 0xfffff80306a0add0 (NtCreateFile) owned by ntoskrnl.exe
  Entry 0x0055: 0xfffff80306a622a0 (NtQueryEvent) owned by ntoskrnl.exe
  Entry 0x0056: 0xfffff80306bdb084 (NtWriteRequestData) owned by ntoskrnl.exe
  Entry 0x0057: 0xfffff80306a665f4 (NtOpenDirectoryObject) owned by ntoskrnl.exe
  Entry 0x0058: 0xfffff803069b77cc (NtAccessCheckByTypeAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0059: 0xfffff80306c30b98 (UNKNOWN) owned by ntoskrnl.exe
  Entry 0x005a: 0xfffff80306a5b1d4 (NtWaitForMultipleObjects) owned by ntoskrnl.exe
  Entry 0x005b: 0xfffff80306bebb28 (NtSetInformationObject) owned by ntoskrnl.exe
  Entry 0x005c: 0xfffff80306a633c4 (NtCancelIoFile) owned by ntoskrnl.exe
  Entry 0x005d: 0xfffff80306829b80 (NtTraceEvent) owned by ntoskrnl.exe
  Entry 0x005e: 0xfffff80306a1ecc4 (NtPowerInformation) owned by ntoskrnl.exe
  Entry 0x005f: 0xfffff803069daf18 (NtSetValueKey) owned by ntoskrnl.exe
  Entry 0x0060: 0xfffff8030666274c (NtCancelTimer) owned by ntoskrnl.exe
  Entry 0x0061: 0xfffff803066ce628 (NtSetTimer) owned by ntoskrnl.exe
  Entry 0x0062: 0xfffff803066445a4 (NtAccessCheck) owned by ntoskrnl.exe
  Entry 0x0063: 0xfffff803066cff48 (NtAccessCheckByType) owned by ntoskrnl.exe
  Entry 0x0064: 0xfffff8030680cfe0 (NtAccessCheckByTypeResultList) owned by ntoskrnl.exe
  Entry 0x0065: 0xfffff80306ad460c (NtAccessCheckByTypeResultListAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0066: 0xfffff80306c137fc (NtAccessCheckByTypeResultListAndAuditAlarmByHandle) owned by ntoskrnl.exe
  Entry 0x0067: 0xfffff80306a68f3c (NtAddAtomEx) owned by ntoskrnl.exe
  Entry 0x0068: 0xfffff80306c37600 (NtAddBootEntry) owned by ntoskrnl.exe
  Entry 0x0069: 0xfffff80306c37620 (NtAddDriverEntry) owned by ntoskrnl.exe
  Entry 0x006a: 0xfffff80306a6df28 (NtAdjustGroupsToken) owned by ntoskrnl.exe
  Entry 0x006b: 0xfffff80306b093cc (NtAdjustTokenClaimsAndDeviceGroups) owned by ntoskrnl.exe
  Entry 0x006c: 0xfffff80306c00f00 (NtAlertResumeThread) owned by ntoskrnl.exe
  Entry 0x006d: 0xfffff80306a9beb8 (NtAlertThread) owned by ntoskrnl.exe
  Entry 0x006e: 0xfffff80306a3e608 (NtAlertThreadByThreadId) owned by ntoskrnl.exe
  Entry 0x006f: 0xfffff80306a5fef0 (NtAllocateLocallyUniqueId) owned by ntoskrnl.exe
  Entry 0x0070: 0xfffff80306bf9700 (NtAllocateReserveObject) owned by ntoskrnl.exe
  Entry 0x0071: 0xfffff80306be4ccc (NtAllocateUserPhysicalPages) owned by ntoskrnl.exe
  Entry 0x0072: 0xfffff80306a7ec70 (NtAllocateUuids) owned by ntoskrnl.exe
  Entry 0x0073: 0xfffff803069beebc (NtAlpcAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0074: 0xfffff80306ab6fd8 (NtAlpcCancelMessage) owned by ntoskrnl.exe
  Entry 0x0075: 0xfffff803069bcd78 (NtAlpcConnectPort) owned by ntoskrnl.exe
  Entry 0x0076: 0xfffff80306a74db4 (NtAlpcConnectPortEx) owned by ntoskrnl.exe
  Entry 0x0077: 0xfffff803069c0bf8 (NtAlpcCreatePort) owned by ntoskrnl.exe
  Entry 0x0078: 0xfffff80306a047b8 (NtAlpcCreatePortSection) owned by ntoskrnl.exe
  Entry 0x0079: 0xfffff80306a16320 (NtAlpcCreateResourceReserve) owned by ntoskrnl.exe
  Entry 0x007a: 0xfffff80306a02ac8 (NtAlpcCreateSectionView) owned by ntoskrnl.exe
  Entry 0x007b: 0xfffff80306a023c8 (NtAlpcCreateSecurityContext) owned by ntoskrnl.exe
  Entry 0x007c: 0xfffff80306a04bc8 (NtAlpcDeletePortSection) owned by ntoskrnl.exe
  Entry 0x007d: 0xfffff80306bdbefc (NtAlpcDeleteResourceReserve) owned by ntoskrnl.exe
  Entry 0x007e: 0xfffff80306a69c1c (NtAlpcDeleteSectionView) owned by ntoskrnl.exe
  Entry 0x007f: 0xfffff80306a038a8 (NtAlpcDeleteSecurityContext) owned by ntoskrnl.exe
  Entry 0x0080: 0xfffff80306a0899c (NtAlpcDisconnectPort) owned by ntoskrnl.exe
  Entry 0x0081: 0xfffff803069b07b0 (NtAlpcImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x0082: 0xfffff80306a7238c (NtAlpcOpenSenderProcess) owned by ntoskrnl.exe
  Entry 0x0083: 0xfffff80306a716e0 (NtAlpcOpenSenderThread) owned by ntoskrnl.exe
  Entry 0x0084: 0xfffff80306a3f7f4 (NtAlpcQueryInformation) owned by ntoskrnl.exe
  Entry 0x0085: 0xfffff80306a40690 (NtAlpcQueryInformationMessage) owned by ntoskrnl.exe
  Entry 0x0086: 0xfffff80306bdc120 (NtAlpcRevokeSecurityContext) owned by ntoskrnl.exe
  Entry 0x0087: 0xfffff803069a2240 (NtAlpcSendWaitReceivePort) owned by ntoskrnl.exe
