[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff8012374c200 with 433 entries
  Entry 0x0000: 0xfffff801236d4e04 (NtWorkerFactoryWorkerReady) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff801239c6640 (NtAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff80123beb018 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff801239a96c0 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff8012374bd40 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff801239a4c80 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff80123a60c48 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff801239d0d64 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff801239a6418 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff801239fef60 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff80123a062b4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff80123a71cac (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff801239b3620 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff801239a6db0 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff801239a55a0 (NtClose) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff801239f9d98 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff80123a8f820 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff80123a6886c (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff801239f897c (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff8012399ce60 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff801239d59d8 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff801239ad110 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff801239ae410 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff80123be4bd4 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0018: 0xfffff80123bfe87c (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0019: 0xfffff80123a613fc (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
  Entry 0x001a: 0xfffff80123a70070 (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x001b: 0xfffff80123c00f80 (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x001c: 0xfffff80123a651fc (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x001d: 0xfffff80123683dc0 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x001e: 0xfffff80123bdfeb0 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x001f: 0xfffff8012399af34 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x0020: 0xfffff801239b7910 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x0021: 0xfffff80123a69618 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x0022: 0xfffff80123995528 (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0023: 0xfffff8012399de7c (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0024: 0xfffff801239cbd90 (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x0025: 0xfffff801239ccc70 (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x0026: 0xfffff801237b3a90 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x0027: 0xfffff801239f2874 (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0028: 0xfffff80123a75574 (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0029: 0xfffff801239f2664 (NtUnmapViewOfSection) owned by ntoskrnl.exe
  Entry 0x002a: 0xfffff80123a060dc (NtReplyWaitReceivePortEx) owned by ntoskrnl.exe
  Entry 0x002b: 0xfffff80123c05154 (NtTerminateProcess) owned by ntoskrnl.exe
  Entry 0x002c: 0xfffff80123c38d98 (NtSetEventBoostPriority) owned by ntoskrnl.exe
  Entry 0x002d: 0xfffff80123a7a550 (NtReadFileScatter) owned by ntoskrnl.exe
  Entry 0x002e: 0xfffff8012399dea0 (NtOpenThreadTokenEx) owned by ntoskrnl.exe
  Entry 0x002f: 0xfffff8012399d930 (NtOpenProcessTokenEx) owned by ntoskrnl.exe
  Entry 0x0030: 0xfffff80123a64ff8 (NtQueryPerformanceCounter) owned by ntoskrnl.exe
  Entry 0x0031: 0xfffff801239fc150 (NtEnumerateKey) owned by ntoskrnl.exe
  Entry 0x0032: 0xfffff801239cb970 (NtOpenFile) owned by ntoskrnl.exe
  Entry 0x0033: 0xfffff801239a0c30 (NtDelayExecution) owned by ntoskrnl.exe
  Entry 0x0034: 0xfffff80123a677e4 (NtQueryDirectoryFile) owned by ntoskrnl.exe
  Entry 0x0035: 0xfffff80123a6384c (NtQuerySystemInformation) owned by ntoskrnl.exe
  Entry 0x0036: 0xfffff80123a68884 (NtOpenSection) owned by ntoskrnl.exe
  Entry 0x0037: 0xfffff80123c38c3c (NtQueryTimer) owned by ntoskrnl.exe
  Entry 0x0038: 0xfffff801239cdfd8 (NtFsControlFile) owned by ntoskrnl.exe
  Entry 0x0039: 0xfffff80123a74cf4 (NtWriteVirtualMemory) owned by ntoskrnl.exe
  Entry 0x003a: 0xfffff80123a6c92c (NtCloseObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x003b: 0xfffff80123998074 (NtDuplicateObject) owned by ntoskrnl.exe
  Entry 0x003c: 0xfffff80123a15a94 (NtQueryAttributesFile) owned by ntoskrnl.exe
  Entry 0x003d: 0xfffff80123a611e8 (NtClearEvent) owned by ntoskrnl.exe
  Entry 0x003e: 0xfffff801239a1000 (NtReadVirtualMemory) owned by ntoskrnl.exe
  Entry 0x003f: 0xfffff80123a66bec (NtOpenEvent) owned by ntoskrnl.exe
  Entry 0x0040: 0xfffff801239c191c (NtAdjustPrivilegesToken) owned by ntoskrnl.exe
