[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffffe151c1d0000 with 1138 entries
  Entry 0x0000: 0xfffffe151c1a19e6 (stub_UserGetOwnerTransformedMonitorRect) owned by win32k.sys
  Entry 0x0001: 0xfffffe151c1a19ec (stub_UserYieldTask) owned by win32k.sys
  Entry 0x0002: 0xfffffe151c1a19f2 (stub_UserSetSensorPresence) owned by win32k.sys
  Entry 0x0003: 0xfffffe151c1a19f8 (NtUserGetThreadState) owned by win32k.sys
  Entry 0x0004: 0xfffffe151c1a19fe (NtUserPeekMessage) owned by win32k.sys
  Entry 0x0005: 0xfffffe151c1a1a04 (NtUserCallOneParam) owned by win32k.sys
  Entry 0x0006: 0xfffffe151c1a1a0a (NtUserGetKeyState) owned by win32k.sys
  Entry 0x0007: 0xfffffe151c1a1a10 (NtUserInvalidateRect) owned by win32k.sys
  Entry 0x0008: 0xfffffe151c1a1a16 (NtUserCallNoParam) owned by win32k.sys
  Entry 0x0009: 0xfffffe151c1a1a1c (NtUserGetMessage) owned by win32k.sys
  Entry 0x000a: 0xfffffe151c1a1a22 (NtUserMessageCall) owned by win32k.sys
  Entry 0x000b: 0xfffffe151c1a1a28 (NtGdiBitBlt) owned by win32k.sys
  Entry 0x000c: 0xfffffe151c1a1a2e (NtGdiGetCharSet) owned by win32k.sys
  Entry 0x000d: 0xfffffe151c1a1a34 (NtUserGetDC) owned by win32k.sys
  Entry 0x000e: 0xfffffe151c1a1a3a (NtGdiSelectBitmap) owned by win32k.sys
  Entry 0x000f: 0xfffffe151c1a1a40 (NtUserWaitMessage) owned by win32k.sys
  Entry 0x0010: 0xfffffe151c1a1a46 (NtUserTranslateMessage) owned by win32k.sys
  Entry 0x0011: 0xfffffe151c1a1a4c (NtUserGetProp) owned by win32k.sys
  Entry 0x0012: 0xfffffe151c1a1a52 (NtUserPostMessage) owned by win32k.sys
  Entry 0x0013: 0xfffffe151c1a1a58 (NtUserQueryWindow) owned by win32k.sys
  Entry 0x0014: 0xfffffe151c1a1a5e (stub_UserTranslateAccelerator) owned by win32k.sys
  Entry 0x0015: 0xfffffe151c1a1a64 (NtGdiFlush) owned by win32k.sys
  Entry 0x0016: 0xfffffe151c1a1a6a (NtUserRedrawWindow) owned by win32k.sys
  Entry 0x0017: 0xfffffe151c1a1a70 (NtUserWindowFromPoint) owned by win32k.sys
  Entry 0x0018: 0xfffffe151c1a1a76 (NtUserCallMsgFilter) owned by win32k.sys
  Entry 0x0019: 0xfffffe151c1a1a7c (NtUserValidateTimerCallback) owned by win32k.sys
  Entry 0x001a: 0xfffffe151c1a1a82 (NtUserBeginPaint) owned by win32k.sys
  Entry 0x001b: 0xfffffe151c1a1a88 (NtUserSetTimer) owned by win32k.sys
  Entry 0x001c: 0xfffffe151c1a1a8e (NtUserEndPaint) owned by win32k.sys
  Entry 0x001d: 0xfffffe151c1a1a94 (NtUserSetCursor) owned by win32k.sys
  Entry 0x001e: 0xfffffe151c1a1a9a (NtUserKillTimer) owned by win32k.sys
  Entry 0x001f: 0xfffffe151c1a1aa0 (NtUserBuildHwndList) owned by win32k.sys
  Entry 0x0020: 0xfffffe151c1a1aa6 (NtUserSelectPalette) owned by win32k.sys
  Entry 0x0021: 0xfffffe151c1a1aac (NtUserCallNextHookEx) owned by win32k.sys
  Entry 0x0022: 0xfffffe151c1a1ab2 (NtUserHideCaret) owned by win32k.sys
  Entry 0x0023: 0xfffffe151c1a1ab8 (NtGdiIntersectClipRect) owned by win32k.sys
  Entry 0x0024: 0xfffffe151c1a1abe (NtUserCallHwndLock) owned by win32k.sys
  Entry 0x0025: 0xfffffe151c1a1ac4 (NtUserGetProcessWindowStation) owned by win32k.sys
  Entry 0x0026: 0xfffffe151c1a1aca (NtGdiDeleteObjectApp) owned by win32k.sys
  Entry 0x0027: 0xfffffe151c1a1ad0 (NtUserSetWindowPos) owned by win32k.sys
  Entry 0x0028: 0xfffffe151c1a1ad6 (NtUserShowCaret) owned by win32k.sys
  Entry 0x0029: 0xfffffe151c1a1adc (stub_UserEndDeferWindowPosEx) owned by win32k.sys
  Entry 0x002a: 0xfffffe151c1a1ae2 (NtUserCallHwndParamLock) owned by win32k.sys
  Entry 0x002b: 0xfffffe151c1a1ae8 (NtUserVkKeyScanEx) owned by win32k.sys
  Entry 0x002c: 0xfffffe151c1a1aee (NtGdiSetDIBitsToDeviceInternal) owned by win32k.sys
  Entry 0x002d: 0xfffffe151c1a1af4 (NtUserCallTwoParam) owned by win32k.sys
  Entry 0x002e: 0xfffffe151c1a1afa (NtGdiGetRandomRgn) owned by win32k.sys
  Entry 0x002f: 0xfffffe151c1a1b00 (stub_UserCopyAcceleratorTable) owned by win32k.sys
  Entry 0x0030: 0xfffffe151c1a1b06 (NtUserNotifyWinEvent) owned by win32k.sys
  Entry 0x0031: 0xfffffe151c1a1b0c (NtGdiExtSelectClipRgn) owned by win32k.sys
  Entry 0x0032: 0xfffffe151c1a1b12 (NtUserIsClipboardFormatAvailable) owned by win32k.sys
  Entry 0x0033: 0xfffffe151c1a1b18 (NtUserSetScrollInfo) owned by win32k.sys
  Entry 0x0034: 0xfffffe151c1a1b1e (NtGdiStretchBlt) owned by win32k.sys
  Entry 0x0035: 0xfffffe151c1a1b24 (NtUserCreateCaret) owned by win32k.sys
  Entry 0x0036: 0xfffffe151c1a1b2a (NtGdiRectVisible) owned by win32k.sys
  Entry 0x0037: 0xfffffe151c1a1b30 (NtGdiCombineRgn) owned by win32k.sys
  Entry 0x0038: 0xfffffe151c1a1b36 (NtGdiGetDCObject) owned by win32k.sys
  Entry 0x0039: 0xfffffe151c1a1b3c (NtUserDispatchMessage) owned by win32k.sys
