Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffff88003599e20 0x000004e3:0xf1b1c21a             0 Yes        0xfffff880035801b0 srv2.sys
0xfffffa8031ef6278 0x000005f5:0xf56bb157             0 -          0xfffff88001488160 ndis.sys
0xfffffa8031f1a278 0x000005f5:0xf56bb157             0 -          0xfffff88001488160 ndis.sys
0xfffffa8031f06278 0x000005f5:0xf56bb157             0 -          0xfffff88001488160 ndis.sys
0xfffff80002c33fe0 0x000004e3:0xf1ded7a4         15000 Yes        0xfffff80002a37ee0 ntoskrnl.exe
0xfffff88003833f50 0x000004e4:0x7666b6d7             0 -          0xfffff88003817150 srv.sys
0xfffff8800359a068 0x000004e4:0x83ec3734             0 -          0xfffff880035807c0 srv2.sys
0xfffff8800129d198 0x000004e4:0x68f14c56             0 -          0xfffff88001240f60 Ntfs.sys
0xfffffa8031c4fa10 0x000004e4:0x72fb3359            25 Yes        0xfffff880019980c0 CLASSPNP.SYS
0xfffffa8031f28278 0x000004e4:0x7333a539             0 -          0xfffff88001488160 ndis.sys
0xfffff88003139af8 0x000004e4:0x44017200           200 Yes        0xfffff80002a85540 ntoskrnl.exe
0xfffff88003d82cb8 0x000004e4:0x7101d4c0           500 Yes        0xfffff88003d6b750 tunnel.sys
0xfffffa8031b386e0 0x000004e4:0x737fa5b2             0 -          0xfffff8800109e1c0 storport.sys
0xfffffa8031b879e0 0x000004e4:0x73458326            10 -          0xfffff88001686dc0 tcpip.sys
0xfffff8800177c670 0x000004e3:0xee4b4e80             0 -          0xfffff880015842b0 NETIO.SYS
0xfffff88001789960 0x000004e3:0xeddb4aee           500 Yes        0xfffff8800168a270 tcpip.sys
0xfffffa8031e19cb8 0x000004e9:0x5e626093      21600000 Yes        0xfffff88003e61a1c dxgkrnl.sys
0xfffffa8031f00278 0x000004e4:0x731994f0             0 -          0xfffff88001488160 ndis.sys
0xfffffa8031b2e320 0x000004e4:0x734fcc5e          1000 Yes        0xfffff8800109e010 storport.sys
0xfffffa8032ea2bd0 0x000004e4:0x73b79d84             0 -          0xfffff88003817010 srv.sys
0xfffff8800177c670 0x000004e3:0xee4b4e80             0 -          0xfffff880015842b0 NETIO.SYS
0xfffff80002c287c0 0x000062ca:0xa02bf72c             0 -          0xfffff80002b40580 ntoskrnl.exe
0xfffffa8031d7fb68 0x000004e4:0x77440100         30000 Yes        0xfffff88002c07e60 afd.sys
0xfffff8000301e6b8 0x000004e4:0x026638d4         60000 Yes        0xfffff8000300719c hal.dll
0xfffffa8031f28278 0x000004e4:0x7333a539             0 -          0xfffff88001488160 ndis.sys
0xfffffa8031b879e0 0x000004e4:0x73458326            10 -          0xfffff88001686dc0 tcpip.sys
0xfffff8800177c670 0x000004e3:0xee4b4e80             0 -          0xfffff880015842b0 NETIO.SYS
0xfffffa80338eb138 0x000004e4:0x53021038             0 -          0xfffff80002b42190 ntoskrnl.exe
0xfffff88003d40480 0x000004e4:0x757a3d80             0 -          0xfffff88003d3cc3c dfsc.sys
0xfffffa8031b2e320 0x000004e4:0x734fcc5e          1000 Yes        0xfffff8800109e010 storport.sys
0xfffffa803605eba8 0x000004e4:0x2f92a6f4             0 Yes        0xfffff80002b42190 ntoskrnl.exe
0xfffffa8031e19cb8 0x000004e9:0x5e626093      21600000 Yes        0xfffff88003e61a1c dxgkrnl.sys
0xfffffa8031e01278 0x000004e4:0x737765f7             0 -          0xfffff88001488160 ndis.sys
0xfffffa8031f1c278 0x000004e4:0x737765f7             0 -          0xfffff88001488160 ndis.sys
0xfffffa8031f08278 0x000004e4:0x737765f7             0 -          0xfffff88001488160 ndis.sys
0xfffffa8031dba278 0x000004e4:0x737765f7             0 -          0xfffff88001488160 ndis.sys
0xfffffa8031db8278 0x000004e4:0x737765f7             0 -          0xfffff88001488160 ndis.sys
0xfffffa8031da1278 0x000004e4:0x737765f7             0 -          0xfffff88001488160 ndis.sys
0xfffff88002459680 0x000004e4:0x7a9c104d         30000 Yes        0xfffff88002426540 HTTP.sys
0xfffff88002458580 0x000004e4:0x7a9c104d         60000 Yes        0xfffff88002426680 HTTP.sys
0xfffff880024619c0 0x000004e4:0x7a9c104d         60000 Yes        0xfffff88002426700 HTTP.sys
0xfffffa8032ea2ef0 0x000004e4:0x7393e85e             0 -          0xfffff88003817010 srv.sys
0xfffffa8031c4fa10 0x000004e4:0x72fb3359            25 Yes        0xfffff880019980c0 CLASSPNP.SYS
0xfffffa8031f28278 0x000004e4:0x7333a539             0 -          0xfffff88001488160 ndis.sys
0xfffffa8032d46af8 0x000004e4:0x7d1f7582             0 -          0xfffff88003536370 srvnet.sys
0xfffffa8031b87b48 0x000004e4:0x74b223c1            10 -          0xfffff88001686dc0 tcpip.sys
0xfffffa8031fa1960 0x000004e4:0x744650a0             0 -          0xfffff88002c90010 netbt.sys
0xfffff88002c23760 0x000004e4:0x714e2000             0 -          0xfffff88002c07010 afd.sys
0xfffff80002c8a7a0 0x000004e3:0xee2cca00             0 -          0xfffff80002ac5f40 ntoskrnl.exe
0xfffff8800155d9d0 0x000004e3:0xee2cca00         10000 Yes        0xfffff880014fa700 cng.sys
0xfffff80002c29900 0x000004e3:0xee2cca00          5000 Yes        0xfffff80002a74290 ntoskrnl.exe
0xfffff80002c891e0 0x000004e3:0xf0924f51             0 -          0xfffff80002a2fef0 ntoskrnl.exe
0xfffffa8031d7fb68 0x000004e4:0x77440100         30000 Yes        0xfffff88002c07e60 afd.sys
0xfffff8000301e6b8 0x000004e4:0x026638d4         60000 Yes        0xfffff8000300719c hal.dll
0xfffff80002c89480 0x000004e3:0xeee7900c             0 -          0xfffff80002a2ff60 ntoskrnl.exe
0xfffffa80323d7c60 0x000004e4:0x7fc5df49         60000 Yes        0xfffff88001489b60 ndis.sys
0xfffff80002c88610 0x000004e3:0xfa7a246b         60000 Yes        0xfffff80002a31084 ntoskrnl.exe
0xfffffa8031d7fb68 0x000004e4:0x77440100         30000 Yes        0xfffff88002c07e60 afd.sys
0xfffff8000301e6b8 0x000004e4:0x026638d4         60000 Yes        0xfffff8000300719c hal.dll
0xfffffa80323d7c60 0x000004e4:0x7fc5df49         60000 Yes        0xfffff88001489b60 ndis.sys
0xfffff80002c88610 0x000004e3:0xfa7a246b         60000 Yes        0xfffff80002a31084 ntoskrnl.exe
0xfffffa8031d7fb68 0x000004e4:0x77440100         30000 Yes        0xfffff88002c07e60 afd.sys
0xfffff8000301e6b8 0x000004e4:0x026638d4         60000 Yes        0xfffff8000300719c hal.dll
0xfffff8800129d0e8 0x000004e3:0xee5a90c0             0 -          0xfffff8800125a780 Ntfs.sys
0xfffffa8031f1e278 0x000004e4:0x73f6a9f4             0 -          0xfffff88001488160 ndis.sys
0xfffff88002461ba0 0x000004e4:0x71cd7996             0 -          0xfffff8800241b2b0 HTTP.sys
0xfffff80002c287c0 0x000062ca:0xa02bf72c             0 -          0xfffff80002b40580 ntoskrnl.exe
0xfffffa80323d7c60 0x000004e4:0x7fc5df49         60000 Yes        0xfffff88001489b60 ndis.sys
0xfffff80002c88610 0x000004e3:0xfa7a246b         60000 Yes        0xfffff80002a31084 ntoskrnl.exe
0xfffffa8031d7fb68 0x000004e4:0x77440100         30000 Yes        0xfffff88002c07e60 afd.sys
0xfffff8000301e6b8 0x000004e4:0x026638d4         60000 Yes        0xfffff8000300719c hal.dll
0xfffff88003833f50 0x000004e4:0x7666b6d7             0 -          0xfffff88003817150 srv.sys
0xfffff80002c88610 0x000004e3:0xfa7a246b         60000 Yes        0xfffff80002a31084 ntoskrnl.exe
0xfffffa8031d7fb68 0x000004e4:0x77440100         30000 Yes        0xfffff88002c07e60 afd.sys
0xfffff8000301e6b8 0x000004e4:0x026638d4         60000 Yes        0xfffff8000300719c hal.dll
0xfffff880035540e8 0x000004e4:0x7da4c8d7             0 -          0xfffff88003538bc0 srvnet.sys
0xfffff88002461ba0 0x000004e4:0x71cd7996             0 -          0xfffff8800241b2b0 HTTP.sys
0xfffffa8031d7fb68 0x000004e4:0x77440100         30000 Yes        0xfffff88002c07e60 afd.sys
0xfffff8000301e6b8 0x000004e4:0x026638d4         60000 Yes        0xfffff8000300719c hal.dll
0xfffff88003139af8 0x000004e4:0x44017200           200 Yes        0xfffff80002a85540 ntoskrnl.exe
0xfffff88003d82cb8 0x000004e4:0x7101d4c0           500 Yes        0xfffff88003d6b750 tunnel.sys
