Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffff880012940e8 0x00000186:0xabf97da0             0 -          0xfffff88001251780 Ntfs.sys
0xfffffa8032d14100 0x0000018e:0x8b614aac        120000 Yes        0xfffff80002fc26a0 ntoskrnl.exe
0xfffffa8031d07278 0x0000018e:0x848ab409             0 -          0xfffff880014cd160 ndis.sys
0xfffff80003061d00 0x00000186:0xc8a7cbc1             0 -          0xfffff80002e5de38 ntoskrnl.exe
0xfffff80002e296b8 0x00000186:0xc3ef581a         60000 Yes        0xfffff80002e1219c hal.dll
0xfffffa803244c150 0x00000192:0x5fec828d             0 -          0xfffff88003d0d010 netbt.sys
0xfffffa8032b602b0 0x0000018f:0x1547a854        300000 Yes        0xfffff80002fc26a0 ntoskrnl.exe
0xfffff800030c2610 0x00000186:0xbd0dddcf         60000 Yes        0xfffff80002e6b084 ntoskrnl.exe
0xfffffa8031d10278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8031d13278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8031d0a278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8031ff7278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffff88001068920 0x0000019c:0xd2814c9a             0 -          0xfffff8800102e880 cng.sys
0xfffffa8031f13ec8 0x00000192:0x5c94bba4      21600000 Yes        0xfffff88004248a1c dxgkrnl.sys
0xfffff88002979068 0x00000186:0xcb670b92             0 Yes        0xfffff8800295f7c0 srv2.sys
0xfffffa8031fc4e78 0x0000018e:0x83b76ca0            14 Yes        0xfffff88003e711b8 vm3dmp.sys
0xfffffa8032b5abe0 0x00000192:0x6f965f64       3600000 Yes        0xfffff80002fc26a0 ntoskrnl.exe
0xfffffa8031d10278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8031d13278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8031d0a278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8031ff7278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8032b5abe0 0x00000192:0x6f965f64       3600000 Yes        0xfffff80002fc26a0 ntoskrnl.exe
0xfffffa8031d10278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8031d13278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8031d0a278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8031ff7278 0x00000262:0x628c3c22             0 -          0xfffff880014cd160 ndis.sys
0xfffffa8031b1ee88 0x0000018e:0x85b1b600          1000 Yes        0xfffff88000f0ad84 Wdf01000.sys
0xfffff800030c47a0 0x00000186:0xabd35800             0 -          0xfffff80002efff40 ntoskrnl.exe
0xfffffa8032b5a900 0x0000018e:0xf1846254        300000 Yes        0xfffff80002fc26a0 ntoskrnl.exe
0xfffff8800192d260 0x00000187:0x36b45280             0 -          0xfffff8800192af20 mup.sys
0xfffffa8032d14100 0x0000018e:0x8b614aac        120000 Yes        0xfffff80002fc26a0 ntoskrnl.exe
0xfffff880020f8680 0x0000018e:0x536949a7         30000 Yes        0xfffff880020c5540 HTTP.sys
0xfffffa803244c150 0x00000192:0x5fec828d             0 -          0xfffff88003d0d010 netbt.sys
0xfffffa8031c81db0 0x0000018e:0x929ff444         60000 Yes        0xfffff88001121cf0 fltmgr.sys
0xfffffa8031b1ee88 0x0000018e:0x85b1b600          1000 Yes        0xfffff88000f0ad84 Wdf01000.sys
0xfffff800030c47a0 0x00000186:0xabd35800             0 -          0xfffff80002efff40 ntoskrnl.exe
0xfffff88002070710 0x0000018e:0x4a16ec00             0 -          0xfffff8800206a82c luafv.sys
0xfffffa80310f1ef0 0x0000018e:0x8ca747b5             0 -          0xfffff88004a40010 srv.sys
0xfffffa8030e3f460 0x0000018e:0x8a7ce65d           500 Yes        0xfffff88000c9984c ataport.SYS
0xfffffa8030e54460 0x0000018e:0x8a7ce65d           500 Yes        0xfffff88000c9984c ataport.SYS
0xfffffa80310f1ef0 0x0000018e:0x8ca747b5             0 -          0xfffff88004a40010 srv.sys
