Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffffa8031fb4d38 0x00000192:0x90a93703      21600000 Yes        0xfffff8800440ca1c dxgkrnl.sys
0xfffff80002e1e7c0 0x000053a2:0x359938fa             0 -          0xfffff80002d36580 ntoskrnl.exe
0xfffffa8032c83ec8 0x0000018a:0x7dfdbdcf             0 -          0xfffff880028c1370 srvnet.sys
0xfffff8800436e480 0x0000018a:0x9ceea480             0 -          0xfffff8800436ac3c dfsc.sys
0xfffff80002e7e610 0x00000186:0x995b4171         60000 Yes        0xfffff80002c27084 ntoskrnl.exe
0xfffffa8032798e70 0x0000018a:0x8ea84b29        120000 Yes        0xfffff80002d7e6a0 ntoskrnl.exe
0xfffff80002e29fe0 0x00000186:0x8b25578a         15000 Yes        0xfffff80002c2dee0 ntoskrnl.exe
0xfffff8800436e480 0x0000018a:0x9ceea480             0 -          0xfffff8800436ac3c dfsc.sys
0xfffff880010c6920 0x0000019c:0xd2b9b08b             0 -          0xfffff8800108c880 cng.sys
0xfffffa8032c30810 0x0000018a:0x8c87300a         60000 Yes        0xfffff80002d7e6a0 ntoskrnl.exe
0xfffffa8032c30980 0x0000018a:0x8c87571a       3600000 Yes        0xfffff80002d7e6a0 ntoskrnl.exe
0xfffff80002e1e860 0x005a04cf:0x43f838fa             0 -          0xfffff80002d365b0 ntoskrnl.exe
0xfffffa8032013e78 0x0000018a:0x79638580            14 Yes        0xfffff880042591b8 vm3dmp.sys
0xfffffa8032013e78 0x0000018a:0x79638580            14 Yes        0xfffff880042591b8 vm3dmp.sys
0xfffff88003132af8 0x00000188:0xb90fcb00           200 Yes        0xfffff80002c7b540 ntoskrnl.exe
0xfffffa8031495278 0x00000263:0x9c126bdb             0 -          0xfffff8800150f160 ndis.sys
0xfffffa8032c306a0 0x0000018a:0x8c87300a        300000 Yes        0xfffff80002d7e6a0 ntoskrnl.exe
0xfffffa8032c30810 0x0000018a:0x8c87300a         60000 Yes        0xfffff80002d7e6a0 ntoskrnl.exe
0xfffffa8032c30980 0x0000018a:0x8c87571a       3600000 Yes        0xfffff80002d7e6a0 ntoskrnl.exe
0xfffffa80321c4278 0x0000018a:0x7cad220f             0 -          0xfffff8800150f160 ndis.sys
0xfffffa8031c7a7f0 0x0000018a:0x7a4f2e07          1000 Yes        0xfffff880010fc010 storport.sys
0xfffffa8032fe88f0 0x0000018a:0x771687cd             0 -          0xfffff88003419010 srv.sys
0xfffffa8032b36840 0x0000018a:0xb04cd76a        300000 Yes        0xfffff80002d7e6a0 ntoskrnl.exe
0xfffffa8031c836e0 0x0000018a:0x7ac7a1d3             0 -          0xfffff880010fc1c0 storport.sys
0xfffffa8031bcd770 0x0000018a:0x86aea1c2         60000 Yes        0xfffff88001510b60 ndis.sys
0xfffff88001789960 0x00000186:0x8728bbe0           500 Yes        0xfffff8800168a270 tcpip.sys
0xfffff880043b0cb8 0x0000018a:0x5c42db40           500 Yes        0xfffff88004399750 tunnel.sys
0xfffffa8031f71b68 0x0000018a:0x821c3000         30000 Yes        0xfffff8800400ce60 afd.sys
0xfffff880012900e8 0x00000186:0x88101200             0 -          0xfffff8800124d780 Ntfs.sys
0xfffff8800418a960 0x0000018a:0x5f8a1700             0 -          0xfffff8800416f5a4 rdbss.sys
0xfffff8800188c220 0x00000187:0x2b588c48        300000 Yes        0xfffff880018728b0 rdyboost.sys
0xfffffa8031495278 0x00000263:0x9c126bdb             0 -          0xfffff8800150f160 ndis.sys
0xfffff88001290198 0x00000187:0x2dd4a64f             0 -          0xfffff88001233f60 Ntfs.sys
0xfffffa8031b23430 0x00000192:0xa1211abb             0 -          0xfffff88004095010 netbt.sys
0xfffff8800177c670 0x0000018a:0x4eca5ec0             0 -          0xfffff8800157b2b0 NETIO.SYS
0xfffff80002e1e860 0x005a04cf:0x43f838fa             0 -          0xfffff80002d365b0 ntoskrnl.exe
0xfffffa8031b1d930 0x0000018a:0x7bc45156             0 -          0xfffff88004095010 netbt.sys
0xfffffa80321c1278 0x0000018a:0x7aad62fe             0 -          0xfffff8800150f160 ndis.sys
0xfffffa8032432278 0x0000018a:0x797a2a6a             0 -          0xfffff8800150f160 ndis.sys
0xfffffa8032013e78 0x0000018a:0x79638580            14 Yes        0xfffff880042591b8 vm3dmp.sys
0xfffff80002e807a0 0x00000186:0x87777b80             0 -          0xfffff80002cbbf40 ntoskrnl.exe
0xfffff88002319260 0x0000018a:0x995d91d6             0 -          0xfffff880022ddcb0 HTTP.sys
0xfffff88003132af8 0x00000188:0xb90fcb00           200 Yes        0xfffff80002c7b540 ntoskrnl.exe
0xfffffa80326103e8 0x0000018a:0x780130d6          4000 Yes        0xfffff88004968c14 usbccgp.sys
0xfffffa8032013e78 0x0000018a:0x79638580            14 Yes        0xfffff880042591b8 vm3dmp.sys
0xfffff80002df87d8 0x00000186:0x8780c299         15000 Yes        0xfffff80002c2fb20 ntoskrnl.exe
0xfffff80002e1dd00 0x00000186:0xa683d864             0 -          0xfffff80002c19e38 ntoskrnl.exe
0xfffffa8030f09620 0x0000018a:0xc927aa62             0 -          0xfffff80002c7b540 ntoskrnl.exe
0xfffff80002e1e720 0x00000189:0xf3d13d2d             0 -          0xfffff80002c13050 ntoskrnl.exe
0xfffff80002e1e900 0x00002556:0x32c2a1ea             0 -          0xfffff80002d36730 ntoskrnl.exe
0xfffffa8031bcd770 0x0000018a:0x86aea1c2         60000 Yes        0xfffff88001510b60 ndis.sys
0xfffffa8031495278 0x00000263:0x9c126bdb             0 -          0xfffff8800150f160 ndis.sys
0xfffff880012900e8 0x00000186:0x88101200             0 -          0xfffff8800124d780 Ntfs.sys
0xfffff8800418a960 0x0000018a:0x5f8a1700             0 -          0xfffff8800416f5a4 rdbss.sys
0xfffff88003435f50 0x0000018a:0x5c3ae03c             0 -          0xfffff88003419150 srv.sys
0xfffff80002df87d8 0x00000186:0x8780c299         15000 Yes        0xfffff80002c2fb20 ntoskrnl.exe
0xfffff88001290198 0x00000187:0x2dd4a64f             0 -          0xfffff88001233f60 Ntfs.sys
0xfffffa8031b23430 0x00000192:0xa1211abb             0 -          0xfffff88004095010 netbt.sys
0xfffffa8032013e78 0x0000018a:0x79638580            14 Yes        0xfffff880042591b8 vm3dmp.sys
0xfffff80002e807a0 0x00000186:0x87777b80             0 -          0xfffff80002cbbf40 ntoskrnl.exe
0xfffffa8031b1d930 0x0000018a:0x7bc45156             0 -          0xfffff88004095010 netbt.sys
0xfffff880009eead8 0x00000188:0xbadc1ee3         15000 Yes        0xfffff80002c2fb20 ntoskrnl.exe
0xfffffa8032c306a0 0x0000018a:0x8c87300a        300000 Yes        0xfffff80002d7e6a0 ntoskrnl.exe
0xfffffa8032c30810 0x0000018a:0x8c87300a         60000 Yes        0xfffff80002d7e6a0 ntoskrnl.exe
0xfffffa8032c30980 0x0000018a:0x8c87571a       3600000 Yes        0xfffff80002d7e6a0 ntoskrnl.exe
0xfffffa8031f71b68 0x0000018a:0x821c3000         30000 Yes        0xfffff8800400ce60 afd.sys
0xfffff80002e1e860 0x005a04cf:0x43f838fa             0 -          0xfffff80002d365b0 ntoskrnl.exe
0xfffffa8031495278 0x00000263:0x9c126bdb             0 -          0xfffff8800150f160 ndis.sys
0xfffffa80321c1278 0x0000018a:0x7aad62fe             0 -          0xfffff8800150f160 ndis.sys
0xfffffa8032432278 0x0000018a:0x797a2a6a             0 -          0xfffff8800150f160 ndis.sys
0xfffffa8032013e78 0x0000018a:0x79638580            14 Yes        0xfffff880042591b8 vm3dmp.sys
0xfffffa8031ccbb58 0x0000018a:0x7bc65cb8            10 -          0xfffff88001686dc0 tcpip.sys
0xfffffa8031495278 0x00000263:0x9c126bdb             0 -          0xfffff8800150f160 ndis.sys
