Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffffa8032012e78 0x0000018b:0x083fc980            14 Yes        0xfffff88003a621b8 vm3dmp.sys
0xfffff88001989960 0x00000186:0xb831c728           500 Yes        0xfffff8800188a270 tcpip.sys
0xfffffa8031cefe00 0x0000018b:0x08fc77a4            10 -          0xfffff88001886dc0 tcpip.sys
0xfffffa8031ae3070 0x0000018b:0x232c1172         60000 Yes        0xfffff880016b3b60 ndis.sys
0xfffff88002c3e760 0x0000018a:0xf6ef6a00             0 -          0xfffff88002c22010 afd.sys
0xfffffa8032438278 0x0000018b:0x07fdfafc             0 -          0xfffff880016b2160 ndis.sys
0xfffffa8032460278 0x0000018b:0x07fdfafc             0 -          0xfffff880016b2160 ndis.sys
0xfffffa8032444278 0x0000018b:0x07fdfafc             0 -          0xfffff880016b2160 ndis.sys
0xfffffa803244f278 0x0000018b:0x07fdfafc             0 -          0xfffff880016b2160 ndis.sys
0xfffff88003bc7cb8 0x0000018a:0xf656d380           500 Yes        0xfffff88003bb0750 tunnel.sys
0xfffffa8030e3f460 0x0000018b:0x0c72347e           500 Yes        0xfffff880010ad84c ataport.SYS
0xfffff8800197a4f0 0x00000186:0xb857b080             0 -          0xfffff8800171e2b0 NETIO.SYS
0xfffff8800197b5b0 0x00000186:0xb857b080             0 -          0xfffff8800171e2b0 NETIO.SYS
0xfffff880019868f0 0x00000186:0xb857b080             0 -          0xfffff8800171e2b0 NETIO.SYS
0xfffff80002c7f7a0 0x00000186:0xb5f55680             0 -          0xfffff80002abaf40 ntoskrnl.exe
0xfffff80002bf77d8 0x00000186:0xbd19c4b8         15000 Yes        0xfffff80002a2eb20 ntoskrnl.exe
0xfffffa8032430308 0x0000018b:0x079fe000          1000 Yes        0xfffff88000edfd84 Wdf01000.sys
0xfffffa8031ca0320 0x0000018b:0x094216e4          1000 Yes        0xfffff880010e9010 storport.sys
