Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffff80002a406b8 0x00000183:0xb23b1a18         60000 Yes        0xfffff80002a2919c hal.dll
0xfffffa8031ff1e78 0x0000018d:0x334079c0            14 Yes        0xfffff88003e0a1b8 vm3dmp.sys
0xfffffa80322c0278 0x0000018d:0x29d9a394             0 -          0xfffff88001524160 ndis.sys
0xfffffa80322bc278 0x0000018d:0x28335703             0 -          0xfffff88001524160 ndis.sys
0xfffffa8032176278 0x0000018d:0x30957e18             0 -          0xfffff88001524160 ndis.sys
0xfffff80002c79860 0x005a04cb:0xffee893d             0 -          0xfffff80002b915b0 ntoskrnl.exe
0xfffff80002c537d8 0x00000183:0x98669837         15000 Yes        0xfffff80002a8ab20 ntoskrnl.exe
0xfffff88003bdc710 0x0000018c:0xdb855e80             0 -          0xfffff88003bd682c luafv.sys
0xfffffa8031bacc60 0x0000018d:0x53e8bd7c         60000 Yes        0xfffff88001525b60 ndis.sys
0xfffffa80322bc278 0x0000018d:0x28335703             0 -          0xfffff88001524160 ndis.sys
0xfffffa8032176278 0x0000018d:0x30957e18             0 -          0xfffff88001524160 ndis.sys
0xfffff80002c84fe0 0x00000183:0x988503a0         15000 Yes        0xfffff80002a88ee0 ntoskrnl.exe
0xfffffa8031ccd9e0 0x0000018d:0x3465d802            10 -          0xfffff88001686dc0 tcpip.sys
0xfffffa80329159e8 0x0000018d:0x20823709             0 -          0xfffff88002b09370 srvnet.sys
0xfffff80002c79720 0x00000189:0xf3c32009             0 -          0xfffff80002a6e050 ntoskrnl.exe
0xfffff880010c69d0 0x00000183:0x97da2700         10000 Yes        0xfffff88001063700 cng.sys
0xfffffa8031f10318 0x0000018d:0x3b7c0500         30000 Yes        0xfffff88002cd4e60 afd.sys
0xfffff88003ef9480 0x0000018e:0xcad5e800             0 -          0xfffff88003ef5c3c dfsc.sys
0xfffffa8032a9c8e0 0x00000192:0xd5cdd688       3600000 Yes        0xfffff80002bd96a0 ntoskrnl.exe
0xfffffa8031b1e818 0x0000018d:0x3c7c5768          4000 Yes        0xfffff88003a79c14 usbccgp.sys
0xfffffa8031fc69f8 0x00000192:0x8eff20b2      21600000 Yes        0xfffff880042bea1c dxgkrnl.sys
0xfffffa8030f01610 0x0000018d:0x75acb8f5             0 -          0xfffff80002ade954 ntoskrnl.exe
0xfffffa8031ff1e78 0x0000018d:0x334079c0            14 Yes        0xfffff88003e0a1b8 vm3dmp.sys
0xfffff8800343ef50 0x0000018c:0xd97036e0             0 -          0xfffff88003422150 srv.sys
0xfffff880010c69d0 0x00000183:0x97da2700         10000 Yes        0xfffff88001063700 cng.sys
0xfffffa8031f10318 0x0000018d:0x3b7c0500         30000 Yes        0xfffff88002cd4e60 afd.sys
0xfffffa8031ff1e78 0x0000018d:0x334079c0            14 Yes        0xfffff88003e0a1b8 vm3dmp.sys
0xfffffa8031f10318 0x0000018d:0x3b7c0500         30000 Yes        0xfffff88002cd4e60 afd.sys
0xfffff88001789960 0x00000183:0x94ad6052           500 Yes        0xfffff8800168a270 tcpip.sys
0xfffff88003139af8 0x00000189:0x23a28200           200 Yes        0xfffff80002ad6540 ntoskrnl.exe
0xfffff88003f3bcb8 0x0000018c:0xdd9b6d40           500 Yes        0xfffff88003f24750 tunnel.sys
0xfffff88002cf0760 0x0000018c:0xdf3f0b20             0 -          0xfffff88002cd4010 afd.sys
0xfffff88002516260 0x0000018c:0xfd54cc89             0 -          0xfffff880024dacb0 HTTP.sys
0xfffffa8030f01610 0x0000018d:0x75acb8f5             0 -          0xfffff80002ade954 ntoskrnl.exe
0xfffffa8031ff1e78 0x0000018d:0x334079c0            14 Yes        0xfffff88003e0a1b8 vm3dmp.sys
