Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffffa8032466e78 0x00000192:0x92087200            14 Yes        0xfffff88003c0a1b8 vm3dmp.sys
0xfffffa8030ec9b90 0x00000192:0x98552875             0 -          0xfffff88002cf2010 netbt.sys
0xfffff8800127c0e8 0x00000186:0xce74b340             0 -          0xfffff88001239780 Ntfs.sys
0xfffffa8031d22278 0x00000192:0x99e397b6             0 -          0xfffff88001503160 ndis.sys
0xfffff80002c747c0 0x000053a2:0x18e373e0             0 -          0xfffff80002b8c580 ntoskrnl.exe
0xfffffa8032493278 0x00000192:0x92c5925a             0 -          0xfffff88001503160 ndis.sys
0xfffff88003139af8 0x0000018f:0xf62b8b80           200 Yes        0xfffff80002ad1540 ntoskrnl.exe
0xfffff88003d35cb8 0x00000192:0x7cc2e380           500 Yes        0xfffff88003d1e750 tunnel.sys
0xfffffa8031cdc9f0 0x00000192:0x9459dea3            10 -          0xfffff88001686dc0 tcpip.sys
0xfffffa8032acb410 0x00000192:0xe8395c87       3600000 Yes        0xfffff80002bd46a0 ntoskrnl.exe
0xfffffa8033388278 0x00000263:0xd33fda1a             0 -          0xfffff88001503160 ndis.sys
0xfffff88003d35cb8 0x00000192:0x7cc2e380           500 Yes        0xfffff88003d1e750 tunnel.sys
0xfffffa8032491278 0x00000192:0x92adc497             0 -          0xfffff88001503160 ndis.sys
0xfffffa8031ac1918 0x00000192:0x9511d350          4000 Yes        0xfffff880043b9c14 usbccgp.sys
0xfffffa8031c877f0 0x00000192:0x9479ff05          1000 Yes        0xfffff88001036010 storport.sys
0xfffffa8032bec1b0 0x00000192:0xc054ca4b        120000 Yes        0xfffff80002bd46a0 ntoskrnl.exe
0xfffffa8030e54460 0x00000192:0x97f667df           500 Yes        0xfffff88000de284c ataport.SYS
0xfffffa8030e3f460 0x00000192:0x97f667df           500 Yes        0xfffff88000de284c ataport.SYS
0xfffffa8032493278 0x00000192:0x92c5925a             0 -          0xfffff88001503160 ndis.sys
0xfffffa8031c877f0 0x00000192:0x9479ff05          1000 Yes        0xfffff88001036010 storport.sys
0xfffffa8031c8f6e0 0x00000192:0x94a629e3             0 -          0xfffff880010361c0 storport.sys
0xfffffa8030ef0db0 0x00000192:0x980f6a00             0 -          0xfffff8800156f2b0 NETIO.SYS
0xfffff80002cd56e0 0x00000186:0xc455f6e4             0 -          0xfffff80002ab1390 ntoskrnl.exe
0xfffff80002c74860 0x005a04cf:0x274273e0             0 -          0xfffff80002b8c5b0 ntoskrnl.exe
0xfffff8800127c0e8 0x00000186:0xce74b340             0 -          0xfffff88001239780 Ntfs.sys
0xfffffa8031d22278 0x00000192:0x99e397b6             0 -          0xfffff88001503160 ndis.sys
0xfffffa8032d41a50 0x00000192:0x91281e36             0 -          0xfffff88002b5a010 srv.sys
0xfffffa8031b2a320 0x00000192:0xa566f0c4             0 -          0xfffff88002cf2010 netbt.sys
0xfffffa8032acb410 0x00000192:0xe8395c87       3600000 Yes        0xfffff80002bd46a0 ntoskrnl.exe
0xfffff880026c2680 0x00000192:0x8a496eaf         30000 Yes        0xfffff8800268f540 HTTP.sys
0xfffff80002c73d00 0x00000186:0xd7c76f74             0 -          0xfffff80002a6fe38 ntoskrnl.exe
0xfffffa8031d30278 0x00000262:0xa8218f4c             0 -          0xfffff88001503160 ndis.sys
0xfffffa8032497278 0x00000262:0xa8218f4c             0 -          0xfffff88001503160 ndis.sys
0xfffffa803249b278 0x00000262:0xa8218f4c             0 -          0xfffff88001503160 ndis.sys
0xfffffa803249d278 0x00000262:0xa823f0ac             0 -          0xfffff88001503160 ndis.sys
0xfffffa8032acb410 0x00000192:0xe8395c87       3600000 Yes        0xfffff80002bd46a0 ntoskrnl.exe
0xfffff88002c1c960 0x00000192:0x7fbdd400             0 -          0xfffff88002c015a4 rdbss.sys
0xfffffa8031f72998 0x00000192:0x9c5a0c00         30000 Yes        0xfffff88002c69e60 afd.sys
0xfffffa8031d22278 0x00000192:0x99e397b6             0 -          0xfffff88001503160 ndis.sys
0xfffffa8031fc7278 0x00000192:0x94e1eab8             0 -          0xfffff88001503160 ndis.sys
0xfffffa8032002278 0x00000192:0x93aed935             0 -          0xfffff88001503160 ndis.sys
0xfffff88003cf3480 0x00000193:0x0b376500             0 -          0xfffff88003cefc3c dfsc.sys
0xfffff880026caba0 0x00000192:0x7cb80d9c             0 -          0xfffff880026842b0 HTTP.sys
0xfffff80002c74720 0x00000189:0xf3a3c010             0 -          0xfffff80002a69050 ntoskrnl.exe
0xfffff88002b76f50 0x00000192:0x7c4bc677             0 -          0xfffff88002b5a150 srv.sys
0xfffff80002c74720 0x00000189:0xf3a3c010             0 -          0xfffff80002a69050 ntoskrnl.exe
0xfffffa80323f24c8 0x00000192:0xa5089dfb      21600000 Yes        0xfffff88003ec4a1c dxgkrnl.sys
0xfffff88004237710 0x00000192:0x7df41080             0 -          0xfffff8800423182c luafv.sys
0xfffff80002cd4610 0x00000186:0xe0d38530         60000 Yes        0xfffff80002a7d084 ntoskrnl.exe
0xfffff880026cb260 0x00000192:0x81d71eef             0 -          0xfffff8800268fcb0 HTTP.sys
0xfffffa8031bdc3a0 0x00000192:0xa5598cc4         60000 Yes        0xfffff88001504b60 ndis.sys
0xfffff80002c74720 0x00000189:0xf3a3c010             0 -          0xfffff80002a69050 ntoskrnl.exe
0xfffff880026c2680 0x00000192:0x8a496eaf         30000 Yes        0xfffff8800268f540 HTTP.sys
0xfffff80002c74900 0x00002556:0x160cdcd0             0 -          0xfffff80002b8c730 ntoskrnl.exe
0xfffffa80324283a0 0x00000192:0xa0b2a977         60000 Yes        0xfffff80002bd46a0 ntoskrnl.exe
0xfffff88002dd5300 0x0000018a:0xb5f96118             0 Yes        0xfffff88002dd06e0 discache.sys
0xfffffa8031eeaef0 0x00000192:0xe8393577        300000 Yes        0xfffff80002bd46a0 ntoskrnl.exe
0xfffffa803242a060 0x00000193:0x0bfedcd7        300000 Yes        0xfffff80002bd46a0 ntoskrnl.exe
0xfffffa8031ecc428 0x00000192:0x99ab7069             0 -          0xfffff88002aaf370 srvnet.sys
0xfffffa8031eeaef0 0x00000192:0xe8393577        300000 Yes        0xfffff80002bd46a0 ntoskrnl.exe
0xfffffa8031ac1918 0x00000192:0x9511d350          4000 Yes        0xfffff880043b9c14 usbccgp.sys
0xfffffa8031c877f0 0x00000192:0x9479ff05          1000 Yes        0xfffff88001036010 storport.sys
0xfffff80002a3b6b8 0x00000186:0xe4ea8906         60000 Yes        0xfffff80002a2419c hal.dll
0xfffff80002c4e7d8 0x00000186:0xc60834d8         15000 Yes        0xfffff80002a85b20 ntoskrnl.exe
0xfffff880011ca9d0 0x00000186:0xd45b5200         10000 Yes        0xfffff88001167700 cng.sys
0xfffff80002c74860 0x005a04cf:0x274273e0             0 -          0xfffff80002b8c5b0 ntoskrnl.exe
0xfffff80002c7ffe0 0x00000186:0xcad9d173         15000 Yes        0xfffff80002a83ee0 ntoskrnl.exe
0xfffffa8031cdcb58 0x00000193:0x15574271            10 -          0xfffff88001686dc0 tcpip.sys
0xfffffa8032d41d70 0x00000192:0x912a7f96             0 -          0xfffff88002b5a010 srv.sys
0xfffff88002b76f50 0x00000192:0x7c4bc677             0 -          0xfffff88002b5a150 srv.sys
0xfffff880009eead8 0x0000018f:0xf5873d22         15000 Yes        0xfffff80002a85b20 ntoskrnl.exe
0xfffffa8032493278 0x00000192:0x92c5925a             0 -          0xfffff88001503160 ndis.sys
