Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffffa8031f78a98 0x000001c4:0xab7624a2      21600000 Yes        0xfffff88004054a1c dxgkrnl.sys
0xfffff800032266b8 0x00000186:0xe9e2017b         60000 Yes        0xfffff8000320f19c hal.dll
0xfffff88003139af8 0x0000018d:0x32e6c100           200 Yes        0xfffff80002c8d540 ntoskrnl.exe
0xfffffa8030ef0db0 0x00000193:0x409f4500             0 -          0xfffff8800118f2b0 NETIO.SYS
0xfffff80002e30900 0x00002556:0x6539fb69             0 -          0xfffff80002d48730 ntoskrnl.exe
0xfffff80002e2fd00 0x00000186:0xe0ad5fc4             0 -          0xfffff80002c2be38 ntoskrnl.exe
0xfffffa8031bba490 0x00000193:0x5b7ecaab         60000 Yes        0xfffff88001542b60 ndis.sys
0xfffffa8031f20a38 0x00000193:0x3d48c700         30000 Yes        0xfffff88003c90e60 afd.sys
0xfffff880014939d0 0x00000186:0xd2439012         10000 Yes        0xfffff88001430700 cng.sys
0xfffffa80325f45b0 0x00000193:0x460d4bd1        120000 Yes        0xfffff80002d906a0 ntoskrnl.exe
0xfffff88003c72300 0x00000187:0x6feefd1b             0 Yes        0xfffff88003c6d6e0 discache.sys
0xfffffa8032d246e8 0x00000193:0x3ffb3def             0 -          0xfffff88004712370 srvnet.sys
0xfffff80002e31900 0x00000186:0xcb6a8080          5000 Yes        0xfffff80002c7c290 ntoskrnl.exe
0xfffff80002e90610 0x00000186:0xe0d5e690         60000 Yes        0xfffff80002c39084 ntoskrnl.exe
0xfffffa8031f20a38 0x00000193:0x3d48c700         30000 Yes        0xfffff88003c90e60 afd.sys
0xfffff880014939d0 0x00000186:0xd2439012         10000 Yes        0xfffff88001430700 cng.sys
0xfffff88003c72300 0x00000187:0x6feefd1b             0 Yes        0xfffff88003c6d6e0 discache.sys
