Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffff880011f59d0 0x000004ea:0x99f7ce8d         10000 Yes        0xfffff88001192700 cng.sys
0xfffffa8032c5cbd0 0x000004ec:0x3b6c14f5             0 -          0xfffff88003817010 srv.sys
0xfffffa8030eeb808 0x000004ec:0x6c53097a             0 -          0xfffff80002bc8970 ntoskrnl.exe
0xfffff8800192f220 0x000004ea:0xb1f46c3f        300000 Yes        0xfffff880019158b0 rdyboost.sys
0xfffffa8031b28db0 0x000004ec:0x3b586e3f         60000 Yes        0xfffff880010d0cf0 fltmgr.sys
0xfffffa8031e06278 0x000005f5:0xfc92083e             0 -          0xfffff88001519160 ndis.sys
0xfffff80002c71d00 0x000004ea:0xbb8390be             0 -          0xfffff80002a6de38 ntoskrnl.exe
0xfffffa8031e09278 0x000005f5:0xfc94699e             0 -          0xfffff88001519160 ndis.sys
0xfffffa8031e59278 0x000005f5:0xfc94699e             0 -          0xfffff88001519160 ndis.sys
0xfffffa8031e5b278 0x000005f5:0xfc94699e             0 -          0xfffff88001519160 ndis.sys
0xfffff88003833f50 0x000004ec:0x37491e60             0 -          0xfffff88003817150 srv.sys
0xfffffa803288b690 0x000004ec:0x4e8b8e33         60000 Yes        0xfffff80002bd26a0 ntoskrnl.exe
0xfffff88003a86710 0x000004ec:0x35b75400             0 -          0xfffff88003a8082c luafv.sys
0xfffffa8031d16318 0x000004ec:0x49fb5100         30000 Yes        0xfffff88003c2ae60 afd.sys
0xfffff88003139af8 0x000004eb:0x8dfd1880           200 Yes        0xfffff80002acf540 ntoskrnl.exe
0xfffff88003c46760 0x000004ec:0x35b75400             0 -          0xfffff88003c2a010 afd.sys
0xfffff80002c727c0 0x000062c6:0x28846c2e             0 -          0xfffff80002b8a580 ntoskrnl.exe
0xfffffa8031fcda70 0x000004f1:0xccf89de9             0 -          0xfffff88003cb3010 netbt.sys
0xfffffa8032858d78 0x000004ec:0x43b8a782             0 -          0xfffff88003512370 srvnet.sys
0xfffffa8031d74278 0x000004ec:0x39cac8d9             0 -          0xfffff88001519160 ndis.sys
0xfffffa8031d97278 0x000004ec:0x39cac8d9             0 -          0xfffff88001519160 ndis.sys
0xfffffa8031e64278 0x000004ec:0x39cac8d9             0 -          0xfffff88001519160 ndis.sys
0xfffffa8031edd278 0x000004ec:0x39cac8d9             0 -          0xfffff88001519160 ndis.sys
0xfffffa8031e67278 0x000004ec:0x39cac8d9             0 -          0xfffff88001519160 ndis.sys
0xfffffa8031d30278 0x000004ec:0x39cac8d9             0 -          0xfffff88001519160 ndis.sys
0xfffff88003833f50 0x000004ec:0x37491e60             0 -          0xfffff88003817150 srv.sys
0xfffffa803288b800 0x000004f1:0xe50ea543       3600000 Yes        0xfffff80002bd26a0 ntoskrnl.exe
0xfffffa8032c5cbd0 0x000004ec:0x3b6c14f5             0 -          0xfffff88003817010 srv.sys
0xfffff80002c4c7d8 0x000004ea:0x9d464b14         15000 Yes        0xfffff80002a83b20 ntoskrnl.exe
0xfffff80002a396b8 0x000004ea:0xbc59aeb1         60000 Yes        0xfffff80002a2219c hal.dll
0xfffff88002532ba0 0x000004ec:0x35bf232a             0 -          0xfffff880024ec2b0 HTTP.sys
0xfffffa8031b336e0 0x000004ec:0x3980e6d3             0 -          0xfffff880010611c0 storport.sys
0xfffff80002c72860 0x005a13f3:0x36e36c2e             0 -          0xfffff80002b8a5b0 ntoskrnl.exe
0xfffffa8031e4e278 0x000004ec:0x39cd2a39             0 -          0xfffff88001519160 ndis.sys
0xfffff88003139af8 0x000004eb:0x8dfd1880           200 Yes        0xfffff80002acf540 ntoskrnl.exe
0xfffff88003c46760 0x000004ec:0x35b75400             0 -          0xfffff88003c2a010 afd.sys
0xfffffa8031b336e0 0x000004ec:0x3980e6d3             0 -          0xfffff880010611c0 storport.sys
0xfffff88003139af8 0x000004eb:0x8dfd1880           200 Yes        0xfffff80002acf540 ntoskrnl.exe
0xfffff88003c46760 0x000004ec:0x35b75400             0 -          0xfffff88003c2a010 afd.sys
0xfffff88003c46760 0x000004ec:0x35b75400             0 -          0xfffff88003c2a010 afd.sys
0xfffffa8030e54460 0x000004ec:0x39c17678           500 Yes        0xfffff88000c2684c ataport.SYS
0xfffffa8030e3f460 0x000004ec:0x39c17678           500 Yes        0xfffff88000c2684c ataport.SYS
