Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffffa8031e9ce78 0x000004ea:0x28212840            14 Yes        0xfffff88003e591b8 vm3dmp.sys
0xfffffa8030e3f460 0x000004ea:0x286de4f7           500 Yes        0xfffff88000dd784c ataport.SYS
0xfffffa8031c86a10 0x000004ea:0x28298200            25 Yes        0xfffff8800192e0c0 CLASSPNP.SYS
0xfffffa8031bbb9f0 0x000004ea:0x287f4325            10 -          0xfffff88001686dc0 tcpip.sys
0xfffff88003139af8 0x000004ea:0x0bc02480           200 Yes        0xfffff80002a7f540 ntoskrnl.exe
0xfffffa8031bbb9f0 0x000004ea:0x287f4325            10 -          0xfffff88001686dc0 tcpip.sys
0xfffff88002483ba0 0x000004ea:0x26dc3161             0 -          0xfffff8800243d2b0 HTTP.sys
0xfffff88003fb1cb8 0x000004ea:0x26cfa200           500 Yes        0xfffff88003f9a750 tunnel.sys
0xfffffa8031ff5f08 0x000004ea:0x28996580          1000 Yes        0xfffff88000e9bd84 Wdf01000.sys
0xfffff80002c82880 0x000004e9:0xeec85f00          1000 Yes        0xfffff80002a87954 ntoskrnl.exe
0xfffff880045a3710 0x000004ea:0x2800cf00             0 -          0xfffff8800459d82c luafv.sys
0xfffff88001789960 0x000004e9:0xeecd69f3           500 Yes        0xfffff8800168a270 tcpip.sys
0xfffffa803287bbd0 0x000004ea:0x28c98a7c             0 -          0xfffff88004a0d010 srv.sys
0xfffffa8032536960 0x000004ea:0x282e7393             0 -          0xfffff88003aa27a0 afd.sys
0xfffffa80313c0070 0x000004ea:0x28c92d05             0 -          0xfffff88003aa27a0 afd.sys
0xfffffa8031769ac0 0x000004ea:0x28c92d05             0 -          0xfffff88003aa27a0 afd.sys
0xfffffa8031b62b30 0x000004ea:0x28c92d05             0 -          0xfffff880010e41c0 storport.sys
0xfffffa803287bbd0 0x000004ea:0x28c98a7c             0 -          0xfffff88004a0d010 srv.sys
0xfffff8800177c670 0x000004e9:0xef14aa40             0 -          0xfffff8800105f2b0 NETIO.SYS
0xfffff880017868f0 0x000004e9:0xef14aa40             0 -          0xfffff8800105f2b0 NETIO.SYS
0xfffff8800177a4f0 0x000004e9:0xef14aa40             0 -          0xfffff8800105f2b0 NETIO.SYS
0xfffffa8030ee1db0 0x000004ea:0x288a2340             0 -          0xfffff8800105f2b0 NETIO.SYS
0xfffff88003a6e760 0x000004ea:0x27683880             0 -          0xfffff88003a52010 afd.sys
0xfffff80002c22720 0x000004f1:0xab6e4680             0 -          0xfffff80002a17050 ntoskrnl.exe
0xfffff88003bd5300 0x000004ea:0x5a50a66f             0 -          0xfffff88003bd06e0 discache.sys
0xfffff8800247b680 0x000004ea:0x3554e1fc         30000 Yes        0xfffff88002448540 HTTP.sys
0xfffff880024839c0 0x000004ea:0x3554e1fc         60000 Yes        0xfffff88002448700 HTTP.sys
0xfffff8800247a580 0x000004ea:0x3554e1fc         60000 Yes        0xfffff88002448680 HTTP.sys
0xfffff8800177c670 0x000004e9:0xef14aa40             0 -          0xfffff8800105f2b0 NETIO.SYS
0xfffff880017868f0 0x000004e9:0xef14aa40             0 -          0xfffff8800105f2b0 NETIO.SYS
0xfffff8800177a4f0 0x000004e9:0xef14aa40             0 -          0xfffff8800105f2b0 NETIO.SYS
0xfffffa8030ee1db0 0x000004ea:0x288a2340             0 -          0xfffff8800105f2b0 NETIO.SYS
0xfffff88002484260 0x000004ea:0x5f1a49f5             0 -          0xfffff88002448cb0 HTTP.sys
0xfffffa8031e33278 0x000004ea:0x28a5b6cf             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031e31278 0x000004ea:0x28a5b6cf             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031d99278 0x000004ea:0x28a5b6cf             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031f7c278 0x000004ea:0x28b66071             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031f7a278 0x000004ea:0x28b66071             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031f84278 0x000004ea:0x28b66071             0 -          0xfffff88001562160 ndis.sys
0xfffffa80312b9278 0x000005f6:0x55152ff3             0 -          0xfffff88001562160 ndis.sys
0xfffffa8032426450 0x000004f1:0xc3913dd7             0 -          0xfffff88003adb010 netbt.sys
0xfffffa8031f76278 0x000005f5:0xf38ed52c             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031fa7278 0x000005f5:0xf38ed52c             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031f82278 0x000005f5:0xf38ed52c             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031f86278 0x000005f5:0xf38ed52c             0 -          0xfffff88001562160 ndis.sys
0xfffff88003530068 0x000003cb:0x81156b2e             0 Yes        0xfffff880035167c0 srv2.sys
0xfffffa8031bbb9f0 0x000004ea:0x287f4325            10 -          0xfffff88001686dc0 tcpip.sys
0xfffff80002c847a0 0x000004e9:0xef60f580             0 -          0xfffff80002abff40 ntoskrnl.exe
0xfffffa8031faf278 0x000004ea:0x28f906f9             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031fa1278 0x000004ea:0x28f906f9             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031fb9278 0x000004ea:0x301e3075             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031dced58 0x000004ea:0x318a3700         30000 Yes        0xfffff88003a52e60 afd.sys
0xfffffa803287bbd0 0x000004ea:0x28c98a7c             0 -          0xfffff88004a0d010 srv.sys
0xfffffa8031e62848 0x0000051b:0xa2de871f      21600000 Yes        0xfffff88002cf1a1c dxgkrnl.sys
0xfffffa8031fb9278 0x000004ea:0x301e3075             0 -          0xfffff88001562160 ndis.sys
0xfffffa8031dced58 0x000004ea:0x318a3700         30000 Yes        0xfffff88003a52e60 afd.sys
0xfffff880014b4920 0x00000504:0x8a1b6344             0 -          0xfffff8800147a880 cng.sys
0xfffffa8031dced58 0x000004ea:0x318a3700         30000 Yes        0xfffff88003a52e60 afd.sys
0xfffffa8032426570 0x000004ea:0x28aa98c7             0 -          0xfffff88003adb010 netbt.sys
0xfffff80002c22900 0x00003479:0x74837769             0 -          0xfffff80002b3a730 ntoskrnl.exe
0xfffffa8031bbb9f0 0x000004ea:0x287f4325            10 -          0xfffff88001686dc0 tcpip.sys
0xfffff880014b49d0 0x000004e9:0xeff98c00         10000 Yes        0xfffff88001451700 cng.sys
0xfffff80002c23900 0x000004e9:0xeff98c00          5000 Yes        0xfffff80002a6e290 ntoskrnl.exe
0xfffffa8031dced58 0x000004ea:0x318a3700         30000 Yes        0xfffff88003a52e60 afd.sys
0xfffff880012a00e8 0x000004e9:0xf008ce40             0 -          0xfffff8800125d780 Ntfs.sys
0xfffffa8032ab6bf0 0x000004ea:0x352083b6         60000 Yes        0xfffff80002b826a0 ntoskrnl.exe
0xfffffa8032ab6a80 0x000004ea:0x352083b6        300000 Yes        0xfffff80002b826a0 ntoskrnl.exe
0xfffffa8032ab6a80 0x000004ea:0x352083b6        300000 Yes        0xfffff80002b826a0 ntoskrnl.exe
0xfffffa803287bbd0 0x000004ea:0x28c98a7c             0 -          0xfffff88004a0d010 srv.sys
0xfffffa8032ab2960 0x000004ea:0x58e62b16        300000 Yes        0xfffff80002b826a0 ntoskrnl.exe
0xfffff800030186b8 0x000004ea:0x03a1c6e3         60000 Yes        0xfffff8000300119c hal.dll
0xfffffa8030efa630 0x000004ea:0x39faa407             0 -          0xfffff80002b3a730 ntoskrnl.exe
0xfffff88004a29f50 0x000004ea:0x2bdcbdf1             0 -          0xfffff88004a0d150 srv.sys
0xfffff88003fb1cb8 0x000004ea:0x26cfa200           500 Yes        0xfffff88003f9a750 tunnel.sys
0xfffffa8031ff5f08 0x000004ea:0x28996580          1000 Yes        0xfffff88000e9bd84 Wdf01000.sys
0xfffff80002c82880 0x000004e9:0xeec85f00          1000 Yes        0xfffff80002a87954 ntoskrnl.exe
0xfffff880045a3710 0x000004ea:0x2800cf00             0 -          0xfffff8800459d82c luafv.sys
0xfffff80002c82610 0x000004e9:0xfc4947cb         60000 Yes        0xfffff80002a2b084 ntoskrnl.exe
0xfffff880012a0198 0x000004ea:0x010b9c69             0 -          0xfffff88001243f60 Ntfs.sys
0xfffff80002c227c0 0x000062c5:0x775a0e79             0 -          0xfffff80002b3a580 ntoskrnl.exe
0xfffff800030186b8 0x000004ea:0x03a1c6e3         60000 Yes        0xfffff8000300119c hal.dll
0xfffffa80324f0250 0x000004ea:0x382b3f52         60000 Yes        0xfffff88001563b60 ndis.sys
0xfffffa8031b64db0 0x000004ea:0x469eb35e         60000 Yes        0xfffff88001153cf0 fltmgr.sys
0xfffff880018ad220 0x000004e9:0xff1a88be        300000 Yes        0xfffff880018938b0 rdyboost.sys
0xfffffa8032ab6d60 0x000004f1:0xe414b4c6       3600000 Yes        0xfffff80002b826a0 ntoskrnl.exe
