Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xffff8d8aa4fe9448 0x000000de:0xa54791d9          2000 Yes        0xfffff808b3a18d50 storport.sys
0xffff8d8aa4f48ed0 0x40002710:0x007616b8             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff808b427d040 0x000000e2:0x534a7f00             0 -          0xfffff808b40ebfc0 tcpip.sys
0xffff8d8aa565e278 0x000000de:0x773db766             0 -          0xfffff808b46cf630 ndis.sys
0xffff8d8aa5660278 0x000000de:0x773db766             0 -          0xfffff808b46cf630 ndis.sys
0xfffff808b3a5e320 0x000000e2:0xfaab98a1             0 -          0xfffff808b3a51600 storport.sys
0xffff8d8aa4fc2ab0 0x40002710:0x00cbecb6             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff808b59d87c0 0x000000de:0x8faa5699             0 -          0xfffff808b59947b0 HTTP.sys
0xfffff808b3bae4a8 0x000000de:0xdab9535f             0 -          0xfffff808b3ba1b90 WdFilter.sys
0xfffff808b474ac20 0x000000de:0xdc5d1fc7         43348 Yes        0xfffff808b46cfae0 ndis.sys
0xfffff800376f4be0 0x005a04ce:0x00f891cc             0 -          0xfffff80037529460 ntoskrnl.exe
0xffff8d8aa48d6e85 0x000000de:0xdc021f64             0 -          0xfffff80037529308 ntoskrnl.exe
0xfffff808b3cff060 0x000000de:0xd5002206        300000 Yes        0xfffff808b3cd2030 rdyboost.sys
0xffff8d8aa509df60 0x000000de:0x9b04eaa0             1 -          0xfffff808b40cb430 tcpip.sys
0xfffff808b44e9070 0x000000de:0xcf3b1748             0 -          0xfffff808b4491ce0 NTFS.sys
0xfffff800376ea380 0x000000de:0xdc39753d             0 -          0xfffff800374f348c ntoskrnl.exe
0xffff8d8aa4fc3ed0 0x40002710:0x00c72eb5             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff808b474ac20 0x000000de:0xdc5d1fc7         43348 Yes        0xfffff808b46cfae0 ndis.sys
0xffff8d8aa4f529c0 0x40002710:0x0065aa1a             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4f4e7d0 0x40002710:0x006a3243             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff800376fcb80 0x000000de:0xc8d679d9         30000 Yes        0xfffff800374fec24 ntoskrnl.exe
0xffff8d8aa4f4bca0 0x40002710:0x00715217             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4f48ed0 0x40002710:0x007616b8             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa423b600 0x000000ea:0xb17b6000       7200000 Yes        0xfffff808b5e66f80 WdNisDrv.sys
0xffff8d8aa4f46ed0 0x40002710:0x007d3da9             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4f45160 0x40002710:0x00820e71             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa3d3f160 0x40002710:0x0086c841             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa3d3f160 0x40002710:0x0086c841             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4f41ab0 0x40002710:0x0099d9e5             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4f40a20 0x40002710:0x00a10102             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff808b3a5e2a0 0x000000e5:0xcca785a8             0 -          0xfffff808b3a51600 storport.sys
0xffff8d8aa4f3f690 0x40002710:0x00a5c60e             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff808b5c491a8 0x000000dd:0x69ebbf96             0 -          0xfffff808b5116520 rdbss.sys
0xffff8d8aa4fc8c10 0x40002710:0x00b1d91a             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff80037c62ac0 0x000000de:0xf5b09f8d        120000 Yes        0xfffff80037c18460 hal.dll
0xffff8d8aa4fc7ab0 0x40002710:0x00b8d954             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4fc3ed0 0x40002710:0x00c72eb5             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4fc2ab0 0x40002710:0x00cbecb6             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4fc17e0 0x40002710:0x00d0b11c             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4fc06f0 0x40002710:0x00d576de             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4fbeed0 0x40002710:0x00da3ac0             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4fbdc10 0x40002710:0x00df0063             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff808b3d274e0 0x000000df:0xe547141a             0 -          0xfffff808b3d21160 mup.sys
0xffff8d8aa4fbc920 0x40002710:0x00e3c3cc             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff800376ea440 0x000000e0:0x28ef98af             0 -          0xfffff800374f348c ntoskrnl.exe
0xffff8d8aa4fb8bf0 0x40002710:0x00efd762             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4fa2a20 0x40002710:0x00f50be8             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4fa19d0 0x40002710:0x00fb9b74             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4f9f160 0x40002710:0x0100a011             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa4f9eed0 0x40002710:0x01078830             0 -          0xfffff8003752609c ntoskrnl.exe
0xffff8d8aa685d710 0x000000de:0x8febd720             0 -          0xfffff808b5116520 rdbss.sys
0xffff8d8aa509ddc8 0x000000de:0xaa5445da             1 -          0xfffff808b40cb430 tcpip.sys
0xffff8d8aa685d980 0x000000df:0x019b1b91             0 -          0xfffff808b5116520 rdbss.sys
0xffff8d8aa4fd2300 0x000000e0:0x195fad9c             0 -          0xfffff808b3f9cd40 FLTMGR.SYS
0xffff8d8aa685d868 0x000000de:0x923a8e75             0 -          0xfffff808b5116520 rdbss.sys
0xfffff800376f4ba0 0x000053a0:0xf29991cc             0 -          0xfffff80037623d2c ntoskrnl.exe
0xfffff808b55ba1e0 0x000000e0:0x7a4b73c2             0 -          0xfffff808b55b1140 dfsc.sys
0xffff8d8aa41a3960 0x000000dd:0x5606e1c8             0 Yes        0xfffff808b5563ce0 netbt.sys
0xffff8d8aa4f8aae8 0x00000194:0x93213469             0 -          0xfffff808b3856b40 spaceport.sys
0xffff8d8aa685d868 0x000000de:0x923a8e75             0 -          0xfffff808b5116520 rdbss.sys
0xffff8d8aa4f4bca0 0x40002710:0x00715217             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff800376fcb80 0x000000de:0xc8d679d9         30000 Yes        0xfffff800374fec24 ntoskrnl.exe
0xffff8d8aa5015820 0x000000de:0x9ab3b44d             0 -          0xfffff808b3a3a5b0 storport.sys
0xffff8d8aa4fc8c10 0x40002710:0x00b1d91a             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff808b474ac20 0x000000de:0xdc5d1fc7         43348 Yes        0xfffff808b46cfae0 ndis.sys
0xfffff808b3a5e320 0x000000e2:0xfaab98a1             0 -          0xfffff808b3a51600 storport.sys
0xffff8d8aa4f4bca0 0x40002710:0x00715217             0 -          0xfffff8003752609c ntoskrnl.exe
0xfffff800376fcb80 0x000000de:0xc8d679d9         30000 Yes        0xfffff800374fec24 ntoskrnl.exe
0xfffff808b5da8f50 0x000000e1:0x5ec19d26       1498348 Yes        0xfffff808b5d926e0 srv.sys
0xfffff800376f4b20 0x00002554:0xefc2fabc             0 -          0xfffff80037529308 ntoskrnl.exe
0xffff8d8aa4f8aae8 0x00000194:0x93213469             0 -          0xfffff808b3856b40 spaceport.sys
0xffff8d8aa3c47b48 0x000000de:0xcf930b97          1000 Yes        0xfffff808b62e1000 USBPORT.SYS
0xffff8d8aa517db48 0x000000de:0x9a86b917          1000 Yes        0xfffff808b62e1000 USBPORT.SYS
0xfffff8003771afa0 0x000000de:0xcb4f3764             0 -          0xfffff800374d84b0 ntoskrnl.exe
0xfffff8003771afa0 0x000000de:0xcb4f3764             0 -          0xfffff800374d84b0 ntoskrnl.exe
0xffff8d8aa3c66460 0x000000de:0xd02ba217          1000 Yes        0xfffff808b3abd4b0 ataport.SYS
0xfffff808b3a5e320 0x000000e2:0xfaab98a1             0 -          0xfffff808b3a51600 storport.sys
