Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xffffb40b2cd2e5c0 0x000000e0:0x5392e1de         10000 Yes        0xfffff807df0e15d0 WdNisDrv.sys
0xfffff803a2b24fa0 0x000000e1:0x2faabda7             0 -          0xfffff803a28e24b0 ntoskrnl.exe
0xffffb40b2c88dbf0 0x40002710:0x0014e9da             0 -          0xfffff803a293009c ntoskrnl.exe
0xfffff807db78ac20 0x000000e1:0x477c7132         43348 Yes        0xfffff807db70fae0 ndis.sys
0xfffff807df068f50 0x000000e3:0x038b1cf9       1498348 Yes        0xfffff807df0526e0 srv.sys
0xffffb40b2de0a980 0x000000e1:0x33ff63e5             0 -          0xfffff807dcb16520 rdbss.sys
0xffffb40b2c850bf0 0x4000270f:0xff9b514b             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2b5a8480 0x000000e1:0x7c6397a6             0 -          0xfffff803a29539a0 ntoskrnl.exe
0xffffb40b2c84ece0 0x4000270f:0xffa01602             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c84ced0 0x4000270f:0xffa4dac6             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c84a160 0x4000270f:0xffa99f93             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c8495e0 0x4000270f:0xffb328e2             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c8487d0 0x4000270f:0xffb7ed87             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c88dbf0 0x40002710:0x0014e9da             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c8a0bf0 0x4000270f:0xffc3d94e             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c89ece0 0x4000270f:0xffcd62b7             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c89cce0 0x4000270f:0xffd6ec64             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c89bab0 0x4000270f:0xffdbb0f2             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c89a8c0 0x4000270f:0xffe075bb             0 -          0xfffff803a293009c ntoskrnl.exe
0xfffff803a2af4440 0x000000e1:0x5be86e9a             0 -          0xfffff803a28fd48c ntoskrnl.exe
0xffffb40b2b5a8bf0 0x4000270f:0xffec6230             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c896c10 0x4000270f:0xfff126a0             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c895a20 0x4000270f:0xfff5eb68             0 -          0xfffff803a293009c ntoskrnl.exe
0xfffff807db46e4a8 0x000000e1:0x46d8e54d             0 -          0xfffff807db461b90 WdFilter.sys
0xffffb40b2c8938c0 0x4000270f:0xffff74b3             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c892690 0x40002710:0x000438f6             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c890160 0x40002710:0x0008fda8             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c88dbf0 0x40002710:0x0014e9da             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c88dbf0 0x40002710:0x0014e9da             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c88c690 0x40002710:0x0019ae34             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c88a160 0x40002710:0x001e734c             0 -          0xfffff803a293009c ntoskrnl.exe
0xfffff803a2afeb20 0x00002556:0x21235d15             0 -          0xfffff803a2933308 ntoskrnl.exe
0xffffb40b2c8889d0 0x40002710:0x0027fc4b             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c8879d0 0x40002710:0x002cc0f5             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c884ed0 0x40002710:0x003185b0             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c885160 0x40002710:0x003185b0             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c99b278 0x000000e1:0x16aba6aa             0 -          0xfffff807db70f630 ndis.sys
0xffffb40b2c99d278 0x000000e1:0x16aba6aa             0 -          0xfffff807db70f630 ndis.sys
0xffffb40b2c95cf60 0x000000e1:0x1080cd8d             1 Yes        0xfffff807dc08b430 tcpip.sys
0xffffb40b2cd2e600 0x000000ea:0xb17b6000       7200000 Yes        0xfffff807df0e6f80 WdNisDrv.sys
0xffffb40b2cd2e600 0x000000ea:0xb17b6000       7200000 Yes        0xfffff807df0e6f80 WdNisDrv.sys
0xfffff807db529070 0x000000e1:0x3a67ec9e             0 -          0xfffff807db4d1ce0 NTFS.sys
0xfffff807db31e3e0 0x00000196:0x8587753a             0 -          0xfffff807db311600 storport.sys
0xfffff807dd3487c0 0x000000e0:0xb0e690c4             0 -          0xfffff807dd3047b0 HTTP.sys
0xfffff803a2b06b80 0x000000e1:0x3914bd3e         30000 Yes        0xfffff803a2908c24 ntoskrnl.exe
0xfffff803a306cac0 0x000000e1:0x31bf6d1b        120000 Yes        0xfffff803a3022460 hal.dll
0xfffff807db78ac20 0x000000e1:0x477c7132         43348 Yes        0xfffff807db70fae0 ndis.sys
0xfffff807dc23d040 0x000000e2:0x52195200             0 -          0xfffff807dc0abfc0 tcpip.sys
0xfffff807db78ac20 0x000000e1:0x477c7132         43348 Yes        0xfffff807db70fae0 ndis.sys
0xffffb40b2c8c7ae8 0x00000194:0x9242a8cb             0 -          0xfffff807db116b40 spaceport.sys
0xffffb40b2c91b580 0x000000e1:0xf14e39af             0 -          0xfffff807daadcd40 FLTMGR.SYS
0xfffff803a2afebe0 0x005a04cf:0x3258f425             0 -          0xfffff803a2933460 ntoskrnl.exe
0xfffff807db31e3e0 0x00000196:0x8587753a             0 -          0xfffff807db311600 storport.sys
0xfffff803a2b24fa0 0x000000e1:0x2faabda7             0 -          0xfffff803a28e24b0 ntoskrnl.exe
0xfffff807dcc9a1e0 0x000000e2:0x6e694131             0 -          0xfffff807dcc91140 dfsc.sys
0xffffb40b2cd2e600 0x000000ea:0xb17b6000       7200000 Yes        0xfffff807df0e6f80 WdNisDrv.sys
0xffffb40b2cd2e600 0x000000ea:0xb17b6000       7200000 Yes        0xfffff807df0e6f80 WdNisDrv.sys
0xffffb40b2b466460 0x000000e1:0x3a6f8759          1000 Yes        0xfffff807db37d4b0 ataport.SYS
0xffffb40b2c89bab0 0x4000270f:0xffdbb0f2             0 -          0xfffff803a293009c ntoskrnl.exe
0xfffff807db31e3e0 0x00000196:0x8587753a             0 -          0xfffff807db311600 storport.sys
0xffffb40b2c88dbf0 0x40002710:0x0014e9da             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2c8bd448 0x000000e1:0x150699cf          2000 Yes        0xfffff807db2d8d50 storport.sys
0xffffb40b2cfa4d70 0x000000e2:0x57727e14             0 -          0xfffff807dcfa3ce0 netbt.sys
0xfffff807db31e320 0x000000e2:0xfa769b92             0 -          0xfffff807db311600 storport.sys
0xffffb40b2c95cdc8 0x000000e1:0x170f764f             1 -          0xfffff807dc08b430 tcpip.sys
0xffffb40b2c88dbf0 0x40002710:0x0014e9da             0 -          0xfffff803a293009c ntoskrnl.exe
0xffffb40b2b44ab48 0x000000e1:0x3a00bf8a          1000 Yes        0xfffff807dba81000 USBPORT.SYS
0xffffb40b2c8f8b48 0x000000e1:0x1474e6b4          1000 Yes        0xfffff807dba81000 USBPORT.SYS
0xffffb40b2c88dbf0 0x40002710:0x0014e9da             0 -          0xfffff803a293009c ntoskrnl.exe
0xfffff803a2afeba0 0x000053a2:0x23f9f425             0 -          0xfffff803a2a2dd2c ntoskrnl.exe
