Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffff80656418f50 0x0000027f:0x573879df       1498348 Yes        0xfffff806564026e0 srv.sys
0xffff9a8f1c6ac300 0x0000027c:0xd882dc24             0 -          0xfffff8065300cd40 FLTMGR.SYS
0xfffff806538ce320 0x00000284:0x9b75c178             0 -          0xfffff806538c1600 storport.sys
0xfffff8023c65fac0 0x0000027d:0x4df847bb        120000 Yes        0xfffff8023c615460 hal.dll
0xffff9a8f1d0276c0 0x0000027c:0xa23a866c             0 -          0xfffff80654f16520 rdbss.sys
0xffff9a8f1c638ed0 0x4000270f:0xffba8771             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c637160 0x4000270f:0xffbf4c47             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c657160 0x4000270f:0xffc4151d             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c6575e0 0x4000270f:0xffc8d5a3             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c676ca0 0x4000270f:0xffd25f65             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c675ed0 0x4000270f:0xffd723bf             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c6ac300 0x0000027c:0xd882dc24             0 -          0xfffff8065300cd40 FLTMGR.SYS
0xffff9a8f1c672ed0 0x4000270f:0xffe30fd6             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c671d10 0x4000270f:0xffe7d351             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c670ed0 0x4000270f:0xffec980c             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c66fce0 0x4000270f:0xfff15d83             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c66eed0 0x4000270f:0xfff62685             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1b346160 0x4000270f:0xfffae6fe             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c66dd70 0x4000270f:0xffffad57             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c66abf0 0x40002710:0x000b9ab4             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c6697f0 0x40002710:0x00105c99             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c667160 0x40002710:0x00152104             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xfffff8023c97cb20 0x00002555:0x75173871             0 -          0xfffff8023c7b1308 ntoskrnl.exe
0xffff9a8f1c666160 0x40002710:0x0019e586             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c665d70 0x40002710:0x001eaa89             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xfffff80653a1e4a8 0x0000027d:0x211dcd86             0 -          0xfffff80653a11b90 WdFilter.sys
0xffff9a8f1c664c10 0x40002710:0x00236ed0             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c663a20 0x40002710:0x0028337e             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1b3a9480 0x0000027d:0x2435ae4d             0 -          0xfffff8023c7d19a0 ntoskrnl.exe
0xffff9a8f1c65f160 0x40002710:0x00341f1d             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xfffff8023c972440 0x0000027e:0x003a3d66             0 -          0xfffff8023c77b48c ntoskrnl.exe
0xffff9a8f1c65e160 0x40002710:0x0038e3b0             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c65dd70 0x40002710:0x003da8c5             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c65c9d0 0x40002710:0x00426d08             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c65b960 0x40002710:0x00473214             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c659160 0x40002710:0x004bf755             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1ccf8bc0 0x0000027d:0x4549741d             0 -          0xfffff80655d53ce0 netbt.sys
0xffff9a8f1c678ab0 0x40002710:0x0050bc14             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c658d70 0x40002710:0x0050bc14             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xfffff8023c65fac0 0x0000027d:0x4df847bb        120000 Yes        0xfffff8023c615460 hal.dll
0xffff9a8f1b4cc600 0x0000027d:0x064ee000       7200000 Yes        0xfffff806564d6f80 WdNisDrv.sys
0xfffff8023c97cbe0 0x005a04ce:0x864ccf81             0 -          0xfffff8023c7b1460 ntoskrnl.exe
0xfffff8065508a1e0 0x0000027d:0x5957bf88             0 -          0xfffff80655081140 dfsc.sys
0xfffff8023c65fac0 0x0000027d:0x4df847bb        120000 Yes        0xfffff8023c615460 hal.dll
0xffff9a8f1b294e0a 0x0000027d:0x3d468e7a             0 -          0xfffff8023c68a714 ntoskrnl.exe
0xfffff8023c97cbe0 0x005a04ce:0x864ccf81             0 -          0xfffff8023c7b1460 ntoskrnl.exe
0xffff9a8f1c812c20 0x0000027c:0x6232e80d            12 Yes        0xfffff806543a3d50 CLASSPNP.SYS
0xfffff8023c9a2fa0 0x0000027d:0x19f9b663             0 -          0xfffff8023c7604b0 ntoskrnl.exe
0xffff9a8f1c6e3820 0x0000027c:0xbfb67c7d             0 -          0xfffff806538aa5b0 storport.sys
0xffff9a8f1b269460 0x0000027d:0x1f7f58b3          1000 Yes        0xfffff8065392d4b0 ataport.SYS
0xfffff806538ce3e0 0x0000032d:0x0a9d84f4             0 -          0xfffff806538c1600 storport.sys
0xffff9a8f1b266460 0x0000027d:0x1f81bb3d          1000 Yes        0xfffff8065392d4b0 ataport.SYS
0xffff9a8f1c6e3820 0x0000027c:0xbfb67c7d             0 -          0xfffff806538aa5b0 storport.sys
0xffff9a8f1b4cc5c0 0x0000027c:0xf30734ec         10000 Yes        0xfffff806564d15d0 WdNisDrv.sys
0xffff9a8f1c77c278 0x0000027c:0xbf90c70b             0 -          0xfffff80653cbf630 ndis.sys
0xffff9a8f1c7b0278 0x0000027c:0xbf90c70b             0 -          0xfffff80653cbf630 ndis.sys
0xffff9a8f1c8fdb48 0x0000027c:0x64083c36          1000 Yes        0xfffff80655251000 USBPORT.SYS
0xffff9a8f1c66eed0 0x4000270f:0xfff62685             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xffff9a8f1c77c278 0x0000027c:0xbf90c70b             0 -          0xfffff80653cbf630 ndis.sys
0xffff9a8f1c7b0278 0x0000027c:0xbf90c70b             0 -          0xfffff80653cbf630 ndis.sys
0xffff9a8f1c664c10 0x40002710:0x00236ed0             0 -          0xfffff8023c7ae09c ntoskrnl.exe
0xfffff80653a1e4a8 0x0000027d:0x211dcd86             0 -          0xfffff80653a11b90 WdFilter.sys
0xfffff80653d3ac20 0x0000027d:0x2a22568b         43348 Yes        0xfffff80653cbfae0 ndis.sys
0xffff9a8f1c6bdae8 0x00000326:0xe72e1693             0 -          0xfffff806546c6b40 spaceport.sys
0xffff9a8f1b247b48 0x0000027d:0x1f943724          1000 Yes        0xfffff80655251000 USBPORT.SYS
0xfffff806538ce2a0 0x00000290:0x8e468c31             0 -          0xfffff806538c1600 storport.sys
0xffff9a8f1c6b2448 0x0000027c:0xc01ec070          2000 Yes        0xfffff80653888d50 storport.sys
0xfffff8023c984b80 0x0000027d:0x16c908d5         30000 Yes        0xfffff8023c786c24 ntoskrnl.exe
0xfffff8065405d040 0x0000028d:0xcc3a0a00             0 -          0xfffff80653ecbfc0 tcpip.sys
0xfffff806538ce3e0 0x0000032d:0x0a9d84f4             0 -          0xfffff806538c1600 storport.sys
0xfffff8065430f060 0x0000027d:0xbb9faf6b        300000 Yes        0xfffff806542e2030 rdyboost.sys
0xffff9a8f1c749a98 0x0000027d:0x0a2b28c8             1 -          0xfffff80653eab430 tcpip.sys
0xfffff80653ad9070 0x0000027d:0x211be072             0 -          0xfffff80653a81ce0 NTFS.sys
0xffff9a8f1b4cc600 0x0000027d:0x064ee000       7200000 Yes        0xfffff806564d6f80 WdNisDrv.sys
0xfffff8023c97cbe0 0x005a04ce:0x864ccf81             0 -          0xfffff8023c7b1460 ntoskrnl.exe
0xfffff8023c97cba0 0x000053a1:0x77edcf81             0 -          0xfffff8023c8abd2c ntoskrnl.exe
0xffff9a8f1c665d70 0x40002710:0x001eaa89             0 -          0xfffff8023c7ae09c ntoskrnl.exe
