Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xffff9d0916b0a580 0x0000027a:0xc685ac83         10000 Yes        0xfffff809f9da1590 WdNisDrv.sys
0xffff9d0914e65690 0x40002710:0x0016689a             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xffff9d0914e78ed0 0x4000270f:0xffb70a77             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xffff9d0913ba8ce0 0x4000270f:0xffdf927f             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xffff9d0914e39bf0 0x4000270f:0xffa8bc69             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xffff9d0914e38ca0 0x4000270f:0xffad8109             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xffff9d0914e58ed0 0x4000270f:0xffb245bc             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xfffff809f819e4a8 0x0000027b:0x00b7fa11             0 -          0xfffff809f8191b90 WdFilter.sys
0xffff9d0913b43160 0x4000270f:0xffbbcf25             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xffff9d0914e77ce0 0x4000270f:0xffc093d8             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xffff9d0914e76ed0 0x4000270f:0xffc55898             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xffff9d0913a69460 0x0000027a:0xff3ccfd8          1000 Yes        0xfffff809f80ad4b0 ataport.SYS
0xffff9d0913a66460 0x0000027a:0xff3f3286          1000 Yes        0xfffff809f80ad4b0 ataport.SYS
0xffff9d0913a66460 0x0000027a:0xff3f3286          1000 Yes        0xfffff809f80ad4b0 ataport.SYS
0xffff9d0914eb45d8 0x0000027a:0xbf735f5f          2000 Yes        0xfffff809f8008d50 storport.sys
0xffff9d0913ba8ce0 0x4000270f:0xffdf927f             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xffff9d0914e71ab0 0x4000270f:0xffe4572d             0 -          0xfffff80318d2a09c ntoskrnl.exe
0xffff9d0914e65690 0x40002710:0x0016689a             0 -          0xfffff80318d2a09c ntoskrnl.exe
