Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffff8090f238f50 0x0000027e:0x6b047dc7       1498348 Yes        0xfffff8090f2226e0 srv.sys
0xffff880e24537300 0x0000027c:0x471f521c             0 -          0xfffff8090c46cd40 FLTMGR.SYS
0xffff880e246ddc20 0x0000027b:0x6b64e217            12 Yes        0xfffff8090d733d50 CLASSPNP.SYS
0xfffff8090d69f060 0x0000027c:0x58445e7c        300000 Yes        0xfffff8090d672030 rdyboost.sys
0xffff880e244d8820 0x0000027b:0x4a094507             0 -          0xfffff8090cd0a5b0 storport.sys
0xffff880e239c55c0 0x0000027b:0x9cfbd552         10000 Yes        0xfffff8090f2b15d0 WdNisDrv.sys
0xffff880e239c5580 0x0000027b:0x9cfbd552         10000 Yes        0xfffff8090f2b1590 WdNisDrv.sys
0xfffff8014b067ac0 0x0000027b:0xe8952c22        120000 Yes        0xfffff8014b01d460 hal.dll
0xffff880e24578dc8 0x0000027b:0xa6c54954             1 -          0xfffff8090d7eb430 tcpip.sys
0xffff880e23069460 0x0000027b:0xe98d4817          1000 Yes        0xfffff8090cd8d4b0 ataport.SYS
0xffff880e23066460 0x0000027b:0xe98fe2c5          1000 Yes        0xfffff8090cd8d4b0 ataport.SYS
0xffff880e231dc448 0x0000027b:0xea1f4cc3          2000 Yes        0xfffff8090cce8d50 storport.sys
0xfffff8014b38cb80 0x0000027b:0xe42fedfd         30000 Yes        0xfffff8014b18ec24 ntoskrnl.exe
0xffff880e24499ae8 0x00000326:0xe8e3e485             0 -          0xfffff8090cb26b40 spaceport.sys
0xffff880e23047b48 0x0000027b:0xe9550443          1000 Yes        0xfffff8090e651000 USBPORT.SYS
0xffff880e24c2f980 0x0000027c:0x3873e396             0 -          0xfffff8090e316520 rdbss.sys
0xfffff8090cd2e2a0 0x00000290:0x900ca70c             0 -          0xfffff8090cd21600 storport.sys
0xfffff8014b384be0 0x005a04cd:0x7120791e             0 -          0xfffff8014b1b9460 ntoskrnl.exe
0xfffff8090cd2e3e0 0x0000032d:0x0c5ff11c             0 -          0xfffff8090cd21600 storport.sys
0xfffff8014b37a380 0x0000027b:0xf0c073e9             0 -          0xfffff8014b18348c ntoskrnl.exe
0xffff880e24578f60 0x0000027b:0x4caa1c4e             1 -          0xfffff8090d7eb430 tcpip.sys
0xffff880e24465ed0 0x40002710:0x00f74660             0 -          0xfffff8014b1b609c ntoskrnl.exe
0xffff880e24463160 0x40002710:0x00fe6eac             0 -          0xfffff8014b1b609c ntoskrnl.exe
0xfffff8090d2c9070 0x0000027b:0xe822d2c6             0 -          0xfffff8090d271ce0 NTFS.sys
0xffff880e244617d0 0x40002710:0x0111f5f7             0 -          0xfffff8014b1b609c ntoskrnl.exe
0xffff880e2445fca0 0x40002710:0x011649b9             0 -          0xfffff8014b1b609c ntoskrnl.exe
0xffff880e2445ded0 0x40002710:0x01223f6f             0 -          0xfffff8014b1b609c ntoskrnl.exe
0xffff880e2445bed0 0x40002710:0x0126f1ad             0 -          0xfffff8014b1b609c ntoskrnl.exe
0xfffff8090cd2e320 0x00000284:0x9d28fd15             0 -          0xfffff8090cd21600 storport.sys
