Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077ab0000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x0000000077c90000 False  False  False \Windows\SysWOW64\ntdll.dll
     252 smss.exe             0x00000000477b0000 True   False  True  \Windows\System32\smss.exe
     252 smss.exe             0x0000000077ab0000 True   True   True  \Windows\System32\ntdll.dll
     352 csrss.exe            0x0000000000dd0000 False  False  False \Windows\Fonts\vgaoem.fon
     352 csrss.exe            0x000000004a510000 True   False  True  \Windows\System32\csrss.exe
     352 csrss.exe            0x000007fefd7b0000 True   True   True  \Windows\System32\basesrv.dll
     352 csrss.exe            0x000007feff5c0000 True   True   True  \Windows\System32\usp10.dll
     352 csrss.exe            0x0000000077ab0000 True   True   True  \Windows\System32\ntdll.dll
     352 csrss.exe            0x000007fefd660000 True   True   True  \Windows\System32\sxs.dll
     352 csrss.exe            0x000007feff490000 True   True   True  \Windows\System32\rpcrt4.dll
     352 csrss.exe            0x000007fefe200000 True   True   True  \Windows\System32\msvcrt.dll
     352 csrss.exe            0x0000000077890000 True   True   True  \Windows\System32\kernel32.dll
     352 csrss.exe            0x000007fefd650000 True   True   True  \Windows\System32\cryptbase.dll
     352 csrss.exe            0x000007feff760000 True   True   True  \Windows\System32\sechost.dll
     352 csrss.exe            0x000007fefdf30000 True   True   True  \Windows\System32\lpk.dll
     352 csrss.exe            0x000007fefdb40000 True   True   True  \Windows\System32\KernelBase.dll
     352 csrss.exe            0x000007fefd7d0000 True   True   True  \Windows\System32\csrsrv.dll
     352 csrss.exe            0x000007fefe050000 True   True   True  \Windows\System32\advapi32.dll
     352 csrss.exe            0x000007fefd760000 True   True   True  \Windows\System32\sxssrv.dll
     352 csrss.exe            0x000007fefd770000 True   True   True  \Windows\System32\winsrv.dll
     352 csrss.exe            0x000007fefe130000 True   True   True  \Windows\System32\gdi32.dll
     352 csrss.exe            0x00000000779b0000 True   True   True  \Windows\System32\user32.dll
     408 wininit.exe          0x0000000077890000 True   True   True  \Windows\System32\kernel32.dll
     408 wininit.exe          0x0000000077ab0000 True   True   True  \Windows\System32\ntdll.dll
     408 wininit.exe          0x00000000ff930000 True   False  True  \Windows\System32\wininit.exe
     408 wininit.exe          0x00000000779b0000 True   True   True  \Windows\System32\user32.dll
     408 wininit.exe          0x000007fefd5c0000 True   True   True  \Windows\System32\sspicli.dll
     408 wininit.exe          0x000007fefd310000 True   True   True  \Windows\System32\secur32.dll
     408 wininit.exe          0x000007fefdf30000 True   True   True  \Windows\System32\lpk.dll
     408 wininit.exe          0x000007feff5c0000 True   True   True  \Windows\System32\usp10.dll
     408 wininit.exe          0x000007fefd7f0000 True   True   True  \Windows\System32\profapi.dll
     408 wininit.exe          0x000007fefe200000 True   True   True  \Windows\System32\msvcrt.dll
     408 wininit.exe          0x000007fefdb40000 True   True   True  \Windows\System32\KernelBase.dll
     408 wininit.exe          0x000007fefe050000 True   True   True  \Windows\System32\advapi32.dll
     408 wininit.exe          0x000007feff490000 True   True   True  \Windows\System32\rpcrt4.dll
     408 wininit.exe          0x000007fefd700000 True   True   True  \Windows\System32\RpcRtRemote.dll
     408 wininit.exe          0x000007fefe130000 True   True   True  \Windows\System32\gdi32.dll
     408 wininit.exe          0x000007fefdf40000 True   True   True  \Windows\System32\msctf.dll
     408 wininit.exe          0x000007feff760000 True   True   True  \Windows\System32\sechost.dll
     408 wininit.exe          0x000007fefc990000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     408 wininit.exe          0x000007fefd050000 True   True   True  \Windows\System32\mswsock.dll
     408 wininit.exe          0x000007fefcba0000 True   True   True  \Windows\System32\credssp.dll
     408 wininit.exe          0x000007fefd000000 True   True   True  \Windows\System32\wship6.dll
     408 wininit.exe          0x000007feff690000 True   True   True  \Windows\System32\imm32.dll
     408 wininit.exe          0x000007fefd5f0000 True   True   True  \Windows\System32\apphelp.dll
     408 wininit.exe          0x000007fefe2a0000 True   True   True  \Windows\System32\ws2_32.dll
     408 wininit.exe          0x000007fefd650000 True   True   True  \Windows\System32\cryptbase.dll
     408 wininit.exe          0x000007fefdbb0000 True   True   True  \Windows\System32\nsi.dll
     512 services.exe         0x0000000077890000 True   True   True  \Windows\System32\kernel32.dll
     512 services.exe         0x00000000017e0000 False  False  False \Windows\System32\en-US\scesrv.dll.mui
     512 services.exe         0x00000000ff630000 True   False  True  \Windows\System32\services.exe
     512 services.exe         0x000007fefd720000 True   True   True  \Windows\System32\winsta.dll
     512 services.exe         0x000007feda8d0000 True   True   True  \Windows\System32\esent.dll
     512 services.exe         0x000007fefd310000 True   True   True  \Windows\System32\secur32.dll
     512 services.exe         0x000007fefd920000 True   True   True  \Windows\System32\devobj.dll
     512 services.exe         0x000007fefdf30000 True   True   True  \Windows\System32\lpk.dll
     512 services.exe         0x0000000077c80000 True   True   True  \Windows\System32\psapi.dll
     512 services.exe         0x000007fefdbb0000 True   True   True  \Windows\System32\nsi.dll
     512 services.exe         0x000007fefd5c0000 True   True   True  \Windows\System32\sspicli.dll
     512 services.exe         0x000007feff5c0000 True   True   True  \Windows\System32\usp10.dll
     512 services.exe         0x000007fefe050000 True   True   True  \Windows\System32\advapi32.dll
     512 services.exe         0x000007fefd200000 True   True   True  \Windows\System32\srvcli.dll
     512 services.exe         0x000007fefd000000 True   True   True  \Windows\System32\wship6.dll
     512 services.exe         0x000007feff760000 True   True   True  \Windows\System32\sechost.dll
     512 services.exe         0x0000000077ab0000 True   True   True  \Windows\System32\ntdll.dll
     512 services.exe         0x000007fefd050000 True   True   True  \Windows\System32\mswsock.dll
     512 services.exe         0x000007feff490000 True   True   True  \Windows\System32\rpcrt4.dll
     512 services.exe         0x000007fefe200000 True   True   True  \Windows\System32\msvcrt.dll
     512 services.exe         0x000007fefe2a0000 True   True   True  \Windows\System32\ws2_32.dll
     512 services.exe         0x000007fefcee0000 True   True   True  \Windows\System32\msv1_0.dll
     512 services.exe         0x000007fefd700000 True   True   True  \Windows\System32\RpcRtRemote.dll
     512 services.exe         0x000007feff910000 True   True   True  \Windows\System32\setupapi.dll
     512 services.exe         0x000007fefd320000 True   True   True  \Windows\System32\cryptdll.dll
