Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077a00000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x0000000077be0000 False  False  False \Windows\SysWOW64\ntdll.dll
     248 smss.exe             0x0000000047d20000 True   False  True  \Windows\System32\smss.exe
     248 smss.exe             0x0000000077a00000 True   True   True  \Windows\System32\ntdll.dll
     344 csrss.exe            0x00000000001b0000 False  False  False \Windows\Fonts\vgasys.fon
     344 csrss.exe            0x0000000000c10000 False  False  False \Windows\Fonts\vgaoem.fon
     344 csrss.exe            0x0000000000c30000 False  False  False \Windows\Fonts\cga40woa.fon
     344 csrss.exe            0x000007feffb60000 True   True   True  \Windows\System32\usp10.dll
     344 csrss.exe            0x000007fefee80000 True   True   True  \Windows\System32\rpcrt4.dll
     344 csrss.exe            0x000007fefeb60000 True   True   True  \Windows\System32\sechost.dll
     344 csrss.exe            0x00000000777e0000 True   True   True  \Windows\System32\kernel32.dll
     344 csrss.exe            0x0000000049c50000 True   False  True  \Windows\System32\csrss.exe
     344 csrss.exe            0x000007fefd700000 True   True   True  \Windows\System32\csrsrv.dll
     344 csrss.exe            0x0000000000c20000 False  False  False \Windows\Fonts\dosapp.fon
     344 csrss.exe            0x0000000000c40000 False  False  False \Windows\Fonts\cga80woa.fon
     344 csrss.exe            0x000007fefd6f0000 True   True   True  \Windows\System32\sxssrv.dll
     344 csrss.exe            0x0000000077900000 True   True   True  \Windows\System32\user32.dll
     344 csrss.exe            0x000007fefd560000 True   True   True  \Windows\System32\sxs.dll
     344 csrss.exe            0x000007fefefb0000 True   True   True  \Windows\System32\advapi32.dll
     344 csrss.exe            0x000007fefd720000 True   True   True  \Windows\System32\basesrv.dll
     344 csrss.exe            0x0000000077a00000 True   True   True  \Windows\System32\ntdll.dll
     344 csrss.exe            0x000007fefda70000 True   True   True  \Windows\System32\KernelBase.dll
     344 csrss.exe            0x0000000000c50000 False  False  False \Windows\Fonts\ega40woa.fon
     344 csrss.exe            0x000007feff470000 True   True   True  \Windows\System32\msvcrt.dll
     344 csrss.exe            0x000007fefd680000 True   True   True  \Windows\System32\winsrv.dll
     344 csrss.exe            0x000007feff090000 True   True   True  \Windows\System32\gdi32.dll
     344 csrss.exe            0x000007fefd6c0000 True   True   True  \Windows\System32\cryptbase.dll
     344 csrss.exe            0x000007feff8d0000 True   True   True  \Windows\System32\lpk.dll
     404 wininit.exe          0x00000000777e0000 True   True   True  \Windows\System32\kernel32.dll
     404 wininit.exe          0x0000000077a00000 True   True   True  \Windows\System32\ntdll.dll
     404 wininit.exe          0x000007fefd740000 True   True   True  \Windows\System32\profapi.dll
     404 wininit.exe          0x000007feff470000 True   True   True  \Windows\System32\msvcrt.dll
     404 wininit.exe          0x000007fefd360000 True   True   True  \Windows\System32\secur32.dll
     404 wininit.exe          0x000007fefeb60000 True   True   True  \Windows\System32\sechost.dll
     404 wininit.exe          0x000007fefd650000 True   True   True  \Windows\System32\sspicli.dll
     404 wininit.exe          0x000007feff9f0000 True   True   True  \Windows\System32\msctf.dll
     404 wininit.exe          0x000007fefcb40000 True   True   True  \Windows\System32\credssp.dll
     404 wininit.exe          0x000007feff420000 True   True   True  \Windows\System32\ws2_32.dll
     404 wininit.exe          0x000007feffb60000 True   True   True  \Windows\System32\usp10.dll
     404 wininit.exe          0x000007fefee50000 True   True   True  \Windows\System32\imm32.dll
     404 wininit.exe          0x000007fefda70000 True   True   True  \Windows\System32\KernelBase.dll
     404 wininit.exe          0x000007fefd6d0000 True   True   True  \Windows\System32\RpcRtRemote.dll
     404 wininit.exe          0x000007feff8e0000 True   True   True  \Windows\System32\nsi.dll
     404 wininit.exe          0x000007fefd500000 True   True   True  \Windows\System32\apphelp.dll
     404 wininit.exe          0x000007fefefb0000 True   True   True  \Windows\System32\advapi32.dll
     404 wininit.exe          0x00000000ffbf0000 True   False  True  \Windows\System32\wininit.exe
     404 wininit.exe          0x000007fefced0000 True   True   True  \Windows\System32\wship6.dll
     404 wininit.exe          0x000007feff8d0000 True   True   True  \Windows\System32\lpk.dll
     404 wininit.exe          0x0000000077900000 True   True   True  \Windows\System32\user32.dll
     404 wininit.exe          0x000007fefee80000 True   True   True  \Windows\System32\rpcrt4.dll
     404 wininit.exe          0x000007feff090000 True   True   True  \Windows\System32\gdi32.dll
     404 wininit.exe          0x000007fefd6c0000 True   True   True  \Windows\System32\cryptbase.dll
     404 wininit.exe          0x000007fefcee0000 True   True   True  \Windows\System32\mswsock.dll
     404 wininit.exe          0x000007fefc8f0000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     500 services.exe         0x0000000000df0000 False  False  False \Windows\System32\en-US\scesrv.dll.mui
     500 services.exe         0x00000000777e0000 True   True   True  \Windows\System32\kernel32.dll
