Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x00000000775d0000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x00000000777b0000 False  False  False \Windows\SysWOW64\ntdll.dll
     248 smss.exe             0x0000000047ea0000 True   False  True  \Windows\System32\smss.exe
     248 smss.exe             0x00000000775d0000 True   True   True  \Windows\System32\ntdll.dll
     344 csrss.exe            0x00000000001e0000 False  False  False \Windows\Fonts\vgasys.fon
     344 csrss.exe            0x0000000000ef0000 False  False  False \Windows\Fonts\dosapp.fon
     344 csrss.exe            0x000007fefd530000 True   True   True  \Windows\System32\sxssrv.dll
     344 csrss.exe            0x000000004a190000 True   False  True  \Windows\System32\csrss.exe
     344 csrss.exe            0x00000000775d0000 True   True   True  \Windows\System32\ntdll.dll
     344 csrss.exe            0x000007fefe210000 True   True   True  \Windows\System32\rpcrt4.dll
     344 csrss.exe            0x000007fefd540000 True   True   True  \Windows\System32\winsrv.dll
     344 csrss.exe            0x000007fefd420000 True   True   True  \Windows\System32\sxs.dll
     344 csrss.exe            0x000007fefd860000 True   True   True  \Windows\System32\KernelBase.dll
     344 csrss.exe            0x000007feff480000 True   True   True  \Windows\System32\usp10.dll
     344 csrss.exe            0x000007fefd580000 True   True   True  \Windows\System32\basesrv.dll
     344 csrss.exe            0x00000000025a0000 False  False  False \Windows\Fonts\ega40woa.fon
     344 csrss.exe            0x00000000773b0000 True   True   True  \Windows\System32\user32.dll
     344 csrss.exe            0x000007feff3d0000 True   True   True  \Windows\System32\lpk.dll
     344 csrss.exe            0x000007fefd410000 True   True   True  \Windows\System32\cryptbase.dll
     344 csrss.exe            0x000007fefd970000 True   True   True  \Windows\System32\gdi32.dll
     344 csrss.exe            0x000007fefd5a0000 True   True   True  \Windows\System32\csrsrv.dll
     344 csrss.exe            0x0000000000ee0000 False  False  False \Windows\Fonts\vgaoem.fon
     344 csrss.exe            0x0000000002590000 False  False  False \Windows\Fonts\cga80woa.fon
     344 csrss.exe            0x00000000774b0000 True   True   True  \Windows\System32\kernel32.dll
     344 csrss.exe            0x000007feff2e0000 True   True   True  \Windows\System32\msvcrt.dll
