Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
     560 winlogon.exe         0x00007ff7f89f0000 True   False  True  \Windows\System32\winlogon.exe
     560 winlogon.exe         0x00007ffc42610000 True   True   True  \Windows\System32\user32.dll
     584 services.exe         0x0000022259170000 False  False  False \Windows\System32\en-US\services.exe.mui
     584 services.exe         0x00007ff630370000 True   False  True  \Windows\System32\services.exe
     592 lsass.exe            0x00007ffc41490000 True   True   True  \Windows\System32\bcryptprimitives.dll
     592 lsass.exe            0x00007ffc45030000 True   True   True  \Windows\System32\ntdll.dll
     708 fontdrvhost.ex       0x000001c44ec40000 False  False  False \Windows\Fonts\vgasys.fon
     816 svchost.exe          0x00007ff7687e0000 True   False  True  \Windows\System32\svchost.exe
     816 svchost.exe          0x00007ffc3fcc0000 True   True   True  \Windows\System32\mintdh.dll
     816 svchost.exe          0x00007ffc448b0000 True   True   True  \Windows\System32\combase.dll
     816 svchost.exe          0x00007ffc41490000 True   True   True  \Windows\System32\bcryptprimitives.dll
     816 svchost.exe          0x00007ffc407b0000 True   True   True  \Windows\System32\rsaenh.dll
     816 svchost.exe          0x00007ffc45030000 True   True   True  \Windows\System32\ntdll.dll
     976 dwm.exe              0x000001c2bccd0000 False  False  False \Windows\System32\en-US\d2d1.dll.mui
     976 dwm.exe              0x00007ffc3e6b0000 True   True   True  \Windows\System32\d2d1.dll
     976 dwm.exe              0x00007ffc44f70000 True   True   True  \Windows\System32\gdi32.dll
     976 dwm.exe              0x00007ffc42610000 True   True   True  \Windows\System32\user32.dll
     976 dwm.exe              0x00007ffc41510000 True   True   True  \Windows\System32\gdi32full.dll
     976 dwm.exe              0x00007ffc45030000 True   True   True  \Windows\System32\ntdll.dll
     660 svchost.exe          0x00007ff7687e0000 True   False  True  \Windows\System32\svchost.exe
     376 svchost.exe          0x00007ffc41490000 True   True   True  \Windows\System32\bcryptprimitives.dll
    1300 svchost.exe          0x00007ff7687e0000 True   False  True  \Windows\System32\svchost.exe
    1300 svchost.exe          0x00007ffc448b0000 True   True   True  \Windows\System32\combase.dll
    1308 svchost.exe          0x00007ff7687e0000 True   False  True  \Windows\System32\svchost.exe
    1440 svchost.exe          0x00007ffc431d0000 True   True   True  \Windows\System32\shell32.dll
    1648 svchost.exe          0x00007ff7687e0000 True   False  True  \Windows\System32\svchost.exe
    1648 svchost.exe          0x00007ffc41490000 True   True   True  \Windows\System32\bcryptprimitives.dll
    1704 svchost.exe          0x00007ffc3add0000 True   True   True  \Windows\System32\MMDevAPI.dll
    1704 svchost.exe          0x00007ff7687e0000 True   False  True  \Windows\System32\svchost.exe
    1704 svchost.exe          0x00007ffc41750000 True   True   True  \Windows\System32\KernelBase.dll
    1900 svchost.exe          0x00007ffc39790000 True   True   True  \Windows\System32\winhttp.dll
    1900 svchost.exe          0x00000212817e0000 False  False  False \Windows\System32\en-US\ESENT.dll.mui
    1900 svchost.exe          0x00007ffc448b0000 True   True   True  \Windows\System32\combase.dll
    1900 svchost.exe          0x00007ffc44780000 True   True   True  \Windows\System32\oleaut32.dll
    1900 svchost.exe          0x00007ffc3c840000 True   True   True  \Windows\System32\xmllite.dll
    1900 svchost.exe          0x00007ffc40d70000 True   True   True  \Windows\System32\cryptsp.dll
    1900 svchost.exe          0x00007ffc41380000 True   True   True  \Windows\System32\kernel.appcore.dll
    1900 svchost.exe          0x00007ffc22fa0000 True   True   True  \Windows\System32\wuuhext.dll
    1900 svchost.exe          0x00007ffc413c0000 True   True   True  \Windows\System32\powrprof.dll
    1900 svchost.exe          0x00007ffc2e9d0000 True   True   True  \Windows\System32\wuuhosdeployment.dll
    1900 svchost.exe          0x00007ff7687e0000 True   False  True  \Windows\System32\svchost.exe
    1900 svchost.exe          0x00007ffc3c000000 True   True   True  \Windows\System32\esent.dll
    1900 svchost.exe          0x00007ffc42180000 True   True   True  \Windows\System32\ucrtbase.dll
    1900 svchost.exe          0x00007ffc36420000 True   True   True  \Windows\System32\dssenh.dll
    1900 svchost.exe          0x00007ffc44fa0000 True   True   True  \Windows\System32\shlwapi.dll
    1900 svchost.exe          0x00007ffc44630000 True   True   True  \Windows\System32\ole32.dll
    1900 svchost.exe          0x00007ffc42850000 True   True   True  \Windows\System32\rpcrt4.dll
    1900 svchost.exe          0x00007ffc3be90000 True   True   True  \Windows\System32\msvcp110_win.dll
    1900 svchost.exe          0x00007ffc44bc0000 True   True   True  \Windows\System32\ws2_32.dll
    1900 svchost.exe          0x00007ffc41a10000 True   True   True  \Windows\System32\windows.storage.dll
    1900 svchost.exe          0x00007ffc416b0000 True   True   True  \Windows\System32\msvcp_win.dll
    1900 svchost.exe          0x00007ffc44d60000 True   True   True  \Windows\System32\advapi32.dll
    1900 svchost.exe          0x00007ffc44c30000 True   True   True  \Windows\System32\SHCore.dll
    1900 svchost.exe          0x00007ffc31950000 True   True   True  \Windows\System32\updatepolicy.dll
    1900 svchost.exe          0x00007ffc41490000 True   True   True  \Windows\System32\bcryptprimitives.dll
    1900 svchost.exe          0x00007ffc42610000 True   True   True  \Windows\System32\user32.dll
    1900 svchost.exe          0x00007ffc419c0000 True   True   True  \Windows\System32\cfgmgr32.dll
    1900 svchost.exe          0x00007ffc40980000 True   True   True  \Windows\System32\netutils.dll
    1900 svchost.exe          0x00007ffc40940000 True   True   True  \Windows\System32\IPHLPAPI.DLL
    1900 svchost.exe          0x00007ffc41750000 True   True   True  \Windows\System32\KernelBase.dll
