Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077790000 False  False  False \Windows\SysWOW64\ntdll.dll
       4 System               0x00007ffc45000000 False  False  False \Windows\System32\vertdll.dll
       4 System               0x00007ffc45030000 False  False  False \Windows\System32\ntdll.dll
     324 smss.exe             0x00007ff6e3780000 True   False  True  \Windows\System32\smss.exe
     324 smss.exe             0x00007ffc45030000 True   True   True  \Windows\System32\ntdll.dll
     424 csrss.exe            0x0000027b24a40000 False  False  False \Windows\System32\en-US\csrss.exe.mui
     424 csrss.exe            0x0000027b24a50000 False  False  False \Windows\System32\en-US\winsrv.dll.mui
     424 csrss.exe            0x00007ffc45030000 True   True   True  \Windows\System32\ntdll.dll
     424 csrss.exe            0x00007ffc448b0000 True   True   True  \Windows\System32\combase.dll
     424 csrss.exe            0x00007ffc41340000 True   True   True  \Windows\System32\basesrv.dll
     424 csrss.exe            0x00007ff6b4f80000 True   False  True  \Windows\System32\csrss.exe
     424 csrss.exe            0x00007ffc42850000 True   True   True  \Windows\System32\rpcrt4.dll
     424 csrss.exe            0x00007ffc42160000 True   True   True  \Windows\System32\win32u.dll
     424 csrss.exe            0x00007ffc44f70000 True   True   True  \Windows\System32\gdi32.dll
     424 csrss.exe            0x00007ffc42180000 True   True   True  \Windows\System32\ucrtbase.dll
     424 csrss.exe            0x00007ffc41490000 True   True   True  \Windows\System32\bcryptprimitives.dll
     424 csrss.exe            0x00007ffc427a0000 True   True   True  \Windows\System32\kernel32.dll
     424 csrss.exe            0x00007ffc416b0000 True   True   True  \Windows\System32\msvcp_win.dll
     424 csrss.exe            0x00007ffc41750000 True   True   True  \Windows\System32\KernelBase.dll
     424 csrss.exe            0x00007ffc41300000 True   True   True  \Windows\System32\winsrvext.dll
     424 csrss.exe            0x00007ffc411e0000 True   True   True  \Windows\System32\sxs.dll
     424 csrss.exe            0x00007ffc412f0000 True   True   True  \Windows\System32\sxssrv.dll
     424 csrss.exe            0x00007ffc41360000 True   True   True  \Windows\System32\csrsrv.dll
