Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x00007ffe80d70000 False  False  False \Windows\System32\ntdll.dll
     248 smss.exe             0x00007ffe80d70000 True   True   True  \Windows\System32\ntdll.dll
     248 smss.exe             0x00007ff7f5230000 True   False  True  \Windows\System32\smss.exe
     360 csrss.exe            0x00007ffe7f320000 True   True   True  \Windows\System32\rpcrt4.dll
     360 csrss.exe            0x00007ffe7dc90000 True   True   True  \Windows\System32\bcryptprimitives.dll
     360 csrss.exe            0x00007ffe7dec0000 True   True   True  \Windows\System32\winsrv.dll
     360 csrss.exe            0x0000004b18940000 False  False  False \Windows\Fonts\cga80woa.fon
     360 csrss.exe            0x00007ffe7dd10000 True   True   True  \Windows\System32\sxs.dll
     360 csrss.exe            0x00007ffe7df20000 True   True   True  \Windows\System32\csrsrv.dll
     360 csrss.exe            0x00007ffe7e970000 True   True   True  \Windows\System32\user32.dll
     360 csrss.exe            0x00007ffe7e7c0000 True   True   True  \Windows\System32\gdi32.dll
     360 csrss.exe            0x0000004b18920000 False  False  False \Windows\Fonts\dosapp.fon
     360 csrss.exe            0x00007ffe7e1c0000 True   True   True  \Windows\System32\KernelBase.dll
     360 csrss.exe            0x0000004b18950000 False  False  False \Windows\Fonts\ega40woa.fon
     360 csrss.exe            0x00007ffe80d70000 True   True   True  \Windows\System32\ntdll.dll
     360 csrss.exe            0x0000004b16c60000 False  False  False \Windows\Fonts\vgasys.fon
     360 csrss.exe            0x0000004b18930000 False  False  False \Windows\Fonts\cga40woa.fon
     360 csrss.exe            0x00007ffe7ee90000 True   True   True  \Windows\System32\kernel32.dll
     360 csrss.exe            0x00007ffe7deb0000 True   True   True  \Windows\System32\sxssrv.dll
     360 csrss.exe            0x0000004b18910000 False  False  False \Windows\Fonts\vgaoem.fon
     360 csrss.exe            0x00007ffe7dd00000 True   True   True  \Windows\System32\cryptbase.dll
     360 csrss.exe            0x00007ffe7df00000 True   True   True  \Windows\System32\basesrv.dll
     360 csrss.exe            0x00007ff7b9cc0000 True   False  True  \Windows\System32\csrss.exe
     360 csrss.exe            0x00007ffe7dfb0000 True   True   True  \Windows\System32\sspicli.dll
     360 csrss.exe            0x00007ffe7f1f0000 True   True   True  \Windows\System32\sechost.dll
     428 csrss.exe            0x00007ffe7f1f0000 True   True   True  \Windows\System32\sechost.dll
     428 csrss.exe            0x00007ffe7df00000 True   True   True  \Windows\System32\basesrv.dll
     428 csrss.exe            0x00007ffe7e1c0000 True   True   True  \Windows\System32\KernelBase.dll
     428 csrss.exe            0x00007ffe7df20000 True   True   True  \Windows\System32\csrsrv.dll
     428 csrss.exe            0x00007ffe7dc90000 True   True   True  \Windows\System32\bcryptprimitives.dll
     428 csrss.exe            0x00007ffe7dfb0000 True   True   True  \Windows\System32\sspicli.dll
     428 csrss.exe            0x0000006d752c0000 False  False  False \Windows\Fonts\vgasys.fon
     428 csrss.exe            0x00007ffe7e970000 True   True   True  \Windows\System32\user32.dll
     428 csrss.exe            0x00007ffe7e7c0000 True   True   True  \Windows\System32\gdi32.dll
     428 csrss.exe            0x00007ffe7f320000 True   True   True  \Windows\System32\rpcrt4.dll
     428 csrss.exe            0x00007ffe7ee90000 True   True   True  \Windows\System32\kernel32.dll
     428 csrss.exe            0x00007ffe7dd00000 True   True   True  \Windows\System32\cryptbase.dll
     428 csrss.exe            0x00007ff7b9cc0000 True   False  True  \Windows\System32\csrss.exe
     428 csrss.exe            0x00007ffe7deb0000 True   True   True  \Windows\System32\sxssrv.dll
     428 csrss.exe            0x00007ffe7dec0000 True   True   True  \Windows\System32\winsrv.dll
     428 csrss.exe            0x00007ffe80d70000 True   True   True  \Windows\System32\ntdll.dll
     428 csrss.exe            0x00007ffe7dd10000 True   True   True  \Windows\System32\sxs.dll
     436 wininit.exe          0x00007ffe7eaf0000 True   True   True  \Windows\System32\msvcrt.dll
