Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000076f20000 False  False  False \Windows\SysWOW64\ntdll.dll
       4 System               0x00007ffadbc30000 False  False  False \Windows\System32\ntdll.dll
     284 smss.exe             0x00007ff75ed20000 True   False  True  \Windows\System32\smss.exe
     284 smss.exe             0x00007ffadbc30000 True   True   True  \Windows\System32\ntdll.dll
     368 csrss.exe            0x00007ff6d85c0000 True   False  True  \Windows\System32\csrss.exe
     368 csrss.exe            0x00007ffad8fa0000 True   True   True  \Windows\System32\win32u.dll
     368 csrss.exe            0x00007ffad8030000 True   True   True  \Windows\System32\winsrv.dll
     368 csrss.exe            0x00007ffadb640000 True   True   True  \Windows\System32\user32.dll
     368 csrss.exe            0x00007ffad8020000 True   True   True  \Windows\System32\sxssrv.dll
     368 csrss.exe            0x00007ffadbc30000 True   True   True  \Windows\System32\ntdll.dll
     368 csrss.exe            0x00007ffad8060000 True   True   True  \Windows\System32\basesrv.dll
     368 csrss.exe            0x00007ffad8130000 True   True   True  \Windows\System32\KernelBase.dll
     368 csrss.exe            0x00007ffad8080000 True   True   True  \Windows\System32\csrsrv.dll
     368 csrss.exe            0x00007ffad8e20000 True   True   True  \Windows\System32\gdi32full.dll
     368 csrss.exe            0x00007ffad8b30000 True   True   True  \Windows\System32\bcryptprimitives.dll
     368 csrss.exe            0x00007ffad96f0000 True   True   True  \Windows\System32\rpcrt4.dll
     368 csrss.exe            0x00007ffad9900000 True   True   True  \Windows\System32\gdi32.dll
     368 csrss.exe            0x00007ffadaf10000 True   True   True  \Windows\System32\kernel32.dll
     368 csrss.exe            0x00007ffad7f40000 True   True   True  \Windows\System32\sxs.dll
     440 wininit.exe          0x00007ffad8130000 True   True   True  \Windows\System32\KernelBase.dll
     440 wininit.exe          0x00007ff683690000 True   False  True  \Windows\System32\wininit.exe
     440 wininit.exe          0x00007ffadbc30000 True   True   True  \Windows\System32\ntdll.dll
     440 wininit.exe          0x00007ffadb640000 True   True   True  \Windows\System32\user32.dll
     440 wininit.exe          0x00007ffad80b0000 True   True   True  \Windows\System32\profapi.dll
     440 wininit.exe          0x00007ffad98a0000 True   True   True  \Windows\System32\sechost.dll
     440 wininit.exe          0x00007ffad7970000 True   True   True  \Windows\System32\mswsock.dll
     440 wininit.exe          0x00007ffad9900000 True   True   True  \Windows\System32\gdi32.dll
     440 wininit.exe          0x00007ffadaf10000 True   True   True  \Windows\System32\kernel32.dll
     440 wininit.exe          0x00007ffad8e20000 True   True   True  \Windows\System32\gdi32full.dll
     440 wininit.exe          0x00007ffad8fa0000 True   True   True  \Windows\System32\win32u.dll
     440 wininit.exe          0x00007ffad8fc0000 True   True   True  \Windows\System32\ucrtbase.dll
     440 wininit.exe          0x00007ffad9820000 True   True   True  \Windows\System32\ws2_32.dll
     440 wininit.exe          0x00007ffad96f0000 True   True   True  \Windows\System32\rpcrt4.dll
     440 wininit.exe          0x00007ffad9500000 True   True   True  \Windows\System32\msvcrt.dll
     440 wininit.exe          0x00007ffad8010000 True   True   True  \Windows\System32\wininitext.dll
     440 wininit.exe          0x00007ffad7d10000 True   True   True  \Windows\System32\sspicli.dll
     564 services.exe         0x0000020ea8840000 False  False  False \Windows\System32\en-US\services.exe.mui
