Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x1806010          TCPv4    -:0                            104.176.215.4:0      CLOSED           504                     
0x1f07bf0          TCPv4    -:0                            168.116.211.4:0      CLOSED           492      lsass.exe      
0x1feccf0          TCPv4    172.116.4.55:5985              172.116.1.60:51054   CLOSED           4        System         
0x61260e0          TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        492      lsass.exe      
0x6128720          TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        492      lsass.exe      
0x6128720          TCPv6    :::49154                       :::0                 LISTENING        492      lsass.exe      
0x61c8da0          TCPv4    0.0.0.0:49155                  0.0.0.0:0            LISTENING        844      svchost.exe    
0x8db701f0         TCPv4    172.116.4.55:5985              172.116.1.60:51597   ESTABLISHED      4        System         
0xa4b5ec30         UDPv4    0.0.0.0:53031                  *:*                                   896      svchost.exe    2019-06-25 13:22:46 UTC+0000
0xa4b5ec30         UDPv6    :::53031                       *:*                                   896      svchost.exe    2019-06-25 13:22:46 UTC+0000
0x13c2c18b0        UDPv4    0.0.0.0:62805                  *:*                                   996      svchost.exe    2019-06-26 13:42:29 UTC+0000
0x13c2c18b0        UDPv6    :::62805                       *:*                                   996      svchost.exe    2019-06-26 13:42:29 UTC+0000
0x13c314010        UDPv4    0.0.0.0:5355                   *:*                                   996      svchost.exe    2019-06-26 13:24:51 UTC+0000
0x13c314010        UDPv6    :::5355                        *:*                                   996      svchost.exe    2019-06-26 13:24:51 UTC+0000
0x13be693f0        TCPv4    172.116.4.55:445               172.116.1.60:51148   ESTABLISHED      4        System         
0x13c175490        TCPv4    -:0                            56.27.215.4:0        CLOSED           4        System         
0x13d70b6f0        TCPv4    -:0                            168.116.211.4:0      CLOSED           64                      
0x13d750010        TCPv4    172.116.4.55:49998             172.116.1.100:3389   ESTABLISHED      3240     mstsc.exe      
0x13db27620        UDPv4    0.0.0.0:3702                   *:*                                   896      svchost.exe    2019-06-25 13:22:46 UTC+0000
0x13df75600        UDPv4    0.0.0.0:3702                   *:*                                   896      svchost.exe    2019-06-25 13:22:46 UTC+0000
0x13df75600        UDPv6    :::3702                        *:*                                   896      svchost.exe    2019-06-25 13:22:46 UTC+0000
0x13dff59f0        UDPv4    0.0.0.0:3702                   *:*                                   896      svchost.exe    2019-06-25 13:22:46 UTC+0000
0x13dff59f0        UDPv6    :::3702                        *:*                                   896      svchost.exe    2019-06-25 13:22:46 UTC+0000
0x13d979bf0        TCPv4    172.116.4.55:49982             172.116.4.4:49155    ESTABLISHED      720      mmc.exe        
