Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8030ec86d0 System                    4      0     93      732 ------      0 2019-06-24 13:29:07 UTC+0000                                 
0xfffffa8031fb0040 smss.exe                248      4      4       30 ------      0 2019-06-24 13:29:07 UTC+0000                                 
0xfffffa8031d54b10 csrss.exe               344    336     10      808      0      0 2019-06-24 13:32:13 UTC+0000                                 
0xfffffa8031e6ab10 csrss.exe               396    388      0 --------      1      0 2019-06-24 13:32:46 UTC+0000   2019-06-24 20:45:41 UTC+0000  
0xfffffa8031da04e0 wininit.exe             404    336      3       80      0      0 2019-06-24 13:32:46 UTC+0000                                 
0xfffffa8031dae7a0 winlogon.exe            440    388      0 --------      1      0 2019-06-24 13:32:47 UTC+0000   2019-06-24 20:45:41 UTC+0000  
0xfffffa8031eeeb10 services.exe            500    404     10      251      0      0 2019-06-24 13:33:07 UTC+0000                                 
0xfffffa8031bb63d0 lsass.exe               508    404      8      806      0      0 2019-06-24 13:33:09 UTC+0000                                 
0xfffffa8031f15b10 lsm.exe                 516    404     11      233      0      0 2019-06-24 13:33:10 UTC+0000                                 
0xfffffa8031d20a90 svchost.exe             620    500     12      383      0      0 2019-06-24 13:33:43 UTC+0000                                 
0xfffffa8032430b10 svchost.exe             700    500      9      382      0      0 2019-06-24 13:33:56 UTC+0000                                 
0xfffffa80325e8b10 svchost.exe             800    500     22      553      0      0 2019-06-24 13:34:03 UTC+0000                                 
0xfffffa80326104e0 svchost.exe             844    500     16      450      0      0 2019-06-24 13:34:15 UTC+0000                                 
0xfffffa8032621470 svchost.exe             868    500     16      674      0      0 2019-06-24 13:34:15 UTC+0000                                 
0xfffffa803262ab10 svchost.exe             892    500     35     1063      0      0 2019-06-24 13:34:15 UTC+0000                                 
0xfffffa8032638b10 svchost.exe            1012    500      5      201      0      0 2019-06-24 13:34:33 UTC+0000                                 
