Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffc08ed32d9440 System                    4      0    111        0 ------      0 2019-08-21 23:12:52 UTC+0000                                 
0xffffc08ed4e70040 smss.exe                324      4      3        0 ------      0 2019-08-21 23:12:52 UTC+0000                                 
0xffffc08ed4d0a580 csrss.exe               424    412     10        0      0      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed5920080 smss.exe                484    324      0 --------      1      0 2019-08-21 23:12:55 UTC+0000   2019-08-21 23:12:55 UTC+0000  
0xffffc08ed5fad080 wininit.exe             492    412      2        0      0      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed52c5580 csrss.exe               500    484     11        0      1      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed67dc080 winlogon.exe            560    484      6        0      1      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed533f080 services.exe            584    492      9        0      0      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed5faa580 lsass.exe               592    492      8        0      0      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed67fb580 fontdrvhost.ex          708    560      6        0      1      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed67f9580 fontdrvhost.ex          716    492      6        0      0      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed67f8280 svchost.exe             724    584      2        0      0      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed6c94580 WUDFHost.exe            732    584      7        0      0      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed6d02300 svchost.exe             816    584     19        0      0      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed6c8c580 svchost.exe             868    584     13        0      0      0 2019-08-21 23:12:55 UTC+0000                                 
0xffffc08ed6d64280 svchost.exe             912    584      7        0      0      0 2019-08-21 23:12:56 UTC+0000                                 
0xffffc08ed6d76080 dwm.exe                 976    560     13        0      1      0 2019-08-21 23:12:56 UTC+0000                                 
0xffffc08ed6d74540 svchost.exe             356    584     17        0      0      0 2019-08-21 23:12:56 UTC+0000                                 
