Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff870e8bcb46c0 System                    4      0    130        0 ------      0 2019-06-24 13:26:43 UTC+0000                                 
0xffff870e8d906040 smss.exe                372      4      3        0 ------      0 2019-06-24 13:26:43 UTC+0000                                 
0xffff870e8bf30800 csrss.exe               452    444     10        0      0      0 2019-06-24 13:29:50 UTC+0000                                 
0xffff870e8d4a8080 wininit.exe             596    444      4        0      0      0 2019-06-24 13:30:20 UTC+0000                                 
0xffff870e8dfd5800 services.exe            680    596      8        0      0      0 2019-06-24 13:30:42 UTC+0000                                 
0xffff870e8d2bb080 lsass.exe               688    596      9        0      0      0 2019-06-24 13:30:44 UTC+0000                                 
0xffff870e8d49e800 svchost.exe             780    680     24        0      0      0 2019-06-24 13:31:38 UTC+0000                                 
0xffff870e8e720080 svchost.exe             852    680     12        0      0      0 2019-06-24 13:32:06 UTC+0000                                 
0xffff870e8d450800 svchost.exe            1004    680     82        0      0      0 2019-06-24 13:32:32 UTC+0000                                 
0xffff870e8d44d800 svchost.exe            1016    680     57        0      0      0 2019-06-24 13:32:33 UTC+0000                                 
0xffff870e8d411800 svchost.exe             436    680     19        0      0      0 2019-06-24 13:32:37 UTC+0000                                 
0xffff870e8dfbb500 svchost.exe             896    680     17        0      0      0 2019-06-24 13:32:58 UTC+0000                                 
0xffff870e8c0a0800 svchost.exe             892    680     35        0      0      0 2019-06-24 13:32:58 UTC+0000                                 
0xffff870e8c0bf800 svchost.exe            1068    680     24        0      0      0 2019-06-24 13:32:58 UTC+0000                                 
0xffff870e8c1da800 vmacthlp.exe           1112    680      1        0      0      0 2019-06-24 13:33:03 UTC+0000                                 
0xffff870e8d659800 svchost.exe            1492    680      5        0      0      0 2019-06-24 13:34:11 UTC+0000                                 
0xffff870e8bd21080 svchost.exe            1608    680     10        0      0      0 2019-06-24 13:34:21 UTC+0000                                 
0xffff870e8bd04800 spoolsv.exe            1788    680     12        0      0      0 2019-06-24 13:34:39 UTC+0000                                 
0xffff870e8dcdb340 svchost.exe             796    680      5        0      0      0 2019-06-24 13:36:06 UTC+0000                                 
0xffff870e8dc86800 svchost.exe            1580    680     12        0      0      0 2019-06-24 13:36:25 UTC+0000                                 
0xffff870e8ddd3040 MemCompression         1296      4      0        0 ------      0 2019-06-24 13:37:14 UTC+0000                                 
0xffff870e8e864080 svchost.exe            2712    680      4        0      0      0 2019-06-24 13:40:47 UTC+0000                                 
0xffff870e8c879800 svchost.exe            1716    680      7        0      0      0 2019-06-24 13:41:54 UTC+0000                                 
