Offset(P)          Name                    PID pslist psscan thrdproc pspcid csrss session deskthrd ExitTime
------------------ -------------------- ------ ------ ------ -------- ------ ----- ------- -------- --------
0x000000013ec73600 MSExchangeADTo         1512 True   False  False    True   True  True    False    
0x000000013ebadb10 MsExchangeFDS.         2480 True   False  False    True   True  True    False    
0x000000013dc26960 msftefd.exe            4784 True   False  False    True   True  True    True     
0x000000013ff54600 exfba.exe              1556 True   False  False    True   True  True    False    
0x000000013f32fb10 services.exe            512 True   False  False    True   True  True    False    
0x000000013e082060 TrustedInstall         7184 True   False  False    True   True  True    False    
0x000000013e91eb10 MSExchangeThro         3228 True   False  False    True   True  True    False    
0x000000013e0558f0 taskhost.exe           5312 True   False  False    True   True  True    False    
0x000000013ec78b10 msftesql.exe           1588 True   False  False    True   True  True    False    
0x000000013e6b1b10 store.exe              3896 True   False  False    True   True  True    True     
0x000000013ec86b10 VGAuthService.         1876 True   False  False    True   True  True    False    
0x000000013e2e8a70 w3wp.exe                508 True   False  False    True   True  True    True     
0x000000013e6d2b10 mad.exe                3976 True   False  False    True   True  True    True     
0x000000013eb91290 WmiPrvSE.exe           2412 True   False  False    True   True  True    False    
0x000000013e0cc6a0 winlogon.exe           6924 True   False  False    True   True  True    True     
0x000000013f346060 svchost.exe            1156 True   False  False    True   True  True    False    
0x000000013eb54b10 Microsoft.Exch         2268 True   False  False    True   True  True    True     
0x000000013d801b10 wsmprovhost.ex         5260 True   False  False    True   True  True    True     
0x000000013f039320 spoolsv.exe            1104 True   False  False    True   True  True    True     
0x000000013e6759c0 EdgeTransport.         3780 True   False  False    True   True  True    False    
0x000000013e1efb10 explorer.exe           6856 True   False  False    True   True  True    True     
0x000000013f009330 dllhost.exe            4644 True   False  False    True   True  True    True     
0x000000013f1f7b10 svchost.exe             632 True   False  False    True   True  True    False    
0x000000013e900b10 Microsoft.Exch         3132 True   False  False    True   True  True    True     
0x000000013e0722b0 w3wp.exe               6048 True   False  False    True   True  True    True     
0x000000013e84fb10 Microsoft.Exch         2864 True   False  False    True   True  True    False    
0x000000013e8c4900 Microsoft.Exch         1176 True   False  False    True   True  True    False    
0x000000013db7c7b0 conhost.exe            7980 True   False  False    True   True  True    True     
0x000000013e1f9b10 w3wp.exe               5876 True   False  False    True   True  True    True     
0x000000013ee7ab10 svchost.exe             852 True   False  False    True   True  True    True     
0x000000013eebeb10 svchost.exe             996 True   False  False    True   True  True    False    
0x000000013e96db10 MSExchangeTran         3336 True   False  False    True   True  True    False    
0x000000013f38d340 svchost.exe            1180 True   False  False    True   True  True    False    
0x000000013ed1cb10 Microsoft.Exch         1736 True   False  False    True   True  True    False    
0x000000013ee9e5c0 svchost.exe             956 True   False  False    True   True  True    True     
0x000000013e21db10 w3wp.exe               2396 True   False  False    True   True  True    True     
0x000000013edddb10 svchost.exe            1832 True   False  False    True   True  True    False    
0x000000013ea79400 Microsoft.Exch         2316 True   False  False    True   True  True    False    
0x000000013e3f03a0 rdpclip.exe            5552 True   False  False    True   True  True    False    
0x000000013ed09060 ruby.exe               1708 True   False  False    True   True  True    False    
0x000000013df7ab10 DumpIt-64.exe          5032 True   False  False    True   True  True    True     
0x000000013e9bfb10 MSExchangeTran         3556 True   False  False    True   True  True    False    
0x000000013f4bb440 dwm.exe                4616 True   False  False    True   True  True    False    
0x000000013e869b10 msexchangerepl         2940 True   False  False    True   True  True    False    
0x000000013ea20b10 winlogbeat.exe         1948 True   False  False    True   True  True    False    
0x000000013f515060 winlogon.exe            924 True   False  False    True   True  True    True     
0x000000013ebd7b10 MSExchangeMail         2676 True   False  False    True   True  True    False    
0x000000013f341b10 lsass.exe               520 True   False  False    True   True  True    False    
0x000000013ea17600 svchost.exe            1928 True   False  False    True   True  True    False    
0x000000013d8c2060 msftefd.exe            7328 True   False  False    True   True  True    True     
0x000000013f399320 svchost.exe            4572 True   False  False    True   True  True    False    
0x000000013ec82b10 vmtoolsd.exe           1900 True   False  False    True   True  True    False    
0x000000013ebe4b10 MSExchangeMail         2764 True   False  False    True   True  True    False    
0x000000013e64db10 conhost.exe            3792 True   False  False    True   True  True    False    
0x000000013ebbeb10 MSExchangeMail         2568 True   False  False    True   True  True    False    
0x000000013ef49b10 rubyw.exe              1380 True   False  False    True   True  True    False    
0x000000013ee64b10 svchost.exe             808 True   False  False    True   True  True    False    
0x000000013fb821e0 svchost.exe             708 True   False  False    True   True  True    False    
0x000000013e8ef600 Microsoft.Exch         3080 True   False  False    True   True  True    False    
0x000000013f2a4b10 wininit.exe             408 True   False  False    True   True  True    True     
0x000000013f346b10 lsm.exe                 528 True   False  False    True   True  True    False    
0x000000013e828b10 svchost.exe            4504 True   False  False    True   True  True    False    
0x000000013ff37370 inetinfo.exe           1356 True   False  False    True   True  True    False    
0x000000013eda19c0 esensor.exe            3948 True   False  False    True   True  True    True     
0x000000013ec7eb10 SMSvcHost.exe          1644 True   False  False    True   True  True    True     
0x000000013ee8f4e0 svchost.exe             888 True   False  False    True   True  True    True     
0x000000013e1b6a40 LogonUI.exe            5488 True   False  False    True   True  True    True     
0x000000013e4aab10 msdtc.exe              4816 True   False  False    True   True  True    False    
0x000000013f8bdb10 w3wp.exe                556 True   False  False    True   True  True    True     
0x000000013f29d320 svchost.exe             588 True   False  False    True   True  True    True     
0x000000013f935b10 smss.exe                252 True   False  False    True   False False   False    
0x000000013f713b10 csrss.exe              7796 True   False  False    True   False True    True     
0x000000013de9e810 csrss.exe              5520 True   False  False    True   False True    False     
0x000000013f262b10 csrss.exe               352 True   False  False    True   False True    True     
0x000000013feb8b10 System                    4 True   False  False    True   False False   False     
