Offset(P)          Name                    PID pslist psscan thrdproc pspcid csrss session deskthrd ExitTime
------------------ -------------------- ------ ------ ------ -------- ------ ----- ------- -------- --------
0x000000013e3bc480 svchost.exe             752 True   False  False    True   True  True    False    
0x000000013dc2a600 prunsrv.exe            1428 True   False  False    True   True  True    False    
0x000000013ec69490 OUTLOOK.EXE            2852 True   False  False    True   True  True    False    
0x000000013cda3b10 wsmprovhost.ex         2496 True   False  False    True   True  True    True     
0x000000013fd19390 svchost.exe            2280 True   False  False    True   True  True    True     
0x000000013e0d6b10 svchost.exe             968 True   False  False    True   True  True    False    
0x000000013c04a060 MpCmdRun.exe           2860 True   False  False    True   True  True    False    
0x0000000117cf2650 explorer.exe           4120 True   False  False    True   True  True    False    
0x000000013c318b10 POWERPNT.EXE            660 True   False  False    True   True  True    False    
0x000000013d728690 msdtc.exe              2304 True   False  False    True   True  True    False    
0x000000013d64b2c0 dwm.exe                4072 True   False  False    True   True  True    False    
0x000000013e179b10 svchost.exe             264 True   False  False    True   True  True    False    
0x000000013e0aa520 svchost.exe             900 True   False  False    True   True  True    False    
0x000000013e29d8f0 svchost.exe             644 True   False  False    True   True  True    False    
0x000000013e1d2b10 spoolsv.exe            1108 True   False  False    True   True  True    True     
0x000000013eafbb10 WINWORD.EXE            4664 True   False  False    True   True  True    False    
0x000000013ef19740 DumpIt-64.exe          2788 True   False  False    True   True  True    True     
0x000000013f12b060 esensor.exe            5036 True   False  False    True   True  True    False    
0x000000013fd66890 cmd.exe                3544 True   False  False    True   True  True    False    
0x000000003a7af630 splwow64.exe           3800 True   False  False    True   True  True    False    
0x000000013c679b10 conhost.exe            3168 True   False  False    True   True  True    True     
0x000000013db3a100 java.exe               4324 True   False  False    True   True  True    False    
0x000000013e5a75b0 lsm.exe                 552 True   False  False    True   True  True    False    
0x000000013f05fb10 WmiPrvSE.exe           2424 True   False  False    True   True  True    False    
0x000000013e318640 svchost.exe             808 True   False  False    True   True  True    True     
0x000000013c7c1b10 taskhost.exe           2036 True   False  False    True   True  True    False    
0x000000013e555b10 services.exe            536 True   False  False    True   True  True    False    
0x000000013dcf91c0 java.exe               1492 True   False  False    True   True  True    False    
0x000000013dfed060 svchost.exe            1276 True   False  False    True   True  True    False    
0x000000013ec84780 chrome.exe             4284 True   False  False    True   True  True    True     
0x000000013dc83b10 rubyw.exe              1480 True   False  False    True   True  True    False    
0x000000013de1a060 svchost.exe             768 True   False  False    True   True  True    False    
0x000000013e38a880 vmtoolsd.exe           3940 True   False  False    True   True  True    False    
0x000000013e1e3900 taskeng.exe            1624 True   False  False    True   True  True    False    
0x000000013e3a29d0 vmacthlp.exe            704 True   False  False    True   True  True    False    
0x000000013e57ab10 lsass.exe               544 True   False  False    True   True  True    False    
0x000000013db83630 VGAuthService.         1676 True   False  False    True   True  True    False    
0x000000013e1bd790 svchost.exe            3568 True   False  False    True   True  True    True     
0x000000013f1a8b10 EXCEL.EXE              4516 True   False  False    True   True  True    False    
0x000000013d9d0640 svchost.exe            1584 True   False  False    True   True  True    False    
0x000000013fa172e0 chrome.exe             2780 True   False  False    True   True  True    False    
0x000000013e423b10 dllhost.exe            2116 True   False  False    True   True  True    False    
0x000000013e471860 wininit.exe             432 True   False  False    True   True  True    True     
0x000000013e0d2b10 svchost.exe             932 True   False  False    True   True  True    True     
0x000000013f72b7f0 winlogon.exe           4948 True   False  False    True   True  True    True     
0x000000013f99e610 chrome.exe             2576 True   False  False    True   True  True    True     
0x000000013bf8cb10 chrome.exe             1284 True   False  False    True   True  True    False    
0x000000013dc105f0 conhost.exe            1440 True   False  False    True   True  True    False    
0x000000013e1eeb10 svchost.exe            1136 True   False  False    True   True  True    True     
0x000000013fd5bb10 conhost.exe            4004 True   False  False    True   True  True    False    
0x000000013daf0b10 vmtoolsd.exe           1740 True   False  False    True   True  True    False    
0x000000013ccc6940 chromedriver_w         2292 True   False  False    True   True  True    False    
0x000000013efa0b10 smss.exe                252 True   False  False    True   False False   False    
0x000000013efdf580 csrss.exe              2896 True   False  False    True   False True    True     
0x000000013e7d0060 csrss.exe               352 True   False  False    True   False True    True     
0x000000013fec86d0 System                    4 True   False  False    True   False False   False    
