Offset(P)          Name                    PID pslist psscan thrdproc pspcid csrss session deskthrd ExitTime
------------------ -------------------- ------ ------ ------ -------- ------ ----- ------- -------- --------
0x0000000105123080 wininit.exe             448 True   True   True     True   True  True    False    
0x0000000104da7480 services.exe            576 True   True   True     True   True  True    False    
0x000000011b9c5800 svchost.exe            3064 True   True   True     True   True  True    False    
0x000000007379b080 dwm.exe                3340 True   True   True     True   True  True    False    
0x0000000100509800 svchost.exe            1464 True   True   True     True   True  True    False    
0x0000000126955080 NisSrv.exe             4904 True   True   True     True   True  True    False    
0x000000011b9e8800 svchost.exe            2872 True   True   True     True   True  True    False    
0x00000001006ed080 svchost.exe            1604 True   True   True     True   True  True    False    
0x000000011feea800 OneDrive.exe           4612 True   True   True     True   True  True    False    
0x0000000139e6b800 WmiPrvSE.exe           4548 True   True   True     True   True  True    False    
0x0000000139e17080 dllhost.exe            2452 True   True   True     True   True  True    False    
0x00000001245ab080 winlogon.exe           2664 True   True   True     True   True  True    False    
0x00000001051b8080 svchost.exe            1236 True   True   True     True   True  True    False    
0x00000001005ed800 lsass.exe               600 True   True   True     True   True  True    False    
0x0000000124679200 OUTLOOK.EXE            6160 True   True   True     True   True  True    False    
0x0000000132659080 svchost.exe             872 True   True   True     True   True  True    False    
0x000000004c2ee800 conhost.exe            6108 True   True   True     True   True  True    False    
0x00000001004f2280 svchost.exe             756 True   True   True     True   True  True    False    
0x000000012d73b080 wsmprovhost.ex         5832 True   True   True     True   True  True    False    
0x000000002f85c080 SearchProtocol         7148 True   True   True     True   True  True    False    
0x00000001337d1800 svchost.exe             660 True   True   True     True   True  True    False    
0x00000000a4f1e080 ShellExperienc         2788 True   True   True     True   True  True    False    
0x000000009335f080 svchost.exe            7028 True   True   True     True   True  True    False    
0x00000000b45e7580 DumpIt-64.exe          2032 True   True   True     True   True  True    False    
0x000000008ad00080 svchost.exe            5176 True   True   True     True   True  True    False    
0x0000000063af1080 java.exe               5436 True   True   True     True   True  True    False    
0x00000001244d0600 WmiPrvSE.exe           2352 True   True   True     True   True  True    False    
0x0000000139e56800 prunsrv.exe             584 True   True   True     True   True  True    False    
0x0000000105b55680 java.exe               2924 True   True   True     True   True  True    False    
0x000000011b909800 conhost.exe             248 True   True   True     True   True  True    False    
0x000000012ca57800 sihost.exe             4268 True   True   True     True   True  True    False    
0x000000012453e5c0 esensor.exe            3360 True   True   True     True   True  True    False    
0x0000000100638800 spoolsv.exe            1732 True   True   True     True   True  True    False    
0x0000000100302780 svchost.exe             908 True   True   True     True   True  True    False    
0x0000000100324080 svchost.exe             796 True   True   True     True   True  True    False    
0x00000001050f0800 svchost.exe             988 True   True   True     True   True  True    False    
0x00000000a3145080 MpCmdRun.exe           4992 True   True   True     True   True  True    False    
0x0000000115f06080 explorer.exe            508 True   True   True     True   True  True    False    
0x0000000099f7b800 conhost.exe            1160 True   True   True     True   True  True    False    
0x00000000b15c7080 SearchUI.exe           4840 True   True   True     True   True  True    False    
0x00000001050fc800 svchost.exe             688 True   True   True     True   True  True    False    
0x0000000124488080 SearchIndexer.         3992 True   True   True     True   True  True    False    
0x0000000104dfc800 svchost.exe            1584 True   True   True     True   True  True    False    
0x000000001d2eb080 MsMpEng.exe            2968 True   True   True     True   True  True    False    
0x000000011b980800 vmtoolsd.exe            308 True   True   True     True   True  True    False    
0x000000000559c080 taskhostw.exe          2556 True   True   True     True   True  True    False    
0x00000000b0ded080 MSASCuiL.exe           3028 True   True   True     True   True  True    False    
0x00000000a1edb080 cmd.exe                1004 True   True   True     True   True  True    False    
0x00000001337d0080 svchost.exe             712 True   True   True     True   True  True    False    
0x000000011b905800 msdtc.exe              2344 True   True   True     True   True  True    False    
0x000000005b431080 RuntimeBroker.         6824 True   True   True     True   True  True    False    
0x00000000ad512080 vmtoolsd.exe            764 True   True   True     True   True  True    False    
0x0000000100057040 smss.exe                292 True   True   True     True   False False   False    
0x000000013cacb6c0 System                    4 True   True   True     True   False False   False    
0x0000000139fe6040 MemCompression         1480 True   True   False    True   False False   False    
0x000000011b850080 userinit.exe           5080 True   True   False    True   False True    False    2019-06-25 22:02:16 UTC+0000
0x0000000061029080 csrss.exe               252 True   True   True     True   False True    False    
0x00000000258ed080 smss.exe                280 True   True   False    True   False True    False    2019-06-25 22:01:39 UTC+0000
0x0000000104da9080 csrss.exe               376 True   True   True     True   False True    False    
0x000000010d024010                           0 False  False  False    False  False False   True     
0x000000012c4af100                      577936 False  False  False    False  False False   True     2006-11-14 03:07:21 UTC+0000
0x0000000040985800 svchost.exe             984 False  True   False    False  False False   False    2019-06-25 22:09:42 UTC+0000
