[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff80001689300 with 401 entries
  Entry 0x0000: 0xfffff80001a96ca0 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff8000197e8c0 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff800016801a0 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff80001971a80 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff800019a37a0 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff8000199a9a0 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff80001944c90 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff8000193e220 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff8000199bfc4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff80001a66a40 (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff80001951770 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff80001971010 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff8000197fb10 (NtClose) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff80001969530 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff80001966360 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff80001962910 (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff80001968760 (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff8000197ab60 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff80001936350 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff800019582e0 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff800019594d0 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff8000197fc90 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff80001999410 (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff800019acfa0 (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
  Entry 0x0018: 0xfffff80001adef30 (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x0019: 0xfffff8000197659c (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x001a: 0xfffff8000193c170 (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x001b: 0xfffff800016754d0 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x001c: 0xfffff80001ac5580 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x001d: 0xfffff8000197e404 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x001e: 0xfffff8000194e5c0 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x001f: 0xfffff8000199b9c0 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x0020: 0xfffff80001962930 (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0021: 0xfffff8000195c338 (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0022: 0xfffff80001975a30 (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x0023: 0xfffff8000195b2ec (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x0024: 0xfffff80001966cb0 (NtSetInformationFile) owned by ntoskrnl.exe
