[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff8000f560200 with 433 entries
  Entry 0x0000: 0xfffff8000f4e8e04 (NtWorkerFactoryWorkerReady) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff8000f7da640 (NtAcceptConnectPort) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff8000f9ff018 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff8000f7bd6c0 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff8000f55fd40 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff8000f7b8c80 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff8000f874c48 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff8000f7e4d64 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff8000f7ba418 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff8000f812f60 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff8000f81a2b4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff8000f885cac (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff8000f7c7620 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff8000f7badb0 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff8000f7b95a0 (NtClose) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff8000f80dd98 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff8000f8a3820 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff8000f87c86c (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff8000f80c97c (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff8000f7b0e60 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff8000f7e99d8 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff8000f7c1110 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff8000f7c2410 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff8000f9f8bd4 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0018: 0xfffff8000fa1287c (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0019: 0xfffff8000f8753fc (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
  Entry 0x001a: 0xfffff8000f884070 (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x001b: 0xfffff8000fa14f80 (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x001c: 0xfffff8000f8791fc (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x001d: 0xfffff8000f497dc0 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x001e: 0xfffff8000f9f3eb0 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x001f: 0xfffff8000f7aef34 (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x0020: 0xfffff8000f7cb910 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x0021: 0xfffff8000f87d618 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x0022: 0xfffff8000f7a9528 (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0023: 0xfffff8000f7b1e7c (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0024: 0xfffff8000f7dfd90 (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x0025: 0xfffff8000f7e0c70 (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x0026: 0xfffff8000f5c7a90 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x0027: 0xfffff8000f806874 (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0028: 0xfffff8000f889574 (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0029: 0xfffff8000f806664 (NtUnmapViewOfSection) owned by ntoskrnl.exe
  Entry 0x002a: 0xfffff8000f81a0dc (NtReplyWaitReceivePortEx) owned by ntoskrnl.exe
  Entry 0x002b: 0xfffff8000fa19154 (NtTerminateProcess) owned by ntoskrnl.exe
  Entry 0x002c: 0xfffff8000fa4cd98 (NtSetEventBoostPriority) owned by ntoskrnl.exe
  Entry 0x002d: 0xfffff8000f88e550 (NtReadFileScatter) owned by ntoskrnl.exe
  Entry 0x002e: 0xfffff8000f7b1ea0 (NtOpenThreadTokenEx) owned by ntoskrnl.exe
  Entry 0x002f: 0xfffff8000f7b1930 (NtOpenProcessTokenEx) owned by ntoskrnl.exe
  Entry 0x0030: 0xfffff8000f878ff8 (NtQueryPerformanceCounter) owned by ntoskrnl.exe
  Entry 0x0031: 0xfffff8000f810150 (NtEnumerateKey) owned by ntoskrnl.exe
  Entry 0x0032: 0xfffff8000f7df970 (NtOpenFile) owned by ntoskrnl.exe
