[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at ffff86570a190000 with 1138 entries
  Entry 0x0000: 0xffff86570a1619e6 (stub_UserGetOwnerTransformedMonitorRect) owned by win32k.sys
  Entry 0x0001: 0xffff86570a1619ec (stub_UserYieldTask) owned by win32k.sys
  Entry 0x0002: 0xffff86570a1619f2 (stub_UserSetSensorPresence) owned by win32k.sys
  Entry 0x0003: 0xffff86570a1619f8 (NtUserGetThreadState) owned by win32k.sys
  Entry 0x0004: 0xffff86570a1619fe (NtUserPeekMessage) owned by win32k.sys
  Entry 0x0005: 0xffff86570a161a04 (NtUserCallOneParam) owned by win32k.sys
  Entry 0x0006: 0xffff86570a161a0a (NtUserGetKeyState) owned by win32k.sys
  Entry 0x0007: 0xffff86570a161a10 (NtUserInvalidateRect) owned by win32k.sys
  Entry 0x0008: 0xffff86570a161a16 (NtUserCallNoParam) owned by win32k.sys
  Entry 0x0009: 0xffff86570a161a1c (NtUserGetMessage) owned by win32k.sys
  Entry 0x000a: 0xffff86570a161a22 (NtUserMessageCall) owned by win32k.sys
  Entry 0x000b: 0xffff86570a161a28 (NtGdiBitBlt) owned by win32k.sys
  Entry 0x000c: 0xffff86570a161a2e (NtGdiGetCharSet) owned by win32k.sys
  Entry 0x000d: 0xffff86570a161a34 (NtUserGetDC) owned by win32k.sys
  Entry 0x000e: 0xffff86570a161a3a (NtGdiSelectBitmap) owned by win32k.sys
  Entry 0x000f: 0xffff86570a161a40 (NtUserWaitMessage) owned by win32k.sys
  Entry 0x0010: 0xffff86570a161a46 (NtUserTranslateMessage) owned by win32k.sys
  Entry 0x0011: 0xffff86570a161a4c (NtUserGetProp) owned by win32k.sys
  Entry 0x0012: 0xffff86570a161a52 (NtUserPostMessage) owned by win32k.sys
  Entry 0x0013: 0xffff86570a161a58 (NtUserQueryWindow) owned by win32k.sys
  Entry 0x0014: 0xffff86570a161a5e (stub_UserTranslateAccelerator) owned by win32k.sys
  Entry 0x0015: 0xffff86570a161a64 (NtGdiFlush) owned by win32k.sys
  Entry 0x0016: 0xffff86570a161a6a (NtUserRedrawWindow) owned by win32k.sys
  Entry 0x0017: 0xffff86570a161a70 (NtUserWindowFromPoint) owned by win32k.sys
  Entry 0x0018: 0xffff86570a161a76 (NtUserCallMsgFilter) owned by win32k.sys
  Entry 0x0019: 0xffff86570a161a7c (NtUserValidateTimerCallback) owned by win32k.sys
  Entry 0x001a: 0xffff86570a161a82 (NtUserBeginPaint) owned by win32k.sys
  Entry 0x001b: 0xffff86570a161a88 (NtUserSetTimer) owned by win32k.sys
  Entry 0x001c: 0xffff86570a161a8e (NtUserEndPaint) owned by win32k.sys
  Entry 0x001d: 0xffff86570a161a94 (NtUserSetCursor) owned by win32k.sys
  Entry 0x001e: 0xffff86570a161a9a (NtUserKillTimer) owned by win32k.sys
  Entry 0x001f: 0xffff86570a161aa0 (NtUserBuildHwndList) owned by win32k.sys
  Entry 0x0020: 0xffff86570a161aa6 (NtUserSelectPalette) owned by win32k.sys
  Entry 0x0021: 0xffff86570a161aac (NtUserCallNextHookEx) owned by win32k.sys
  Entry 0x0022: 0xffff86570a161ab2 (NtUserHideCaret) owned by win32k.sys
  Entry 0x0023: 0xffff86570a161ab8 (NtGdiIntersectClipRect) owned by win32k.sys
  Entry 0x0024: 0xffff86570a161abe (NtUserCallHwndLock) owned by win32k.sys
  Entry 0x0025: 0xffff86570a161ac4 (NtUserGetProcessWindowStation) owned by win32k.sys
  Entry 0x0026: 0xffff86570a161aca (NtGdiDeleteObjectApp) owned by win32k.sys
  Entry 0x0027: 0xffff86570a161ad0 (NtUserSetWindowPos) owned by win32k.sys
  Entry 0x0028: 0xffff86570a161ad6 (NtUserShowCaret) owned by win32k.sys
  Entry 0x0029: 0xffff86570a161adc (stub_UserEndDeferWindowPosEx) owned by win32k.sys
  Entry 0x002a: 0xffff86570a161ae2 (NtUserCallHwndParamLock) owned by win32k.sys
  Entry 0x002b: 0xffff86570a161ae8 (NtUserVkKeyScanEx) owned by win32k.sys
  Entry 0x002c: 0xffff86570a161aee (NtGdiSetDIBitsToDeviceInternal) owned by win32k.sys
  Entry 0x002d: 0xffff86570a161af4 (NtUserCallTwoParam) owned by win32k.sys
  Entry 0x002e: 0xffff86570a161afa (NtGdiGetRandomRgn) owned by win32k.sys
  Entry 0x002f: 0xffff86570a161b00 (stub_UserCopyAcceleratorTable) owned by win32k.sys
  Entry 0x0030: 0xffff86570a161b06 (NtUserNotifyWinEvent) owned by win32k.sys
  Entry 0x0031: 0xffff86570a161b0c (NtGdiExtSelectClipRgn) owned by win32k.sys
  Entry 0x0032: 0xffff86570a161b12 (NtUserIsClipboardFormatAvailable) owned by win32k.sys
  Entry 0x0033: 0xffff86570a161b18 (NtUserSetScrollInfo) owned by win32k.sys
  Entry 0x0034: 0xffff86570a161b1e (NtGdiStretchBlt) owned by win32k.sys
  Entry 0x0035: 0xffff86570a161b24 (NtUserCreateCaret) owned by win32k.sys
  Entry 0x0036: 0xffff86570a161b2a (NtGdiRectVisible) owned by win32k.sys
  Entry 0x0037: 0xffff86570a161b30 (NtGdiCombineRgn) owned by win32k.sys
  Entry 0x0038: 0xffff86570a161b36 (NtGdiGetDCObject) owned by win32k.sys
  Entry 0x0039: 0xffff86570a161b3c (NtUserDispatchMessage) owned by win32k.sys
  Entry 0x003a: 0xffff86570a161b42 (NtUserRegisterWindowMessage) owned by win32k.sys
  Entry 0x003b: 0xffff86570a161b48 (NtGdiExtTextOutW) owned by win32k.sys
  Entry 0x003c: 0xffff86570a161b4e (NtGdiSelectFont) owned by win32k.sys
  Entry 0x003d: 0xffff86570a161b54 (NtGdiRestoreDC) owned by win32k.sys
  Entry 0x003e: 0xffff86570a161b5a (NtGdiSaveDC) owned by win32k.sys
  Entry 0x003f: 0xffff86570a161b60 (NtUserGetForegroundWindow) owned by win32k.sys
  Entry 0x0040: 0xffff86570a161b66 (stub_UserShowScrollBar) owned by win32k.sys
  Entry 0x0041: 0xffff86570a161b6c (NtUserFindExistingCursorIcon) owned by win32k.sys
  Entry 0x0042: 0xffff86570a161b72 (NtGdiGetDCDword) owned by win32k.sys
  Entry 0x0043: 0xffff86570a161b78 (NtGdiGetRegionData) owned by win32k.sys
  Entry 0x0044: 0xffff86570a161b7e (NtGdiLineTo) owned by win32k.sys
  Entry 0x0045: 0xffff86570a161b84 (NtUserSystemParametersInfo) owned by win32k.sys
  Entry 0x0046: 0xffff86570a161b8a (NtGdiGetAppClipBox) owned by win32k.sys
  Entry 0x0047: 0xffff86570a161b90 (NtUserGetAsyncKeyState) owned by win32k.sys
  Entry 0x0048: 0xffff86570a161b96 (NtUserGetCPD) owned by win32k.sys
  Entry 0x0049: 0xffff86570a161b9c (NtUserRemoveProp) owned by win32k.sys
  Entry 0x004a: 0xffff86570a161ba2 (NtGdiDoPalette) owned by win32k.sys
  Entry 0x004b: 0xffff86570a161ba8 (NtGdiPolyPolyDraw) owned by win32k.sys
  Entry 0x004c: 0xffff86570a161bae (NtUserSetCapture) owned by win32k.sys
  Entry 0x004d: 0xffff86570a161bb4 (NtUserEnumDisplayMonitors) owned by win32k.sys
  Entry 0x004e: 0xffff86570a161bba (NtGdiCreateCompatibleBitmap) owned by win32k.sys
  Entry 0x004f: 0xffff86570a161bc0 (NtUserSetProp) owned by win32k.sys
  Entry 0x0050: 0xffff86570a161bc6 (NtGdiGetTextCharsetInfo) owned by win32k.sys
  Entry 0x0051: 0xffff86570a161bcc (stub_UserSBGetParms) owned by win32k.sys
  Entry 0x0052: 0xffff86570a161bd2 (NtUserGetIconInfo) owned by win32k.sys
  Entry 0x0053: 0xffff86570a161bd8 (stub_UserExcludeUpdateRgn) owned by win32k.sys
  Entry 0x0054: 0xffff86570a161bde (NtUserSetFocus) owned by win32k.sys
  Entry 0x0055: 0xffff86570a161be4 (NtGdiExtGetObjectW) owned by win32k.sys
  Entry 0x0056: 0xffff86570a161bea (NtUserGetUpdateRect) owned by win32k.sys
  Entry 0x0057: 0xffff86570a161bf0 (NtGdiCreateCompatibleDC) owned by win32k.sys
  Entry 0x0058: 0xffff86570a161bf6 (NtUserGetClipboardSequenceNumber) owned by win32k.sys
  Entry 0x0059: 0xffff86570a161bfc (NtGdiCreatePen) owned by win32k.sys
  Entry 0x005a: 0xffff86570a161c02 (NtUserShowWindow) owned by win32k.sys
  Entry 0x005b: 0xffff86570a161c08 (NtUserGetKeyboardLayoutList) owned by win32k.sys
  Entry 0x005c: 0xffff86570a161c0e (NtGdiPatBlt) owned by win32k.sys
  Entry 0x005d: 0xffff86570a161c14 (NtUserMapVirtualKeyEx) owned by win32k.sys
  Entry 0x005e: 0xffff86570a161c1a (NtUserSetWindowLong) owned by win32k.sys
  Entry 0x005f: 0xffff86570a161c20 (NtGdiHfontCreate) owned by win32k.sys
  Entry 0x0060: 0xffff86570a161c26 (NtUserMoveWindow) owned by win32k.sys
  Entry 0x0061: 0xffff86570a161c2c (NtUserPostThreadMessage) owned by win32k.sys
  Entry 0x0062: 0xffff86570a161c32 (NtUserDrawIconEx) owned by win32k.sys
  Entry 0x0063: 0xffff86570a161c38 (NtUserGetSystemMenu) owned by win32k.sys
  Entry 0x0064: 0xffff86570a161c3e (NtGdiDrawStream) owned by win32k.sys
  Entry 0x0065: 0xffff86570a161c44 (NtUserInternalGetWindowText) owned by win32k.sys
  Entry 0x0066: 0xffff86570a161c4a (NtUserGetWindowDC) owned by win32k.sys
  Entry 0x0067: 0xffff86570a161c50 (stub_GdiD3dDrawPrimitives2) owned by win32k.sys
  Entry 0x0068: 0xffff86570a161c56 (stub_GdiInvertRgn) owned by win32k.sys
  Entry 0x0069: 0xffff86570a161c5c (NtGdiGetRgnBox) owned by win32k.sys
  Entry 0x006a: 0xffff86570a161c62 (NtGdiGetAndSetDCDword) owned by win32k.sys
  Entry 0x006b: 0xffff86570a161c68 (stub_GdiMaskBlt) owned by win32k.sys
  Entry 0x006c: 0xffff86570a161c6e (NtGdiGetWidthTable) owned by win32k.sys
  Entry 0x006d: 0xffff86570a161c74 (NtUserScrollDC) owned by win32k.sys
  Entry 0x006e: 0xffff86570a161c7a (NtUserGetObjectInformation) owned by win32k.sys
  Entry 0x006f: 0xffff86570a161c80 (NtGdiCreateBitmap) owned by win32k.sys
  Entry 0x0070: 0xffff86570a161c86 (NtUserFindWindowEx) owned by win32k.sys
  Entry 0x0071: 0xffff86570a161c8c (NtGdiPolyPatBlt) owned by win32k.sys
  Entry 0x0072: 0xffff86570a161c92 (NtUserUnhookWindowsHookEx) owned by win32k.sys
  Entry 0x0073: 0xffff86570a161c98 (stub_GdiGetNearestColor) owned by win32k.sys
  Entry 0x0074: 0xffff86570a161c9e (NtGdiTransformPoints) owned by win32k.sys
  Entry 0x0075: 0xffff86570a161ca4 (NtGdiGetDCPoint) owned by win32k.sys
  Entry 0x0076: 0xffff86570a161caa (stub_GdiCreateDIBBrush) owned by win32k.sys
  Entry 0x0077: 0xffff86570a161cb0 (NtGdiGetTextMetricsW) owned by win32k.sys
  Entry 0x0078: 0xffff86570a161cb6 (NtUserCreateWindowEx) owned by win32k.sys
  Entry 0x0079: 0xffff86570a161cbc (NtUserSetParent) owned by win32k.sys
  Entry 0x007a: 0xffff86570a161cc2 (NtUserGetKeyboardState) owned by win32k.sys
  Entry 0x007b: 0xffff86570a161cc8 (NtUserToUnicodeEx) owned by win32k.sys
  Entry 0x007c: 0xffff86570a161cce (NtUserGetControlBrush) owned by win32k.sys
  Entry 0x007d: 0xffff86570a161cd4 (NtUserGetClassName) owned by win32k.sys
  Entry 0x007e: 0xffff86570a161cda (NtGdiAlphaBlend) owned by win32k.sys
  Entry 0x007f: 0xffff86570a161ce0 (stub_GdiDdBlt) owned by win32k.sys
  Entry 0x0080: 0xffff86570a161ce6 (NtGdiOffsetRgn) owned by win32k.sys
  Entry 0x0081: 0xffff86570a161cec (NtUserDefSetText) owned by win32k.sys
  Entry 0x0082: 0xffff86570a161cf2 (NtGdiGetTextFaceW) owned by win32k.sys
  Entry 0x0083: 0xffff86570a161cf8 (NtGdiStretchDIBitsInternal) owned by win32k.sys
  Entry 0x0084: 0xffff86570a161cfe (NtUserSendInput) owned by win32k.sys
  Entry 0x0085: 0xffff86570a161d04 (NtUserGetThreadDesktop) owned by win32k.sys
  Entry 0x0086: 0xffff86570a161d0a (NtGdiCreateRectRgn) owned by win32k.sys
  Entry 0x0087: 0xffff86570a161d10 (NtGdiGetDIBitsInternal) owned by win32k.sys
  Entry 0x0088: 0xffff86570a161d16 (stub_UserGetUpdateRgn) owned by win32k.sys
  Entry 0x0089: 0xffff86570a161d1c (NtGdiDeleteClientObj) owned by win32k.sys
  Entry 0x008a: 0xffff86570a161d22 (NtUserGetIconSize) owned by win32k.sys
  Entry 0x008b: 0xffff86570a161d28 (NtUserFillWindow) owned by win32k.sys
  Entry 0x008c: 0xffff86570a161d2e (NtGdiExtCreateRegion) owned by win32k.sys
  Entry 0x008d: 0xffff86570a161d34 (NtGdiComputeXformCoefficients) owned by win32k.sys
  Entry 0x008e: 0xffff86570a161d3a (NtUserSetWindowsHookEx) owned by win32k.sys
  Entry 0x008f: 0xffff86570a161d40 (stub_UserNotifyProcessCreate) owned by win32k.sys
  Entry 0x0090: 0xffff86570a161d46 (stub_GdiUnrealizeObject) owned by win32k.sys
  Entry 0x0091: 0xffff86570a161d4c (NtUserGetTitleBarInfo) owned by win32k.sys
  Entry 0x0092: 0xffff86570a161d52 (NtGdiRectangle) owned by win32k.sys
  Entry 0x0093: 0xffff86570a161d58 (NtUserSetThreadDesktop) owned by win32k.sys
  Entry 0x0094: 0xffff86570a161d5e (NtUserGetDCEx) owned by win32k.sys
  Entry 0x0095: 0xffff86570a161d64 (stub_UserGetScrollBarInfo) owned by win32k.sys
  Entry 0x0096: 0xffff86570a161d6a (stub_GdiGetTextExtent) owned by win32k.sys
  Entry 0x0097: 0xffff86570a161d70 (NtUserSetWindowFNID) owned by win32k.sys
  Entry 0x0098: 0xffff86570a161d76 (NtGdiSetLayout) owned by win32k.sys
  Entry 0x0099: 0xffff86570a161d7c (NtUserCalcMenuBar) owned by win32k.sys
  Entry 0x009a: 0xffff86570a161d82 (NtUserThunkedMenuItemInfo) owned by win32k.sys
  Entry 0x009b: 0xffff86570a161d88 (NtGdiExcludeClipRect) owned by win32k.sys
  Entry 0x009c: 0xffff86570a161d8e (NtGdiCreateDIBSection) owned by win32k.sys
  Entry 0x009d: 0xffff86570a161d94 (NtGdiGetDCforBitmap) owned by win32k.sys
  Entry 0x009e: 0xffff86570a161d9a (NtUserDestroyCursor) owned by win32k.sys
  Entry 0x009f: 0xffff86570a161da0 (NtUserDestroyWindow) owned by win32k.sys
  Entry 0x00a0: 0xffff86570a161da6 (NtUserCallHwndParam) owned by win32k.sys
  Entry 0x00a1: 0xffff86570a161dac (NtGdiCreateDIBitmapInternal) owned by win32k.sys
  Entry 0x00a2: 0xffff86570a161db2 (stub_UserOpenWindowStation) owned by win32k.sys
  Entry 0x00a3: 0xffff86570a161db8 (stub_GdiDdDeleteSurfaceObject) owned by win32k.sys
  Entry 0x00a4: 0xffff86570a161dbe (stub_GdiDdCanCreateSurface) owned by win32k.sys
  Entry 0x00a5: 0xffff86570a161dc4 (stub_GdiDdCreateSurface) owned by win32k.sys
  Entry 0x00a6: 0xffff86570a161dca (NtUserSetCursorIconData) owned by win32k.sys
  Entry 0x00a7: 0xffff86570a161dd0 (stub_GdiDdDestroySurface) owned by win32k.sys
  Entry 0x00a8: 0xffff86570a161dd6 (NtUserCloseDesktop) owned by win32k.sys
  Entry 0x00a9: 0xffff86570a161ddc (NtUserOpenDesktop) owned by win32k.sys
  Entry 0x00aa: 0xffff86570a161de2 (stub_UserSetProcessWindowStation) owned by win32k.sys
  Entry 0x00ab: 0xffff86570a161de8 (NtUserGetAtomName) owned by win32k.sys
  Entry 0x00ac: 0xffff86570a161dee (stub_GdiDdResetVisrgn) owned by win32k.sys
  Entry 0x00ad: 0xffff86570a161df4 (NtGdiExtCreatePen) owned by win32k.sys
  Entry 0x00ae: 0xffff86570a161dfa (NtGdiCreatePaletteInternal) owned by win32k.sys
  Entry 0x00af: 0xffff86570a161e00 (stub_GdiSetBrushOrg) owned by win32k.sys
  Entry 0x00b0: 0xffff86570a161e06 (NtUserBuildNameList) owned by win32k.sys
  Entry 0x00b1: 0xffff86570a161e0c (NtGdiSetPixel) owned by win32k.sys
  Entry 0x00b2: 0xffff86570a161e12 (NtUserRegisterClassExWOW) owned by win32k.sys
  Entry 0x00b3: 0xffff86570a161e18 (NtGdiCreatePatternBrushInternal) owned by win32k.sys
  Entry 0x00b4: 0xffff86570a161e1e (NtUserGetAncestor) owned by win32k.sys
  Entry 0x00b5: 0xffff86570a161e24 (NtGdiGetOutlineTextMetricsInternalW) owned by win32k.sys
