Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xffffce0d1aaef980 0x0000011c:0xfc15d000       7200000 Yes        0xfffff808d0406f80 WdNisDrv.sys
0xfffff8009957bba0 0x000095d1:0x20942620             0 -          0xfffff800994aad2c ntoskrnl.exe
0xffffce0d1ba3eed0 0x4000270f:0xff98b9ba             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1a7a8340 0x00000113:0xcb475986             0 -          0xfffff800993d09a0 ntoskrnl.exe
0xfffff80099571380 0x00000113:0xaf49b250             0 -          0xfffff8009937a48c ntoskrnl.exe
0xfffff808cec99070 0x00000113:0xb0371d1c             0 -          0xfffff808cec41ce0 NTFS.sys
0xfffff808cea8e2a0 0x00000127:0x7376f53e             0 -          0xfffff808cea81600 storport.sys
0xffffce0d1bbc32c8 0x00000113:0xb08864f1             1 -          0xfffff808cf06b430 tcpip.sys
0xfffff808cf4f74e0 0x00000115:0x8ff58f5c             0 -          0xfffff808cf4f1160 mup.sys
0xfffff8009957bba0 0x000095d1:0x20942620             0 -          0xfffff800994aad2c ntoskrnl.exe
0xffffce0d1ba3eed0 0x4000270f:0xff98b9ba             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba3d160 0x4000270f:0xff9d7e75             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba3c160 0x4000270f:0xffa24328             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba3b7d0 0x4000270f:0xffabcc8d             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba3aca0 0x4000270f:0xffb0913f             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba39ed0 0x4000270f:0xffb555f6             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba5c3d0 0x4000270f:0xffc141bd             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba9bed0 0x4000270f:0xffc6066b             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba7a160 0x4000270f:0xffcacb2b             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1a7a8ed0 0x4000270f:0xffcf8fe6             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1c053410 0x00000114:0xccd2f050             0 -          0xfffff808cfcc3ce0 netbt.sys
0xffffce0d1ba79a20 0x4000270f:0xffd454a2             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba778c0 0x4000270f:0xffddde07             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba72b80 0x4000270f:0xffee8e96             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba718c0 0x4000270f:0xfff35340             0 -          0xfffff800993ad09c ntoskrnl.exe
0xfffff808cf21d040 0x00000113:0xb0f73f40             0 -          0xfffff808cf08bfc0 tcpip.sys
0xffffce0d1ba708c0 0x4000270f:0xfff81812             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba6fab0 0x4000270f:0xfffcdcae             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba6e730 0x40002710:0x0001a172             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1baa9950 0x00000114:0x2404a4c2             0 -          0xfffff808ce2dcd40 FLTMGR.SYS
0xffffce0d1ba6c160 0x40002710:0x00066617             0 -          0xfffff800993ad09c ntoskrnl.exe
0xfffff80099571440 0x00000114:0x600ae869             0 -          0xfffff8009937a48c ntoskrnl.exe
0xffffce0d1ba6bed0 0x40002710:0x000b2aca             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba6aab0 0x40002710:0x000fefa4             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba697e0 0x40002710:0x0014b445             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba687a0 0x40002710:0x001978fc             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba66ed0 0x40002710:0x001e3d94             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba65c10 0x40002710:0x0023024b             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba63920 0x40002710:0x002c8bb4             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1ba61160 0x40002710:0x002c8bb4             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1bee2278 0x00000113:0xa6985d83             0 -          0xfffff808cee7f630 ndis.sys
